simulationTime[s],patrolState,timeInState[s],City
494,PATROLLING,493.0,Krakow
540,CALCULATING_PATH,46.0,Krakow
1184,TRANSFER_TO_INTERVENTION,644.0,Krakow
2069,INTERVENTION,885.0,Krakow
2145,CALCULATING_PATH,76.0,Krakow
3681,PATROLLING,1536.0,Krakow
3736,CALCULATING_PATH,55.0,Krakow
4908,PATROLLING,1172.0,Krakow
4938,CALCULATING_PATH,30.0,Krakow
5274,PATROLLING,336.0,Krakow
5300,CALCULATING_PATH,26.0,Krakow
5696,TRANSFER_TO_INTERVENTION,396.0,Krakow
6886,INTERVENTION,1190.0,Krakow
6913,CALCULATING_PATH,27.0,Krakow
7904,PATROLLING,991.0,Krakow
7936,CALCULATING_PATH,32.0,Krakow
8649,PATROLLING,713.0,Krakow
8713,CALCULATING_PATH,64.0,Krakow
8823,PATROLLING,110.0,Krakow
8851,CALCULATING_PATH,28.0,Krakow
8987,TRANSFER_TO_INTERVENTION,136.0,Krakow
9202,INTERVENTION,215.0,Krakow
11552,FIRING,2350.0,Krakow
11586,PATROLLING,34.0,Krakow
11614,CALCULATING_PATH,27.0,Krakow
11836,PATROLLING,222.0,Krakow
11866,CALCULATING_PATH,30.0,Krakow
12322,PATROLLING,456.0,Krakow
12348,CALCULATING_PATH,26.0,Krakow
12516,TRANSFER_TO_INTERVENTION,168.0,Krakow
13294,INTERVENTION,778.0,Krakow
13320,CALCULATING_PATH,26.0,Krakow
13398,PATROLLING,78.0,Krakow
13426,CALCULATING_PATH,28.0,Krakow
14352,PATROLLING,926.0,Krakow
14379,CALCULATING_PATH,27.0,Krakow
14722,PATROLLING,343.0,Krakow
14765,CALCULATING_PATH,43.0,Krakow
14905,TRANSFER_TO_INTERVENTION,140.0,Krakow
16565,INTERVENTION,1660.0,Krakow
16592,CALCULATING_PATH,27.0,Krakow
17091,PATROLLING,499.0,Krakow
17117,CALCULATING_PATH,26.0,Krakow
17284,TRANSFER_TO_INTERVENTION,167.0,Krakow
18713,INTERVENTION,1429.0,Krakow
18742,CALCULATING_PATH,29.0,Krakow
19379,PATROLLING,637.0,Krakow
19409,CALCULATING_PATH,30.0,Krakow
20541,PATROLLING,1132.0,Krakow
20569,CALCULATING_PATH,28.0,Krakow
21165,PATROLLING,596.0,Krakow
21219,CALCULATING_PATH,54.0,Krakow
21868,PATROLLING,649.0,Krakow
21898,CALCULATING_PATH,30.0,Krakow
22064,TRANSFER_TO_INTERVENTION,166.0,Krakow
23798,INTERVENTION,1734.0,Krakow
23823,CALCULATING_PATH,25.0,Krakow
23850,PATROLLING,27.0,Krakow
23875,CALCULATING_PATH,25.0,Krakow
24110,TRANSFER_TO_INTERVENTION,235.0,Krakow
25687,INTERVENTION,1577.0,Krakow
25717,CALCULATING_PATH,30.0,Krakow
25801,PATROLLING,84.0,Krakow
25828,CALCULATING_PATH,27.0,Krakow
25913,TRANSFER_TO_INTERVENTION,85.0,Krakow
27665,INTERVENTION,1752.0,Krakow
27718,CALCULATING_PATH,53.0,Krakow
27937,PATROLLING,219.0,Krakow
27962,CALCULATING_PATH,25.0,Krakow
28152,TRANSFER_TO_FIRING,190.0,Krakow
32034,FIRING,3882.0,Krakow
32064,PATROLLING,30.0,Krakow
32096,CALCULATING_PATH,32.0,Krakow
32989,RETURNING_TO_HQ,893.0,Krakow
34140,PATROLLING,1151.0,Krakow
34199,CALCULATING_PATH,59.0,Krakow
34501,PATROLLING,302.0,Krakow
34530,CALCULATING_PATH,29.0,Krakow
35111,RETURNING_TO_HQ,581.0,Krakow
36006,INTERVENTION,895.0,Krakow
36033,CALCULATING_PATH,27.0,Krakow
36066,PATROLLING,33.0,Krakow
36094,CALCULATING_PATH,28.0,Krakow
36804,RETURNING_TO_HQ,710.0,Krakow
36862,PATROLLING,58.0,Krakow
36890,CALCULATING_PATH,28.0,Krakow
37170,PATROLLING,280.0,Krakow
37197,CALCULATING_PATH,27.0,Krakow
37465,TRANSFER_TO_INTERVENTION,268.0,Krakow
38664,INTERVENTION,1199.0,Krakow
38718,CALCULATING_PATH,54.0,Krakow
39328,PATROLLING,610.0,Krakow
39355,CALCULATING_PATH,27.0,Krakow
39439,TRANSFER_TO_INTERVENTION,84.0,Krakow
40688,INTERVENTION,1249.0,Krakow
40717,CALCULATING_PATH,29.0,Krakow
40745,PATROLLING,28.0,Krakow
40773,CALCULATING_PATH,28.0,Krakow
