simulationTime[s],patrolState,timeInState[s],City
494,PATROLLING,493.0,Krakow
3681,PATROLLING,1536.0,Krakow
4908,PATROLLING,1172.0,Krakow
5274,PATROLLING,336.0,Krakow
7904,PATROLLING,991.0,Krakow
8649,PATROLLING,713.0,Krakow
8823,PATROLLING,110.0,Krakow
11586,PATROLLING,34.0,Krakow
11836,PATROLLING,222.0,Krakow
12322,PATROLLING,456.0,Krakow
13398,PATROLLING,78.0,Krakow
14352,PATROLLING,926.0,Krakow
14722,PATROLLING,343.0,Krakow
17091,PATROLLING,499.0,Krakow
19379,PATROLLING,637.0,Krakow
20541,PATROLLING,1132.0,Krakow
21165,PATROLLING,596.0,Krakow
21868,PATROLLING,649.0,Krakow
23850,PATROLLING,27.0,Krakow
25801,PATROLLING,84.0,Krakow
27937,PATROLLING,219.0,Krakow
32064,PATROLLING,30.0,Krakow
34140,PATROLLING,1151.0,Krakow
34501,PATROLLING,302.0,Krakow
36066,PATROLLING,33.0,Krakow
36862,PATROLLING,58.0,Krakow
37170,PATROLLING,280.0,Krakow
39328,PATROLLING,610.0,Krakow
40745,PATROLLING,28.0,Krakow
42480,PATROLLING,318.0,Krakow
43838,PATROLLING,136.0,Krakow
45801,PATROLLING,30.0,Krakow
49618,PATROLLING,40.0,Krakow
50290,PATROLLING,642.0,Krakow
54643,PATROLLING,36.0,Krakow
55188,PATROLLING,516.0,Krakow
55978,PATROLLING,254.0,Krakow
58690,PATROLLING,31.0,Krakow
60359,PATROLLING,33.0,Krakow
62422,PATROLLING,788.0,Krakow
63618,PATROLLING,1167.0,Krakow
64515,PATROLLING,871.0,Krakow
65045,PATROLLING,505.0,Krakow
67559,PATROLLING,741.0,Krakow
68927,PATROLLING,1314.0,Krakow
69528,PATROLLING,576.0,Krakow
75227,PATROLLING,34.0,Krakow
76332,PATROLLING,30.0,Krakow
82153,PATROLLING,33.0,Krakow
82516,PATROLLING,33.0,Krakow
83820,PATROLLING,35.0,Krakow
84643,PATROLLING,793.0,Krakow
86296,PATROLLING,408.0,Krakow
