simulationTime[s],firingID,districtName,districtSafetyLevel,generallyRequiredPatrols,solvingPatrols,reachingPatrols(including 'called'),calledPatrols,totalDistanceOfCalledPatrols,isNight,City,simulationTime[h]
5350,b1539c76-0225-4bac-a426-2938f2fc3a62,Dębniki,NotSafe,6,1,1,1,1.699643808650972,0,Krakow,1.4861111111111112
5351,b1539c76-0225-4bac-a426-2938f2fc3a62,Dębniki,NotSafe,6,1,2,1,2.549330839074975,0,Krakow,1.486388888888889
5481,b1539c76-0225-4bac-a426-2938f2fc3a62,Dębniki,NotSafe,6,1,3,1,3.4582247863351894,0,Krakow,1.5225
5535,b1539c76-0225-4bac-a426-2938f2fc3a62,Dębniki,NotSafe,6,2,3,1,3.51189424914525,0,Krakow,1.5375
5640,b1539c76-0225-4bac-a426-2938f2fc3a62,Dębniki,NotSafe,6,3,3,1,3.592068061941462,0,Krakow,1.5666666666666667
25466,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dębniki,NotSafe,6,1,1,1,1.1845904175757658,0,Krakow,7.073888888888889
25467,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dębniki,NotSafe,6,1,2,1,2.2904476495470396,0,Krakow,7.074166666666667
25471,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dębniki,NotSafe,6,1,5,3,9.385680517622264,0,Krakow,7.075277777777778
62535,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,1,1,1,1.5107647892745022,1,Krakow,17.370833333333334
62537,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,1,2,1,2.8500825401280783,1,Krakow,17.371388888888887
62860,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,3,1,1,3.5468968574846396,1,Krakow,17.461111111111112
62894,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,3,3,2,7.0408166222479265,1,Krakow,17.470555555555556
71560,3a7082c5-4c05-4a4f-928c-faa01f1665b2,Dębniki,NotSafe,3,1,2,2,6.59616443122189,1,Krakow,19.877777777777776
78624,c37e0bc0-e688-4fdb-8566-f5935317c760,Dębniki,NotSafe,6,1,2,2,3.286494806128073,1,Krakow,21.84
78626,c37e0bc0-e688-4fdb-8566-f5935317c760,Dębniki,NotSafe,6,1,4,2,6.457824330906064,1,Krakow,21.840555555555557
79206,c37e0bc0-e688-4fdb-8566-f5935317c760,Dębniki,NotSafe,6,5,1,1,3.531947589091426,1,Krakow,22.001666666666665
83851,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dębniki,NotSafe,5,1,1,1,0.7696859494988151,1,Krakow,23.291944444444443
83960,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dębniki,NotSafe,5,1,2,1,3.269126460329754,1,Krakow,23.322222222222223
84305,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dębniki,NotSafe,5,2,2,1,3.330001796491824,1,Krakow,23.418055555555554
85971,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dębniki,NotSafe,5,4,1,1,3.5172904789973853,1,Krakow,23.88083333333333
