simulationTime[s],firingID,districtName,districtSafetyLevel,generallyRequiredPatrols,solvingPatrols,reachingPatrols(including 'called'),calledPatrols,totalDistanceOfCalledPatrols,isNight,City,simulationTime[h]
3463,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,4,1,1,1,2.324854938894625,0,Krakow,0.9619444444444445
3496,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,4,1,2,1,3.522223605738871,0,Krakow,0.9711111111111111
3571,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,4,1,3,1,2.822932549676245,0,Krakow,0.9919444444444444
3642,ed943c42-b4f3-4308-86f3-3648664800e9,Czyżyny,RatherSafe,2,1,1,1,1.4186789069425683,0,Krakow,1.0116666666666667
3825,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,3,1,4,4,2.7166819275248346,0,Krakow,1.0625
4239,37f2afe0-8c61-4691-b8c5-a3d18a1c03dc,Grzegórzki,RatherSafe,2,1,3,3,4.821279454118521,0,Krakow,1.1775
5110,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,4,1,1,1,1.1319089562677849,0,Krakow,1.4194444444444445
5167,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,4,1,2,1,2.2264555595455207,0,Krakow,1.4352777777777779
5350,b1539c76-0225-4bac-a426-2938f2fc3a62,Dębniki,NotSafe,6,1,1,1,1.699643808650972,0,Krakow,1.4861111111111112
5351,b1539c76-0225-4bac-a426-2938f2fc3a62,Dębniki,NotSafe,6,1,2,1,2.549330839074975,0,Krakow,1.486388888888889
5481,b1539c76-0225-4bac-a426-2938f2fc3a62,Dębniki,NotSafe,6,1,3,1,3.4582247863351894,0,Krakow,1.5225
5535,b1539c76-0225-4bac-a426-2938f2fc3a62,Dębniki,NotSafe,6,2,3,1,3.51189424914525,0,Krakow,1.5375
5640,b1539c76-0225-4bac-a426-2938f2fc3a62,Dębniki,NotSafe,6,3,3,1,3.592068061941462,0,Krakow,1.5666666666666667
5699,08c1cb2b-9cc0-4ed4-af95-ccab64e6fa8d,Stare Miasto,NotSafe,3,1,2,2,6.191236357869697,0,Krakow,1.5830555555555557
5845,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,4,3,1,1,3.478414298312499,0,Krakow,1.6236111111111111
8494,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,5,1,1,1,3.5489926122248066,0,Krakow,2.3594444444444442
8655,cae05774-a872-4f8c-b317-da703410c28f,Bronowice,NotSafe,5,1,5,5,9.80804552359535,0,Krakow,2.404166666666667
9176,a10f26d8-6be9-43b1-aafd-7cb1d9b81211,Podgórze Duchackie,NotSafe,2,1,2,2,1.961491457673635,0,Krakow,2.548888888888889
9340,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,5,2,1,1,3.599949669993888,0,Krakow,2.5944444444444446
9418,57e05b94-3876-42a8-a525-c0f2a45e0855,Czyżyny,RatherSafe,2,1,2,2,0.8914094806084859,0,Krakow,2.616111111111111
9905,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,5,1,1,1,1.5158027180004772,0,Krakow,2.751388888888889
9908,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,5,1,3,2,6.467191879233644,0,Krakow,2.752222222222222
9909,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,5,1,4,1,1.7842841886686704,0,Krakow,2.7525
10356,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,5,3,1,1,3.2612901034470196,0,Krakow,2.8766666666666665
10530,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,5,3,2,1,3.5189080107892825,0,Krakow,2.925
10831,af81c15d-2421-4056-844f-abd03d034b44,Prądnik Czerwony,RatherSafe,4,1,1,1,0.853096344025863,0,Krakow,3.008611111111111
10833,af81c15d-2421-4056-844f-abd03d034b44,Prądnik Czerwony,RatherSafe,4,1,2,1,3.4480076400292146,0,Krakow,3.0091666666666668
10834,af81c15d-2421-4056-844f-abd03d034b44,Prądnik Czerwony,RatherSafe,4,1,3,1,2.22245241655614,0,Krakow,3.0094444444444446
12163,ac983344-f5d3-4d11-8a94-3115a3f2fa49,Grzegórzki,RatherSafe,3,1,1,1,0.7927643357155272,0,Krakow,3.3786111111111112
12165,ac983344-f5d3-4d11-8a94-3115a3f2fa49,Grzegórzki,RatherSafe,3,1,3,2,5.150127034444591,0,Krakow,3.379166666666667
13148,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,5,4,1,1,3.5294275080728372,0,Krakow,3.652222222222222
15434,1a63b14b-84ef-498d-9a06-6aa45ae09c75,Stare Miasto,NotSafe,2,1,2,2,4.127316823958885,0,Krakow,4.287222222222222
15436,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,3,1,1,1,1.1844661235060518,0,Krakow,4.2877777777777775
15470,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,3,1,7,6,12.123841244577683,0,Krakow,4.2972222222222225
16678,e47fd21c-f93b-4993-aeea-77f419e72cb8,Podgórze Duchackie,NotSafe,4,1,1,1,0.7684668959802663,0,Krakow,4.632777777777778
16681,e47fd21c-f93b-4993-aeea-77f419e72cb8,Podgórze Duchackie,NotSafe,4,1,3,2,3.7032657799615802,0,Krakow,4.633611111111111
17823,1771d0f6-fed5-4f85-a5c3-c9760edeaa5d,Grzegórzki,RatherSafe,3,1,2,2,3.5119817833403966,0,Krakow,4.950833333333334
20265,ccd11071-f361-4a8d-8af5-72b8c4daa8ce,Czyżyny,RatherSafe,3,1,3,3,5.911475939051112,0,Krakow,5.629166666666666
22431,8dfdda34-aac8-45f7-bc90-59d3297765e9,Stare Miasto,NotSafe,6,1,2,2,0.31059578113429853,0,Krakow,6.230833333333333
22434,8dfdda34-aac8-45f7-bc90-59d3297765e9,Stare Miasto,NotSafe,6,1,5,3,5.263169700398013,0,Krakow,6.2316666666666665
24079,1c8666d2-38ff-483a-98cf-1b62a72d7706,Grzegórzki,RatherSafe,5,1,2,2,1.1151837260622028,0,Krakow,6.688611111111111
24081,1c8666d2-38ff-483a-98cf-1b62a72d7706,Grzegórzki,RatherSafe,5,1,3,1,2.882530500933435,0,Krakow,6.689166666666667
24111,1c8666d2-38ff-483a-98cf-1b62a72d7706,Grzegórzki,RatherSafe,5,1,4,1,1.6716125476854466,0,Krakow,6.6975
25218,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,1,2,2,5.1774300685970776,0,Krakow,7.005
25220,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,1,3,1,2.9980123281360505,0,Krakow,7.0055555555555555
25465,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,4,1,1,3.49530758705992,0,Krakow,7.073611111111111
25466,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dębniki,NotSafe,6,1,1,1,1.1845904175757658,0,Krakow,7.073888888888889
25467,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dębniki,NotSafe,6,1,2,1,2.2904476495470396,0,Krakow,7.074166666666667
25471,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dębniki,NotSafe,6,1,5,3,9.385680517622264,0,Krakow,7.075277777777778
25498,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,4,2,1,3.470226360261968,0,Krakow,7.082777777777777
25829,fec48ef6-9241-4faf-b6b2-ff72b3f23ade,Podgórze Duchackie,NotSafe,5,1,1,1,2.0555601448135534,0,Krakow,7.174722222222222
25832,fec48ef6-9241-4faf-b6b2-ff72b3f23ade,Podgórze Duchackie,NotSafe,5,1,4,3,9.125322031137673,0,Krakow,7.1755555555555555
27911,be5adf17-fffd-42ef-96a6-902b4b266449,Bronowice,NotSafe,4,1,3,3,8.63471475618664,0,Krakow,7.753055555555555
29657,26589b80-fa78-45f6-a9ff-08e1b0a3b07f,Prądnik Czerwony,RatherSafe,4,1,3,3,5.984339353096652,0,Krakow,8.238055555555556
32265,186151cf-94a2-4169-863c-92ca84b82fe7,Łagiewniki-Borek Fałęcki,RatherSafe,4,1,3,3,6.262287579332316,0,Krakow,8.9625
32460,d788a58f-44f3-40d8-9f29-3da99cc6afa5,Nowa Huta,NotSafe,5,1,1,1,0.9466344053409789,0,Krakow,9.016666666666667
32461,d788a58f-44f3-40d8-9f29-3da99cc6afa5,Nowa Huta,NotSafe,5,1,2,1,1.5040279152974512,0,Krakow,9.016944444444444
32464,d788a58f-44f3-40d8-9f29-3da99cc6afa5,Nowa Huta,NotSafe,5,1,4,2,6.808753118952852,0,Krakow,9.017777777777777
35316,219a9e34-c9ad-4851-ac52-610d8cda41ac,Podgórze,Safe,3,1,2,2,1.3339013985981325,0,Krakow,9.81
36037,4ce4bd50-4ff0-4d29-bf55-c1ecaf63ee2d,Prądnik Czerwony,RatherSafe,3,1,3,3,6.176598310974394,0,Krakow,10.010277777777778
38152,06e188f0-e33b-47c3-8813-4eb489f452da,Grzegórzki,RatherSafe,3,1,1,1,1.0856998513612541,0,Krakow,10.597777777777777
38152,06e188f0-e33b-47c3-8813-4eb489f452da,Grzegórzki,RatherSafe,3,1,2,1,0.7534566820322509,0,Krakow,10.597777777777777
38970,eba992ea-85a6-41d7-a292-f638ea521252,Nowa Huta,NotSafe,3,1,2,2,3.4027251405939003,0,Krakow,10.825
40287,086f26f9-eb19-48c3-a1c3-10b36b6b7e55,Stare Miasto,NotSafe,5,1,1,1,0.17555803522698576,0,Krakow,11.190833333333334
