simulationTime[s],averageTimeToReach[s],averageDistanceToReach[m],Category,City
3601,32.5,1152.0,Swat,Krakow
3601,949.5400779160076,21100.890620355724,Ambulance,Krakow
7200,640.6259386869277,14236.131970820614,Ambulance,Krakow
7201,135.45454545454547,5405.0,Swat,Krakow
10800,99.7,3770.1,Swat,Krakow
10800,443.4947373591556,9855.438607981236,Ambulance,Krakow
14400,95.5,4416.5,Swat,Krakow
14401,551.5791007473081,12257.31334994018,Ambulance,Krakow
18000,40.4,1337.9,Swat,Krakow
18000,650.7358722479689,14460.797161065975,Ambulance,Krakow
21601,77.0,2869.5,Swat,Krakow
21601,440.96297827494726,9799.177294998828,Ambulance,Krakow
25200,621.8532228247021,13818.960507215605,Ambulance,Krakow
25202,13.5,653.5,Swat,Krakow
28800,5.625,259.5,Swat,Krakow
28800,746.8609882794972,16596.91085065549,Ambulance,Krakow
32400,11.25,519.0,Swat,Krakow
32400,663.1405851153405,14736.457447007568,Ambulance,Krakow
36000,435.8609683575399,9685.79929683422,Ambulance,Krakow
36000,57.0,2450.0,Swat,Krakow
39600,454.1852288132943,10093.005084739874,Ambulance,Krakow
39600,67.33333333333333,2943.0,Swat,Krakow
43201,501.4430678473344,11143.17928549632,Ambulance,Krakow
43201,12.6875,567.0,Swat,Krakow
46801,804.9681256059055,17888.18056902012,Ambulance,Krakow
46803,19.166666666666668,773.6666666666666,Swat,Krakow
50400,562.5950973189829,12502.113273755178,Ambulance,Krakow
50401,31.5,1503.5,Swat,Krakow
54002,696.003127887378,15466.736175275068,Ambulance,Krakow
54002,48.66666666666666,2385.6666666666665,Swat,Krakow
57600,449.5138004113715,9989.195564697144,Ambulance,Krakow
57600,68.0,3172.5,Swat,Krakow
61200,536.5063498600035,11922.363330222302,Ambulance,Krakow
61200,19.666666666666668,898.5,Swat,Krakow
64801,12.142857142857142,511.4285714285714,Swat,Krakow
64802,638.2652647517482,14183.672550038851,Ambulance,Krakow
68400,8.714285714285714,311.2857142857143,Swat,Krakow
68401,459.008838951353,10200.196421141176,Ambulance,Krakow
72000,452.7709132881844,10061.57585084854,Ambulance,Krakow
72000,2.857142857142857,100.71428571428572,Swat,Krakow
75600,0.0,0.0,Swat,Krakow
75602,581.0740543982837,12912.756764406302,Ambulance,Krakow
79200,563.5296632735888,12522.88140607975,Ambulance,Krakow
79200,0.0,0.0,Swat,Krakow
82801,749.2651580251515,16650.33684500337,Ambulance,Krakow
82802,0.0,0.0,Swat,Krakow
