"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,17611.13088378267,792.5008897702202
7204,22536.299944092418,1014.1334974841589
10802,14421.897280530791,648.9853776238856
14400,11257.827468374198,506.6022360768389
18000,5897.616517615482,265.3927432926967
21601,2746.205516024384,123.57924822109729
25200,2903.920225779322,130.6764101600695
28800,0.0,0.0
32400,8005.377589115328,360.2419915101898
36000,26645.443801250673,1199.0449710562802
39600,9004.569842418156,405.205642908817
43200,19008.3713540695,855.3767109331275
46801,11818.96116015005,531.8532522067522
50401,14809.022286087686,666.4060028739458
54000,0.0,0.0
57600,11128.015399384856,500.76069297231857
61200,14985.389488219625,674.3425269698832
64802,14357.847402717323,646.1031331222796
68400,15690.068354560794,706.0530759552357
72001,14923.453270233214,671.5553971604946
75600,12100.591386734668,544.5266124030601
79202,19423.66420491457,874.0648892211557
82802,14930.905361032355,671.8907412464561
