"simulationTime[s]","amountOfInterventions","interventionsDuration[min]","averageInterventionDuration[min]","amountOfFirings","firingsDuration[min]","averageFiringDuration[min]"
3602,19.0,398.0,20.94736842105263,3.0,233.0,77.66666666666667
7205,21.0,419.0,19.952380952380953,1.0,84.0,84.0
10811,20.0,421.0,21.05,6.0,350.0,58.333333333333336
14401,17.0,331.0,19.470588235294116,4.0,229.0,57.25
18000,13.0,241.0,18.53846153846154,1.0,30.0,30.0
21600,15.0,304.0,20.266666666666666,1.0,76.0,76.0
25200,16.0,343.0,21.4375,2.0,153.0,76.5
28800,12.0,207.0,17.25,0.0,0.0,0.0
32400,20.0,431.0,21.55,2.0,99.0,49.5
36002,18.0,376.0,20.88888888888889,1.0,79.0,79.0
39600,16.0,311.0,19.4375,2.0,159.0,79.5
43202,23.0,492.0,21.391304347826086,4.0,297.0,74.25
46800,17.0,343.0,20.176470588235293,3.0,192.0,64.0
50401,17.0,361.0,21.235294117647058,2.0,123.0,61.5
54000,18.0,336.0,18.666666666666668,0.0,0.0,0.0
57600,14.0,267.0,19.071428571428573,2.0,158.0,79.0
61203,16.0,301.0,18.8125,3.0,207.0,69.0
64800,18.0,408.0,22.666666666666668,1.0,73.0,73.0
68400,20.0,442.0,22.1,2.0,155.0,77.5
72000,20.0,428.0,21.4,4.0,293.0,73.25
75604,17.0,337.0,19.823529411764707,3.0,190.0,63.333333333333336
79202,23.0,463.0,20.130434782608695,5.0,368.0,73.6
82801,27.0,596.0,22.074074074074073,6.0,408.0,68.0
