"simulationTime[s]","averageTransferToInterventionDuration[s]","averageTransferToFiringDuration[s]"
3600,343.6842105263158,167.33333333333334
7204,206.57142857142858,290.0
10802,181.6,127.5
14400,256.0,386.0
18000,169.07692307692307,632.0
21601,189.0,1010.0
25200,178.8,364.0
28800,152.33333333333334,0.0
32400,192.85,198.5
36002,211.88888888888889,0.0
39600,239.0625,481.5
43200,263.5217391304348,343.75
46801,210.47058823529412,227.66666666666666
50401,274.4117647058824,531.0
54000,178.83333333333334,313.0
57600,148.64285714285714,690.0
61200,313.0,201.33333333333334
64801,262.1666666666667,884.0
68400,160.05,480.0
72000,232.0,259.75
75601,166.2941176470588,363.0
79201,198.7826086956522,388.6
82802,223.62962962962962,286.5
