"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,2837.8333333333335,81.0
7205,9085.5,272.0
10810,6742.666666666667,200.91666666666666
14402,7777.875,213.25
18000,10692.5,311.5
21601,15597.0,503.0
25200,0.0,0.0
28800,0.0,0.0
32400,5149.5,130.0
36000,10299.0,260.0
39600,0.0,0.0
43200,0.0,0.0
46800,538.5,14.166666666666666
50401,1191.25,29.25
54000,1534.0,32.0
57600,0.0,0.0
61200,813.6666666666666,24.166666666666668
64802,1017.5,31.0
68400,711.75,20.75
72000,0.0,0.0
75602,904.3333333333334,20.333333333333332
79201,542.6,12.2
82800,407.9166666666667,11.166666666666666
