"simulationTime[s]","districtName","districtSafetyLevel","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfReturningToHqPatrols","amountOfIncidents","isNight"
3600,Reinickendorf,RatherSafe,2,0,0,0,0,0,2,0,1,0
3600,Spandau,NotSafe,2,1,1,0,0,0,0,0,0,0
3600,Mitte,Safe,1,1,0,0,0,0,0,0,0,0
3600,Steglitz-Zehlendorf,NotSafe,5,3,1,0,0,0,1,0,2,0
3600,Treptow-Köpenick,Safe,3,2,0,0,0,1,0,0,1,0
3600,Friedrichshain-Kreuzberg,RatherSafe,3,2,0,0,0,1,0,0,0,0
3600,Tempelhof-Schöneberg,NotSafe,7,0,1,1,0,1,4,0,2,0
3600,Neukölln,Safe,5,4,0,0,0,1,0,0,1,0
3600,Marzahn-Hellersdorf,NotSafe,5,2,0,0,0,3,0,0,3,0
3600,Pankow,Safe,3,2,1,0,0,0,0,0,0,0
3600,Charlottenburg-Wilmersdorf,RatherSafe,3,1,2,0,0,0,0,0,1,0
3600,Lichtenberg,RatherSafe,1,1,0,0,0,0,0,0,0,0
7204,Reinickendorf,RatherSafe,5,1,3,1,0,0,0,0,1,0
7204,Spandau,NotSafe,5,0,0,2,0,0,3,0,3,0
7204,Mitte,Safe,4,3,1,0,0,0,0,0,1,0
7204,Steglitz-Zehlendorf,NotSafe,3,1,0,0,0,1,1,0,2,0
7204,Treptow-Köpenick,Safe,0,0,0,0,0,0,0,0,0,0
7204,Friedrichshain-Kreuzberg,RatherSafe,3,1,1,0,0,1,0,0,1,0
7204,Tempelhof-Schöneberg,NotSafe,8,2,0,0,0,1,5,0,2,0
7204,Neukölln,Safe,2,2,0,0,0,0,0,0,0,0
7204,Marzahn-Hellersdorf,NotSafe,1,1,0,0,0,0,0,0,0,0
7204,Pankow,Safe,4,1,1,1,0,1,0,0,2,0
7204,Charlottenburg-Wilmersdorf,RatherSafe,3,0,0,0,0,3,0,0,3,0
7204,Lichtenberg,RatherSafe,2,1,1,0,0,0,0,0,0,0
10807,Reinickendorf,RatherSafe,2,0,0,0,0,2,0,0,2,0
10807,Spandau,NotSafe,6,1,0,0,0,1,4,0,3,0
10807,Mitte,Safe,4,2,0,0,0,2,0,0,2,0
10807,Steglitz-Zehlendorf,NotSafe,4,1,1,0,0,0,2,0,2,0
10807,Treptow-Köpenick,Safe,3,3,0,0,0,0,0,0,0,0
10807,Friedrichshain-Kreuzberg,RatherSafe,0,0,0,0,0,0,0,0,0,0
10807,Tempelhof-Schöneberg,NotSafe,2,0,1,0,1,0,0,0,1,0
10807,Neukölln,Safe,3,2,0,0,0,0,1,0,1,0
10807,Marzahn-Hellersdorf,NotSafe,4,2,0,0,0,0,2,0,1,0
10807,Pankow,Safe,8,3,0,0,0,0,5,0,2,0
10807,Charlottenburg-Wilmersdorf,RatherSafe,1,0,1,0,0,0,0,0,0,0
10807,Lichtenberg,RatherSafe,3,1,0,0,0,2,0,0,2,0
14402,Reinickendorf,RatherSafe,5,0,1,0,0,0,4,0,2,0
