"simulationTime","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfNeutralizedPatrols","amountOfReturningToHqPatrols","amountOfIncidents","amountOfInterventions","amountOfInterventionsBeingSolved","amountOfFirings","amountOfFiringBeingSolved","isNight"
3600,40,18,6,1,0,8,7,0,0,11,8,8,3,3,0
7204,40,13,7,4,0,7,9,0,0,15,12,12,3,3,0
10807,40,15,3,0,1,7,14,0,0,16,8,8,8,8,0
14402,40,11,9,1,0,4,15,0,0,14,7,7,7,7,0
18000,40,17,2,3,0,4,14,0,0,14,8,8,6,6,0
21601,40,27,1,3,0,4,5,0,0,9,8,7,1,1,0
25201,40,20,8,3,0,2,7,0,0,8,6,6,2,2,0
28800,40,32,4,1,0,3,0,0,0,5,5,5,0,0,0
32400,41,22,3,1,0,10,5,0,0,14,12,12,2,2,0
36003,40,21,4,1,0,13,1,0,0,15,14,13,1,1,0
39600,40,20,2,2,0,6,10,0,0,12,9,9,3,3,0
43200,40,15,1,2,0,9,13,0,0,15,11,11,4,4,0
46800,40,22,4,1,0,2,11,0,0,9,4,4,5,5,0
50401,40,22,1,0,1,2,14,0,0,11,6,6,5,5,0
54000,40,24,5,2,0,5,4,0,0,8,7,7,1,1,0
57600,40,21,3,1,0,4,11,0,0,8,6,6,2,2,1
61201,66,37,4,1,2,4,12,0,6,10,6,6,4,4,1
64800,54,34,4,0,0,4,11,0,1,7,4,4,3,3,1
68400,53,27,3,2,1,9,10,0,1,15,12,12,3,3,1
72001,52,27,2,2,0,5,16,0,0,13,8,8,5,5,1
75602,52,23,5,2,1,5,16,0,0,14,9,9,5,5,1
79201,52,18,4,0,0,9,21,0,0,18,12,11,6,6,1
82800,52,16,1,1,3,7,24,0,0,17,9,9,8,8,1
