"simulationTime[s]","patrolState","timeInState[s]"
1162,PATROLLING,1161.0
1211,CALCULATING_PATH,49.0
1315,PATROLLING,104.0
1685,CALCULATING_PATH,370.0
1942,TRANSFER_TO_INTERVENTION,257.0
3662,INTERVENTION,1720.0
3819,CALCULATING_PATH,157.0
4292,PATROLLING,473.0
4399,CALCULATING_PATH,107.0
4529,TRANSFER_TO_INTERVENTION,130.0
5574,INTERVENTION,1045.0
5661,CALCULATING_PATH,87.0
6184,PATROLLING,523.0
6292,CALCULATING_PATH,108.0
8089,PATROLLING,1797.0
8213,CALCULATING_PATH,124.0
8606,PATROLLING,393.0
8711,CALCULATING_PATH,105.0
8914,TRANSFER_TO_INTERVENTION,203.0
10056,INTERVENTION,1142.0
10197,CALCULATING_PATH,141.0
10283,PATROLLING,86.0
10375,CALCULATING_PATH,92.0
10420,TRANSFER_TO_INTERVENTION,44.0
11640,INTERVENTION,1220.0
11897,CALCULATING_PATH,257.0
15400,PATROLLING,3503.0
15502,CALCULATING_PATH,102.0
17618,PATROLLING,2116.0
17716,CALCULATING_PATH,98.0
18027,PATROLLING,311.0
18161,CALCULATING_PATH,134.0
18571,TRANSFER_TO_INTERVENTION,410.0
19956,INTERVENTION,1385.0
25085,FIRING,5129.0
25186,PATROLLING,101.0
25249,CALCULATING_PATH,63.0
26375,PATROLLING,1126.0
26451,CALCULATING_PATH,76.0
27474,PATROLLING,1023.0
27600,CALCULATING_PATH,126.0
28784,PATROLLING,1184.0
29364,CALCULATING_PATH,580.0
29395,PATROLLING,31.0
29621,CALCULATING_PATH,226.0
30916,RETURNING_TO_HQ,1295.0
31200,INTERVENTION,284.0
31303,CALCULATING_PATH,103.0
31330,PATROLLING,27.0
31421,CALCULATING_PATH,91.0
31824,RETURNING_TO_HQ,403.0
32441,FIRING,617.0
32486,PATROLLING,45.0
32664,CALCULATING_PATH,178.0
34451,RETURNING_TO_HQ,1787.0
41330,FIRING,6879.0
41378,PATROLLING,48.0
41477,CALCULATING_PATH,99.0
41632,TRANSFER_TO_INTERVENTION,155.0
42390,INTERVENTION,758.0
50926,FIRING,8536.0
51003,CALCULATING_PATH,77.0
51210,TRANSFER_TO_FIRING,207.0
54543,FIRING,3333.0
54598,PATROLLING,55.0
54741,CALCULATING_PATH,143.0
57246,PATROLLING,2505.0
57411,CALCULATING_PATH,165.0
58249,PATROLLING,838.0
58304,CALCULATING_PATH,55.0
59134,RETURNING_TO_HQ,830.0
61878,FIRING,2744.0
61916,PATROLLING,38.0
62054,CALCULATING_PATH,138.0
63011,RETURNING_TO_HQ,957.0
64591,FIRING,1580.0
64645,PATROLLING,54.0
64741,CALCULATING_PATH,96.0
65787,RETURNING_TO_HQ,1046.0
66649,FIRING,862.0
66697,PATROLLING,48.0
66896,CALCULATING_PATH,199.0
68447,RETURNING_TO_HQ,1551.0
70015,PATROLLING,1568.0
70088,CALCULATING_PATH,73.0
71202,PATROLLING,1114.0
71324,CALCULATING_PATH,122.0
72048,PATROLLING,724.0
72132,CALCULATING_PATH,84.0
72339,TRANSFER_TO_INTERVENTION,207.0
73696,INTERVENTION,1357.0
73792,CALCULATING_PATH,96.0
75080,PATROLLING,1288.0
75217,CALCULATING_PATH,137.0
75539,PATROLLING,322.0
75637,CALCULATING_PATH,98.0
75887,TRANSFER_TO_INTERVENTION,250.0
77008,INTERVENTION,1121.0
77101,CALCULATING_PATH,93.0
77381,PATROLLING,280.0
77506,CALCULATING_PATH,125.0
79174,PATROLLING,1668.0
79261,CALCULATING_PATH,86.0
79531,TRANSFER_TO_INTERVENTION,270.0
81137,INTERVENTION,1606.0
81240,CALCULATING_PATH,103.0
81268,PATROLLING,28.0
81363,CALCULATING_PATH,95.0
81547,TRANSFER_TO_FIRING,184.0
85347,FIRING,3800.0
85393,PATROLLING,46.0
85555,CALCULATING_PATH,162.0
85593,PATROLLING,38.0
85719,CALCULATING_PATH,126.0
86078,TRANSFER_TO_INTERVENTION,359.0
