"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
1213,3bdf5c51-810c-49f2-a0d3-dec083ae26c4,Steglitz-Zehlendorf,NotSafe,"3310,5897439760483"
1214,1ce676d4-dbdb-40b7-bc2d-9762460cb47f,Tempelhof-Schöneberg,NotSafe,"3154,466519269029"
1278,e506bf60-9e97-40a1-899c-4955251c00e3,Tempelhof-Schöneberg,NotSafe,"2812,3563771338945"
1280,679f8d3e-1cdf-46f2-ab19-a2cc4a34813f,Friedrichshain-Kreuzberg,RatherSafe,"2391,107766806784"
1285,3b31b2fb-008c-4f8d-b332-4da8b05edeeb,Friedrichshain-Kreuzberg,RatherSafe,"7742,509592521758"
1286,319ab85b-4600-4192-9b2f-f7ad44eb8f6e,Charlottenburg-Wilmersdorf,RatherSafe,"3007,9859979976404"
1316,c8a790b6-2a38-4bbd-9da6-ee158c5bf39e,Steglitz-Zehlendorf,NotSafe,"13118,434135834808"
1318,64121605-ce8b-4b41-990f-14ec69bee86e,Marzahn-Hellersdorf,NotSafe,"12767,535346198167"
1319,e3ff2161-88bc-4afd-a04d-ea9db1b7fc3e,Treptow-Köpenick,Safe,"13091,545682556667"
1444,9d9d0c47-de1c-40e4-b6a9-e82c6aeee783,Reinickendorf,RatherSafe,"8209,153576259025"
1496,b68d67bd-c549-4590-aa1c-f1e7cb24b85a,Pankow,Safe,"5596,187384958467"
1498,c0b4b151-2968-4885-8b23-f3cb305629aa,Friedrichshain-Kreuzberg,RatherSafe,"1297,5713552987938"
1638,d7879dd3-340e-4680-92f6-e012f7890def,Charlottenburg-Wilmersdorf,RatherSafe,"1937,8824068309864"
1687,ff3183b6-d0e7-4e31-b957-4bf2796541c9,Tempelhof-Schöneberg,NotSafe,"7775,440490735608"
1753,f4bebc4d-95c5-4875-9918-adfe293eec4d,Marzahn-Hellersdorf,NotSafe,"13177,488230297806"
2462,ab00acaf-0901-469d-ab67-8c888459bd19,Neukölln,Safe,"1799,113060899585"
2554,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,"2070,2645949874236"
2819,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,"3426,649727103286"
2860,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,"3540,3507856300866"
3004,630f411f-9337-41d8-ba56-0820144e9791,Marzahn-Hellersdorf,NotSafe,"1414,9850106651131"
3170,88d88c43-bca9-458e-9a54-e7ff659de3cf,Reinickendorf,RatherSafe,"1906,0884915477031"
