"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
2556,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,"13622,944827456475",613.0325172355414
3170,88d88c43-bca9-458e-9a54-e7ff659de3cf,Reinickendorf,RatherSafe,"14017,911809912712",630.8060314460721
3470,e99294cb-18c1-40a1-902b-453ce3db0aad,Steglitz-Zehlendorf,NotSafe,"25192,536013978824",1133.6641206290471
6048,9793ef56-ae84-4f58-8130-f1a7ec0d507d,Spandau,NotSafe,"22536,299944092418",1014.1334974841589
8606,c21b8aea-85a4-4b1b-b8c6-1dc48a36c567,Spandau,NotSafe,"27103,712611145613",1219.6670675015525
9572,119cea77-8f2f-4e2d-b4a5-f9e03a298fba,Pankow,Safe,"5674,51280085261",255.35307603836745
9937,3c20862f-b1ed-4e9d-8e7b-da3e0508aa0f,Marzahn-Hellersdorf,NotSafe,"8763,70482202436",394.3667169910962
9937,8a2e04dc-2565-483b-977f-e6c3b482c54c,Steglitz-Zehlendorf,NotSafe,"27610,32890320881",1242.4648006443965
9937,3f76ffa9-ca81-4ffa-8e99-85be24a075a0,Pankow,Safe,"6029,276944680197",271.31746251060883
10572,c4ead97f-2fe7-4f1d-9d4f-357d923afc02,Neukölln,Safe,"11349,847601273152",510.74314205729183
12314,e76406ba-9f69-4d88-8b58-77dfd1467e67,Lichtenberg,RatherSafe,"3294,8662144745176",148.2689796513533
12504,182ba45b-43c7-4584-b06e-dd9d42f5aefc,Reinickendorf,RatherSafe,"20990,260395244313",944.5617177859941
13682,7fa93074-f7fd-495d-829d-1d93fcea806f,Marzahn-Hellersdorf,NotSafe,"3555,495291603738",159.99728812216821
14387,6ce58f2a-d4d3-456d-bac4-7a4ace95f1bd,Reinickendorf,RatherSafe,"17190,687972174223",773.58095874784
17932,bc4a5ac4-9b27-4bba-ac09-53476d8c2a94,Pankow,Safe,"5897,616517615482",265.3927432926967
19931,82ecdf15-a640-4bc8-a504-e30761c4b716,Marzahn-Hellersdorf,NotSafe,"2746,205516024384",123.57924822109729
22003,5c2fd87f-3d15-4d61-b6d1-476487df0e34,Marzahn-Hellersdorf,NotSafe,"2457,234352752119",110.57554587384536
22116,dfc5821a-e8bb-42ba-8e77-306c9f2c6179,Marzahn-Hellersdorf,NotSafe,"3350,6060988065256",150.77727444629366
29648,9e2c8ff7-f686-4225-86e8-2e1162e24b9c,Treptow-Köpenick,Safe,"6715,761629357901",302.20927332110557
30507,8f730aec-d51a-414d-86b4-4cce6b190e45,Friedrichshain-Kreuzberg,RatherSafe,"9294,993548872755",418.274709699274
32606,c43c3dc3-7c76-4967-9157-2479a1b880b9,Spandau,NotSafe,"26645,443801250673",1199.0449710562802
36066,75dce25c-6e88-46ed-bf77-c5e4b2d06765,Lichtenberg,RatherSafe,"4981,629956850091",224.1733480582541
36782,5fea4d0a-dd42-4c8c-a90f-943f1fd6026a,Tempelhof-Schöneberg,NotSafe,"13027,50972798622",586.23793775938
39642,999992ef-54b7-4d09-a870-77de4ab69266,Reinickendorf,RatherSafe,"19200,782244914764",864.0352010211644
39940,4f0a6c2a-0673-4ea0-a0bf-4e378a54b77b,Marzahn-Hellersdorf,NotSafe,"5864,754287980905",263.91394295914074
42358,de5d30c4-9e3c-4fd4-9dfd-9a258f2ea786,Spandau,NotSafe,"24784,25040731061",1115.2912683289776
42916,0f121d6c-7b26-4246-85dd-98de1c0516a0,Spandau,NotSafe,"26183,698476071717",1178.2664314232272
