"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
2555,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,5,1,1,1,"2070,2645949874236",0
2819,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,5,1,2,1,"3426,649727103286",0
2860,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,5,1,3,1,"3540,3507856300866",0
3170,88d88c43-bca9-458e-9a54-e7ff659de3cf,Reinickendorf,RatherSafe,3,1,1,1,"1906,0884915477031",0
3576,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,5,4,1,1,"245,23117258772666",0
4373,88d88c43-bca9-458e-9a54-e7ff659de3cf,Reinickendorf,RatherSafe,3,2,1,1,"3538,40005482396",0
6048,9793ef56-ae84-4f58-8130-f1a7ec0d507d,Spandau,NotSafe,3,1,2,2,"2945,507740809582",0
9508,e99294cb-18c1-40a1-902b-453ce3db0aad,Steglitz-Zehlendorf,NotSafe,6,1,1,1,"3445,9839505901455",0
9572,119cea77-8f2f-4e2d-b4a5-f9e03a298fba,Pankow,Safe,3,1,3,3,"6202,042685359791",0
9937,3f76ffa9-ca81-4ffa-8e99-85be24a075a0,Pankow,Safe,2,1,1,1,"1959,7056356440971",0
10160,3c20862f-b1ed-4e9d-8e7b-da3e0508aa0f,Marzahn-Hellersdorf,NotSafe,4,1,1,1,"3415,7321803825403",0
10571,c4ead97f-2fe7-4f1d-9d4f-357d923afc02,Neukölln,Safe,2,1,1,1,"2045,5805156940746",0
10948,e76406ba-9f69-4d88-8b58-77dfd1467e67,Lichtenberg,RatherSafe,3,1,1,1,"1545,4580099548614",0
10976,e76406ba-9f69-4d88-8b58-77dfd1467e67,Lichtenberg,RatherSafe,3,1,3,2,"6537,943232917862",0
11791,e99294cb-18c1-40a1-902b-453ce3db0aad,Steglitz-Zehlendorf,NotSafe,6,2,1,1,"3416,909650557637",0
11792,3c20862f-b1ed-4e9d-8e7b-da3e0508aa0f,Marzahn-Hellersdorf,NotSafe,4,2,1,1,"3491,3286870523943",0
11934,c21b8aea-85a4-4b1b-b8c6-1dc48a36c567,Spandau,NotSafe,5,1,1,1,"3441,034396693522",0
12172,182ba45b-43c7-4584-b06e-dd9d42f5aefc,Reinickendorf,RatherSafe,4,1,1,1,"2340,4063091634503",0
12392,182ba45b-43c7-4584-b06e-dd9d42f5aefc,Reinickendorf,RatherSafe,4,1,2,1,"3558,9290570933335",0
13185,c21b8aea-85a4-4b1b-b8c6-1dc48a36c567,Spandau,NotSafe,5,2,1,1,"3229,8974686519314",0
13862,7fa93074-f7fd-495d-829d-1d93fcea806f,Marzahn-Hellersdorf,NotSafe,3,1,1,1,"3471,384490780101",0
14298,6ce58f2a-d4d3-456d-bac4-7a4ace95f1bd,Reinickendorf,RatherSafe,4,1,1,1,"3357,031675766633",0
15054,7fa93074-f7fd-495d-829d-1d93fcea806f,Marzahn-Hellersdorf,NotSafe,3,2,1,1,"3455,24652929605",0
15857,3c20862f-b1ed-4e9d-8e7b-da3e0508aa0f,Marzahn-Hellersdorf,NotSafe,4,3,1,1,"0,0",0
16060,182ba45b-43c7-4584-b06e-dd9d42f5aefc,Reinickendorf,RatherSafe,4,3,1,1,"3599,558311718306",0
16287,6ce58f2a-d4d3-456d-bac4-7a4ace95f1bd,Reinickendorf,RatherSafe,4,2,1,1,"3582,791591092638",0
17310,6ce58f2a-d4d3-456d-bac4-7a4ace95f1bd,Reinickendorf,RatherSafe,4,3,1,1,"3457,118533179525",0
18057,8a2e04dc-2565-483b-977f-e6c3b482c54c,Steglitz-Zehlendorf,NotSafe,4,1,3,3,"8800,412615021622",0
19931,82ecdf15-a640-4bc8-a504-e30761c4b716,Marzahn-Hellersdorf,NotSafe,5,1,1,1,"3232,2443857852636",0
20078,82ecdf15-a640-4bc8-a504-e30761c4b716,Marzahn-Hellersdorf,NotSafe,5,1,2,1,"3572,4468173893188",0
20481,82ecdf15-a640-4bc8-a504-e30761c4b716,Marzahn-Hellersdorf,NotSafe,5,2,2,1,"3302,738115445038",0
20595,82ecdf15-a640-4bc8-a504-e30761c4b716,Marzahn-Hellersdorf,NotSafe,5,3,2,1,"3580,1254227831687",0
22003,5c2fd87f-3d15-4d61-b6d1-476487df0e34,Marzahn-Hellersdorf,NotSafe,4,1,1,1,"2302,1400330746665",0
22089,5c2fd87f-3d15-4d61-b6d1-476487df0e34,Marzahn-Hellersdorf,NotSafe,4,1,2,1,"3515,73283019539",0
22116,5c2fd87f-3d15-4d61-b6d1-476487df0e34,Marzahn-Hellersdorf,NotSafe,4,1,3,1,"3492,686862001491",0
22715,dfc5821a-e8bb-42ba-8e77-306c9f2c6179,Marzahn-Hellersdorf,NotSafe,3,1,1,1,"3551,1635172473893",0
23859,dfc5821a-e8bb-42ba-8e77-306c9f2c6179,Marzahn-Hellersdorf,NotSafe,3,2,1,1,"3359,4669844064274",0
