"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
2553,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,PATROLLING,2,"2070,2645949874236",0
2818,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,PATROLLING,3,"3426,649727103286",0
2859,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,PATROLLING,3,"3540,3507856300866",0
3169,88d88c43-bca9-458e-9a54-e7ff659de3cf,Reinickendorf,RatherSafe,PATROLLING,2,"1906,0884915477031",0
3574,98d9e91c-9227-42a2-b62c-c2b41bfe6b9d,Tempelhof-Schöneberg,NotSafe,PATROLLING,1,"245,23117258772666",0
4372,88d88c43-bca9-458e-9a54-e7ff659de3cf,Reinickendorf,RatherSafe,PATROLLING,3,"3538,40005482396",0
6046,9793ef56-ae84-4f58-8130-f1a7ec0d507d,Spandau,NotSafe,PATROLLING,2,"1568,848400584177",0
6048,9793ef56-ae84-4f58-8130-f1a7ec0d507d,Spandau,NotSafe,PATROLLING,2,"1376,6593402254055",0
9507,e99294cb-18c1-40a1-902b-453ce3db0aad,Steglitz-Zehlendorf,NotSafe,TRANSFER_TO_INTERVENTION,4,"3445,9839505901455",0
9569,119cea77-8f2f-4e2d-b4a5-f9e03a298fba,Pankow,Safe,PATROLLING,2,"2375,505338016318",0
9570,119cea77-8f2f-4e2d-b4a5-f9e03a298fba,Pankow,Safe,PATROLLING,2,"1614,7382157659858",0
9572,119cea77-8f2f-4e2d-b4a5-f9e03a298fba,Pankow,Safe,PATROLLING,2,"2211,7991315774875",0
9936,3f76ffa9-ca81-4ffa-8e99-85be24a075a0,Pankow,Safe,PATROLLING,2,"1959,7056356440971",0
