"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,8299.736578400145,373.48814602800655
7200,7634.952877845976,343.5728795030689
10803,6490.692452669064,292.0811603701078
14401,8158.005452755845,367.11024537401295
18001,7562.872425170996,340.32925913269486
21601,5558.8727632279715,250.14927434525876
25201,6018.223187079282,270.8200434185677
28800,5130.575928348027,230.87591677566124
32400,6421.197729291829,288.9538978181323
36000,7953.949999856356,357.9277499935361
39600,7125.171000116016,320.6326950052207
43201,4384.047105876989,197.28211976446457
46800,5673.290295491704,255.2980632971266
50401,8294.540273618444,373.25431231282994
54001,5050.917556673911,227.29129005032604
57602,6648.220893915058,299.1699402261776
61200,5990.2402972912805,269.5608133781076
64801,6715.079563768691,302.17858036959115
68401,7101.02139904639,319.5459629570875
72000,6510.613568167878,292.9776105675545
75600,6297.979865105448,283.4090939297452
79202,5756.3139538577825,259.03412792360024
82802,7992.132689972575,359.645971048766
