"simulationTime[s]","amountOfInterventions","interventionsDuration[min]","averageInterventionDuration[min]","amountOfFirings","firingsDuration[min]","averageFiringDuration[min]"
3600,73.0,1489.0,20.397260273972602,4.0,255.0,63.75
7200,70.0,1418.0,20.257142857142856,7.0,451.0,64.42857142857143
10801,75.0,1397.0,18.626666666666665,11.0,575.0,52.27272727272727
14400,72.0,1488.0,20.666666666666668,5.0,369.0,73.8
18001,77.0,1521.0,19.753246753246753,6.0,364.0,60.666666666666664
21600,64.0,1254.0,19.59375,8.0,518.0,64.75
25201,68.0,1366.0,20.08823529411765,7.0,448.0,64.0
28800,75.0,1432.0,19.093333333333334,10.0,652.0,65.2
32400,71.0,1395.0,19.64788732394366,9.0,617.0,68.55555555555556
36000,82.0,1650.0,20.121951219512194,5.0,323.0,64.6
39600,72.0,1457.0,20.23611111111111,6.0,336.0,56.0
43201,69.0,1392.0,20.17391304347826,8.0,483.0,60.375
46801,72.0,1475.0,20.48611111111111,8.0,509.0,63.625
50401,68.0,1286.0,18.91176470588235,6.0,372.0,62.0
54001,77.0,1514.0,19.662337662337663,10.0,651.0,65.1
57602,74.0,1511.0,20.41891891891892,5.0,284.0,56.8
61200,83.0,1619.0,19.50602409638554,8.0,530.0,66.25
64802,76.0,1538.0,20.236842105263158,9.0,566.0,62.888888888888886
68400,95.0,1935.0,20.36842105263158,15.0,1006.0,67.06666666666666
72000,57.0,1086.0,19.05263157894737,5.0,329.0,65.8
75600,77.0,1514.0,19.662337662337663,13.0,825.0,63.46153846153846
79200,75.0,1485.0,19.8,15.0,957.0,63.8
82802,64.0,1329.0,20.765625,12.0,806.0,67.16666666666667
