"simulationTime[s]","averageTransferToInterventionDuration[s]","averageTransferToFiringDuration[s]"
3600,157.1917808219178,422.0
7200,340.0,233.0
10800,132.65333333333334,146.63636363636363
14402,106.88888888888889,401.8
18001,119.57142857142857,247.5
21601,104.84375,140.875
25201,155.7941176470588,370.7142857142857
28800,152.12,308.0
32400,109.50704225352112,346.22222222222223
36000,252.65853658536585,403.8
39600,153.73611111111111,297.5
43201,146.05797101449275,252.75
46800,185.625,228.625
50401,133.01470588235293,227.0
54001,198.1818181818182,207.2
57602,162.24324324324326,226.6
61202,121.20481927710843,391.5
64800,150.0921052631579,319.44444444444446
68401,313.65263157894736,336.26666666666665
72000,142.33333333333334,601.4
75600,114.28571428571429,280.84615384615387
79202,225.21333333333334,271.6
82802,139.875,225.83333333333334
