"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,974.25,33.0
7200,1305.5,47.42857142857143
10801,1212.409090909091,41.63636363636363
14402,3107.4,111.2
18001,1277.5,45.5
21601,334.6875,11.625
25201,1180.2142857142858,42.857142857142854
28803,872.65,30.15
32400,1495.3333333333333,51.55555555555556
36000,500.7,18.1
39600,974.5,31.0
43200,520.625,17.875
46800,469.5,16.25
50401,959.3333333333334,34.916666666666664
54003,1318.2,43.5
57606,2334.8,76.7
61202,294.0,6.5
64800,483.6111111111111,13.777777777777779
68400,424.1666666666667,14.833333333333334
72002,799.4,27.5
75600,328.03846153846155,9.538461538461538
79202,222.8,6.1
82802,58.666666666666664,2.0833333333333335
