"simulationTime[s]","districtName","districtSafetyLevel","patrolID","previousPatrolState","currentPatrolState","isNight"
27,Vélez Sarsfield,RatherSafe,5a9e9cfa-1423-4c3c-b14e-4ef181a92fdd, ,PATROLLING,0
56,Vélez Sarsfield,RatherSafe,1bbfb656-dbab-4c5b-906d-384280f2c9e5, ,PATROLLING,0
77,Vélez Sarsfield,RatherSafe,cdac142b-e7bd-40d0-a8ee-298341c45f11, ,PATROLLING,0
77,Vélez Sarsfield,RatherSafe,b49573fc-a1d7-405b-815c-aad7c1914769, ,PATROLLING,0
78,Vélez Sarsfield,RatherSafe,c85e3b59-255a-4bab-b852-8a7b45744519, ,PATROLLING,0
79,Vélez Sarsfield,RatherSafe,bfe5ccb1-ef25-4acf-8037-99ed36b64d99, ,PATROLLING,0
79,Vélez Sarsfield,RatherSafe,1b7274cb-293d-46be-9c29-b48ecce64ca9, ,PATROLLING,0
84,Vélez Sarsfield,RatherSafe,e952e4da-c980-4b87-ac98-577cc4bf92d1, ,PATROLLING,0
85,Vélez Sarsfield,RatherSafe,d7936f50-6382-488e-a08f-06ea7c75e5dd, ,PATROLLING,0
86,Vélez Sarsfield,RatherSafe,a08c99e7-8c65-43a7-b024-2a077e7de888, ,PATROLLING,0
87,Vélez Sarsfield,RatherSafe,44dfe386-d74e-4806-be5c-2acd23b668e1, ,PATROLLING,0
88,Vélez Sarsfield,RatherSafe,9d046e20-e3e2-47ec-84e3-80b1dea90aad, ,PATROLLING,0
127,Vélez Sarsfield,RatherSafe,7b22514e-4fb1-42bc-9d84-d36b674a47cb, ,PATROLLING,0
130,Vélez Sarsfield,RatherSafe,82de6b37-a8f2-4026-816d-4910c2590755, ,PATROLLING,0
131,Vélez Sarsfield,RatherSafe,b345c0ec-b1d9-47d2-baa5-e16f1c125efc, ,PATROLLING,0
133,Vélez Sarsfield,RatherSafe,03ec3ad8-954b-4d59-a816-44cefedaa5a4, ,PATROLLING,0
134,Vélez Sarsfield,RatherSafe,c6ac4ebd-a09d-47c1-8fdd-38f020da673a, ,PATROLLING,0
137,Vélez Sarsfield,RatherSafe,89622c38-a72c-4063-9792-c7c5c74aa014, ,PATROLLING,0
145,Vélez Sarsfield,RatherSafe,9a7d17a1-0df6-4e09-a531-30e9c947b60d, ,PATROLLING,0
147,Vélez Sarsfield,RatherSafe,2ba9bb65-933f-4200-97b9-3f9cc34cf374, ,PATROLLING,0
182,Vélez Sarsfield,RatherSafe,d137dcd1-661f-4b87-a6a2-c5419c87555b, ,PATROLLING,0
190,Vélez Sarsfield,RatherSafe,feaf06f3-fa4f-4a85-9c6d-8ac6b5200eb0, ,PATROLLING,0
191,Vélez Sarsfield,RatherSafe,dcef269e-645f-49d6-9891-161fac1d9230, ,PATROLLING,0
193,Vélez Sarsfield,RatherSafe,686da13e-5f14-4020-b227-69c365743895, ,PATROLLING,0
197,Vélez Sarsfield,RatherSafe,0fce73a4-d57d-41f3-90c4-e31c345f23ba, ,PATROLLING,0
200,Vélez Sarsfield,RatherSafe,08c7adf7-d305-4606-911e-529f40ca1421, ,PATROLLING,0
228,Vélez Sarsfield,RatherSafe,7dc147b9-7970-4792-aa28-df6e06565c22, ,PATROLLING,0
232,Vélez Sarsfield,RatherSafe,bbc9685e-35a4-45ce-bb44-a6198b73afc2, ,PATROLLING,0
234,Vélez Sarsfield,RatherSafe,7902cee5-10e4-4c74-8bf1-0176f96e9601, ,PATROLLING,0
283,Vélez Sarsfield,RatherSafe,a3004fa2-76cb-40df-acba-4f9b816363f3, ,PATROLLING,0
289,Vélez Sarsfield,RatherSafe,25d176e8-3332-4258-9c95-7087893807a1, ,PATROLLING,0
291,Vélez Sarsfield,RatherSafe,a29d7cc5-d84c-44c0-ad03-7dd88b910e9e, ,PATROLLING,0
