"simulationTime[s]","districtName","districtSafetyLevel","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfReturningToHqPatrols","amountOfIncidents","isNight"
3603,Villa Santa Rita,RatherSafe,0,0,0,0,0,0,0,0,0,0
3603,Villa del Parque,NotSafe,1,0,1,0,0,0,0,0,1,0
3603,Villa General Mitre,Safe,0,0,0,0,0,0,0,0,0,0
3603,Villa Devoto,RatherSafe,5,0,0,1,0,0,4,0,3,0
3603,Villa Pueyrredón,RatherSafe,1,0,0,0,0,1,0,0,1,0
3603,Agronomía,Safe,0,0,0,0,0,0,0,0,1,0
3603,La Paternal,NotSafe,3,0,1,2,0,0,0,0,1,0
3603,Parque Chas,RatherSafe,0,0,0,0,0,0,0,0,1,0
3603,Chacarita,RatherSafe,0,0,0,0,0,0,0,0,0,0
3603,Villa Ortúzar,RatherSafe,1,1,0,0,0,0,0,0,1,0
3603,Villa Crespo,NotSafe,1,1,0,0,0,0,0,0,2,0
3603,Caballito,Safe,0,0,0,0,0,0,0,0,1,0
3603,Monte Castro,RatherSafe,0,0,0,0,0,0,0,0,0,0
3603,Floresta,RatherSafe,1,1,0,0,0,0,0,0,0,0
3603,Flores,RatherSafe,1,0,1,0,0,0,0,0,0,0
3603,Villa Real,RatherSafe,0,0,0,0,0,0,0,0,1,0
3603,Versalles,NotSafe,5,0,0,0,0,0,5,0,3,0
3603,Villa Luro,Safe,1,0,1,0,0,0,0,0,1,0
3603,Vélez Sarsfield,RatherSafe,2,2,0,0,0,0,0,0,1,0
3603,Villa Urquiza,RatherSafe,0,0,0,0,0,0,0,0,2,0
3603,Saavedra,RatherSafe,0,0,0,0,0,0,0,0,0,0
3603,Nú?ez,RatherSafe,1,0,0,1,0,0,0,0,2,0
3603,Colegiales,NotSafe,0,0,0,0,0,0,0,0,0,0
3603,Belgrano,Safe,0,0,0,0,0,0,0,0,1,0
3603,Palermo,RatherSafe,1,0,1,0,0,0,0,0,0,0
3603,Liniers,RatherSafe,0,0,0,0,0,0,0,0,1,0
3603,Mataderos,RatherSafe,0,0,0,0,0,0,0,0,1,0
3603,Parque Avellaneda,Safe,6,0,0,1,0,0,5,0,2,0
3603,Parque Chacabuco,NotSafe,1,0,1,0,0,0,0,0,1,0
3603,Almagro,RatherSafe,1,0,1,0,0,0,0,0,0,0
3603,Boedo,RatherSafe,1,0,0,0,0,1,0,0,1,0
3603,Balvanera,RatherSafe,1,1,0,0,0,0,0,0,0,0
3603,San Cristóbal,RatherSafe,2,0,2,0,0,0,0,0,0,0
3603,Monserrat,RatherSafe,0,0,0,0,0,0,0,0,0,0
3603,San Nicolás,RatherSafe,1,1,0,0,0,0,0,0,0,0
3603,San Telmo,RatherSafe,0,0,0,0,0,0,0,0,2,0
3603,Constitución,Safe,1,0,1,0,0,0,0,0,0,0
3603,Parque Patricios,NotSafe,2,0,0,0,0,0,2,0,3,0
3603,Nueva Pompeya,RatherSafe,2,0,0,0,0,2,0,0,3,0
3603,Villa Lugano,RatherSafe,0,0,0,0,0,0,0,0,2,0
3603,Villa Soldati,RatherSafe,0,0,0,0,0,0,0,0,0,0
3603,Villa Riachuelo,RatherSafe,0,0,0,0,0,0,0,0,2,0
3603,Barracas,RatherSafe,1,0,0,0,0,1,0,0,3,0
3603,La Boca,RatherSafe,0,0,0,0,0,0,0,0,0,0
3603,Recoleta,RatherSafe,0,0,0,0,0,0,0,0,1,0
3603,Retiro,RatherSafe,2,0,0,0,2,0,0,0,2,0
3603,Puerto Madero,RatherSafe,0,0,0,0,0,0,0,0,0,0
3603,Coghlan,RatherSafe,3,0,1,0,0,2,0,0,1,0
3603,Buenos Aires,RatherSafe,0,0,0,0,0,0,0,0,0,0
7200,Villa Santa Rita,RatherSafe,1,0,0,0,0,1,0,0,1,0
7200,Villa del Parque,NotSafe,0,0,0,0,0,0,0,0,0,0
7200,Villa General Mitre,Safe,2,1,0,0,0,1,0,0,1,0
7200,Villa Devoto,RatherSafe,2,0,0,1,0,1,0,0,2,0
7200,Villa Pueyrredón,RatherSafe,1,0,0,0,0,1,0,0,2,0
