"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"23,47,35,14,12,0,0"
"61,96,89,16,16,0,0"
"68,74,71,18,17,0,0"
"70,73,81,22,15,0,0"
"71,77,70,15,12,0,0"
"57,64,63,15,17,0,0"
"51,68,62,30,25,0,0"
"62,74,71,30,27,0,0"
"62,71,67,27,20,38,0"
"66,83,77,15,15,29,0"
"63,72,70,14,13,9,0"
"64,69,63,21,15,1,0"
"59,71,66,19,20,0,0"
"55,69,64,16,14,0,0"
"57,77,68,21,20,0,0"
"69,74,72,13,8,0,1"
"74,83,81,28,22,36,0"
"56,76,67,29,29,11,0"
"56,95,65,49,40,9,0"
"52,56,54,25,24,7,0"
"57,78,67,35,26,3,0"
"49,75,59,40,39,1,0"
"48,64,57,33,27,1,0"
