"simulationTime","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfNeutralizedPatrols","amountOfReturningToHqPatrols","amountOfIncidents","amountOfInterventions","amountOfInterventionsBeingSolved","amountOfFirings","amountOfFiringBeingSolved","isNight"
3603,48,6,11,5,2,8,16,0,0,48,44,18,4,4,0
7200,77,12,2,9,0,29,25,0,0,44,38,38,6,6,0
10801,77,16,4,9,0,22,26,0,0,43,33,32,10,10,0
14400,77,26,5,1,1,27,17,0,0,35,30,30,5,5,0
18001,77,28,3,6,2,20,18,0,0,34,28,28,6,6,0
21602,77,21,3,6,0,18,29,0,0,34,25,25,9,9,0
25201,77,22,0,6,0,22,27,0,0,38,32,32,6,6,0
28800,77,12,1,5,0,22,37,0,0,40,30,29,10,10,0
32400,79,23,1,6,0,18,31,0,0,36,27,26,9,9,0
36000,74,14,0,7,0,24,25,0,4,43,37,37,6,6,0
39600,65,10,1,5,0,26,23,0,0,39,33,33,6,6,0
43201,64,14,3,4,4,19,20,0,0,37,29,29,8,8,0
46800,68,18,1,5,1,18,25,0,0,37,29,28,8,8,0
50401,68,11,5,6,2,21,23,0,0,41,33,33,8,8,0
54001,71,3,2,10,0,22,34,0,0,46,35,35,11,11,0
57606,75,32,2,5,1,22,12,1,0,39,34,34,5,5,1
61200,91,28,3,5,4,22,28,1,1,38,30,30,8,8,1
64800,80,7,1,5,3,25,38,1,1,46,36,36,10,10,1
68400,90,5,5,7,3,22,48,1,0,59,44,44,15,15,1
72002,85,29,0,3,1,20,30,1,2,39,31,30,8,8,1
75600,81,8,1,7,5,21,38,1,1,50,36,36,14,14,1
79202,91,15,4,5,1,19,46,1,1,48,32,32,16,16,1
82803,89,15,10,7,0,17,40,1,0,44,30,30,14,14,1
