"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
520,a2f2eb1d-cd6b-4056-b1d4-f3c6d8551885,Villa Ortúzar,RatherSafe,"5847,705733510436"
620,1917d577-e25c-4f9f-8254-a9f94025db2f,Versalles,NotSafe,"3333,594100099373"
647,7cdcf115-5fe4-45bf-b262-1e415ff23fdd,Almagro,RatherSafe,"6969,41936571128"
651,713b519b-0439-4660-b543-1596278f27ee,Parque Patricios,NotSafe,"8146,722187976287"
659,23ab1e16-493b-491c-954c-3729dd8fb250,Coghlan,RatherSafe,"7646,632878129916"
1286,4d9c7a8a-830a-464c-b52d-c3f1e47673ad,La Paternal,NotSafe,"1912,439711404221"
1289,6094a7ff-d7a8-4984-91be-82988f9d8358,Agronomía,Safe,"2885,9083395452335"
1295,b0a495be-02ab-42f6-9554-58cdec1aa264,Villa Devoto,RatherSafe,"1830,097247185708"
1386,e5626e54-2e3b-40e4-9fbf-5d59f25d7024,Floresta,RatherSafe,"954,80879614757"
1401,771ad71d-e935-4423-b87b-6e90524b9672,Floresta,RatherSafe,"1962,205362377385"
1416,d0a023cd-fb42-4910-aefc-d611720e4b7d,Versalles,NotSafe,"2324,4926978563713"
1418,373ec9d0-02f5-413e-8307-dec9eb8990a1,Monte Castro,RatherSafe,"1193,0502856256855"
1419,2b0dd6a3-e968-4a69-8a58-eba9745b4f2b,Villa Ortúzar,RatherSafe,"3676,9804806561124"
1512,8576bd7a-8fda-473d-b62b-964223f026f1,Villa Crespo,NotSafe,"2773,6919174335508"
1519,bc2a423c-04a4-4b9c-b08e-70d67e5dbf16,Vélez Sarsfield,RatherSafe,"1949,2925796141062"
1522,10c573ae-a8fa-4b5c-81f0-5efe087c2982,Vélez Sarsfield,RatherSafe,"1036,7755091934275"
1523,6054cd44-a8c7-4452-8347-3aa380aceb8c,Parque Chacabuco,NotSafe,"2552,5984282434174"
1527,02855864-3868-4b7a-9d99-65bd33bca385,San Cristóbal,RatherSafe,"5692,392991323163"
1529,e0fe61be-c5b3-4e0b-9829-ccca39c8d4f6,San Nicolás,RatherSafe,"7687,388204996134"
1531,4b7406e6-c5e8-4e67-9954-641cc0238129,San Cristóbal,RatherSafe,"7052,223966329258"
1532,98d856f4-5fe9-42e7-a271-d69cd3a27951,Nueva Pompeya,RatherSafe,"4481,019556815107"
1534,7e5004ab-e80a-400d-9d03-f5709dfd1ac0,Nueva Pompeya,RatherSafe,"5573,481123703071"
1535,c0d97a57-df56-40f8-a114-09108ce16703,Barracas,RatherSafe,"9568,674335010215"
1536,b69a3f18-97ca-4ced-a31c-107f7b73deb8,Villa Soldati,RatherSafe,"3562,668068168744"
1538,23015fc7-fad9-414e-8a15-6cfcedc91bf7,Coghlan,RatherSafe,"5906,464702298105"
