"simulationTime[s]","patrolState","timeInState[s]"
1133,PATROLLING,1131.0
1283,TRANSFER_TO_INTERVENTION,141.0
2668,INTERVENTION,1385.0
2977,CALCULATING_PATH,309.0
3207,PATROLLING,230.0
3425,CALCULATING_PATH,218.0
3709,TRANSFER_TO_INTERVENTION,284.0
4673,INTERVENTION,964.0
4700,CALCULATING_PATH,27.0
4800,PATROLLING,100.0
4826,CALCULATING_PATH,26.0
5009,TRANSFER_TO_FIRING,183.0
9354,FIRING,4345.0
9399,PATROLLING,45.0
9432,CALCULATING_PATH,33.0
9493,PATROLLING,61.0
9522,CALCULATING_PATH,29.0
9607,TRANSFER_TO_INTERVENTION,85.0
10586,INTERVENTION,978.0
10656,CALCULATING_PATH,70.0
11067,PATROLLING,411.0
11099,CALCULATING_PATH,32.0
11251,TRANSFER_TO_INTERVENTION,152.0
12749,INTERVENTION,1497.0
12779,CALCULATING_PATH,30.0
12816,PATROLLING,37.0
12847,CALCULATING_PATH,31.0
12984,TRANSFER_TO_FIRING,137.0
13014,CALCULATING_PATH,30.0
13289,PATROLLING,275.0
13320,CALCULATING_PATH,31.0
13406,TRANSFER_TO_INTERVENTION,86.0
14595,INTERVENTION,1189.0
14620,CALCULATING_PATH,25.0
15176,PATROLLING,556.0
15203,CALCULATING_PATH,27.0
15290,TRANSFER_TO_INTERVENTION,87.0
16152,INTERVENTION,862.0
16188,CALCULATING_PATH,36.0
16963,PATROLLING,775.0
17019,CALCULATING_PATH,56.0
18092,PATROLLING,1073.0
18124,CALCULATING_PATH,32.0
18930,PATROLLING,806.0
18957,CALCULATING_PATH,27.0
19046,TRANSFER_TO_INTERVENTION,89.0
19356,INTERVENTION,310.0
23621,FIRING,4265.0
23655,PATROLLING,34.0
23683,CALCULATING_PATH,28.0
23995,PATROLLING,312.0
24030,CALCULATING_PATH,35.0
24193,TRANSFER_TO_INTERVENTION,163.0
25454,INTERVENTION,1261.0
25485,CALCULATING_PATH,31.0
25628,PATROLLING,143.0
25658,CALCULATING_PATH,30.0
25748,TRANSFER_TO_FIRING,90.0
30128,FIRING,4380.0
30167,PATROLLING,39.0
30197,CALCULATING_PATH,27.0
31531,RETURNING_TO_HQ,1334.0
32552,FIRING,1021.0
32582,PATROLLING,30.0
32611,CALCULATING_PATH,29.0
33420,RETURNING_TO_HQ,809.0
33525,FIRING,105.0
33555,PATROLLING,30.0
33583,CALCULATING_PATH,28.0
34131,RETURNING_TO_HQ,548.0
37251,FIRING,3120.0
37287,PATROLLING,36.0
37318,CALCULATING_PATH,31.0
37693,RETURNING_TO_HQ,375.0
40780,FIRING,3087.0
40820,PATROLLING,40.0
40857,CALCULATING_PATH,37.0
41786,RETURNING_TO_HQ,929.0
41920,PATROLLING,134.0
41947,CALCULATING_PATH,27.0
42001,TRANSFER_TO_INTERVENTION,54.0
43014,INTERVENTION,1013.0
43042,CALCULATING_PATH,28.0
43170,PATROLLING,128.0
43258,CALCULATING_PATH,88.0
45360,TRANSFER_TO_INTERVENTION,2102.0
46572,INTERVENTION,1212.0
46598,CALCULATING_PATH,26.0
46800,PATROLLING,202.0
46829,CALCULATING_PATH,28.0
48810,TRANSFER_TO_INTERVENTION,1981.0
50201,INTERVENTION,1391.0
50229,CALCULATING_PATH,28.0
50321,PATROLLING,92.0
50348,CALCULATING_PATH,27.0
50488,TRANSFER_TO_INTERVENTION,140.0
51697,INTERVENTION,1209.0
51723,CALCULATING_PATH,26.0
52002,PATROLLING,279.0
52029,CALCULATING_PATH,27.0
52152,TRANSFER_TO_FIRING,123.0
56832,FIRING,4680.0
56878,PATROLLING,46.0
56912,CALCULATING_PATH,34.0
57130,PATROLLING,218.0
57166,CALCULATING_PATH,36.0
57401,TRANSFER_TO_INTERVENTION,235.0
58492,INTERVENTION,1091.0
58569,CALCULATING_PATH,77.0
58603,PATROLLING,34.0
58636,CALCULATING_PATH,33.0
58774,RETURNING_TO_HQ,138.0
59374,FIRING,600.0
59413,PATROLLING,39.0
59452,CALCULATING_PATH,39.0
59588,TRANSFER_TO_FIRING,136.0
61454,FIRING,1866.0
61487,PATROLLING,33.0
61515,CALCULATING_PATH,28.0
61941,RETURNING_TO_HQ,426.0
63149,FIRING,1208.0
63185,PATROLLING,36.0
63217,CALCULATING_PATH,32.0
64492,RETURNING_TO_HQ,1275.0
64519,INTERVENTION,27.0
64548,CALCULATING_PATH,29.0
64579,PATROLLING,31.0
64606,CALCULATING_PATH,27.0
65843,RETURNING_TO_HQ,1237.0
66211,FIRING,368.0
66247,PATROLLING,36.0
66273,CALCULATING_PATH,26.0
66457,TRANSFER_TO_FIRING,184.0
70656,FIRING,4199.0
70696,PATROLLING,40.0
70723,CALCULATING_PATH,27.0
71028,RETURNING_TO_HQ,305.0
71305,INTERVENTION,277.0
71335,CALCULATING_PATH,30.0
71362,PATROLLING,27.0
71387,CALCULATING_PATH,25.0
72527,RETURNING_TO_HQ,1140.0
72954,PATROLLING,427.0
72981,CALCULATING_PATH,27.0
73046,TRANSFER_TO_FIRING,65.0
77126,FIRING,4080.0
77155,PATROLLING,29.0
77182,CALCULATING_PATH,27.0
77358,TRANSFER_TO_INTERVENTION,176.0
78770,INTERVENTION,1412.0
78798,CALCULATING_PATH,28.0
78829,PATROLLING,31.0
78862,CALCULATING_PATH,33.0
79984,RETURNING_TO_HQ,1122.0
80156,TRANSFER_TO_INTERVENTION,172.0
81239,INTERVENTION,1083.0
81269,CALCULATING_PATH,30.0
81994,PATROLLING,725.0
82024,CALCULATING_PATH,30.0
82084,PATROLLING,60.0
82119,CALCULATING_PATH,35.0
82736,RETURNING_TO_HQ,617.0
83148,FIRING,412.0
83178,PATROLLING,30.0
83207,CALCULATING_PATH,29.0
83529,RETURNING_TO_HQ,322.0
84003,INTERVENTION,474.0
84034,CALCULATING_PATH,31.0
84066,PATROLLING,32.0
84096,CALCULATING_PATH,30.0
84559,RETURNING_TO_HQ,463.0
84618,TRANSFER_TO_FIRING,59.0
