"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
2147,27e41c3f-f7fa-492e-9fc2-7f2b81a8ee4d,Versalles,NotSafe,"11971,119253819172",538.7003664218628
2281,334321a3-b408-41df-905a-b04837697f72,Parque Avellaneda,Safe,"8331,407057468658",374.9133175860896
2613,16165c6a-2035-4d5d-bd3b-76c545f7c017,Villa Devoto,RatherSafe,"10669,325058630311",480.119627638364
3040,2f09aa40-2086-434e-b19c-ff145225c3ee,Parque Patricios,NotSafe,"2227,0949436824408",100.21927246570984
4255,88942d7c-2819-41b2-901d-02e6ea169d73,Parque Patricios,NotSafe,"3000,026763152446",135.00120434186007
4257,39b78262-3724-44f1-a855-5062fc7dcab7,Caballito,Safe,"4475,49154096644",201.3971193434898
4505,06724156-0e90-4bba-aea3-3f9a6de112e7,Villa General Mitre,Safe,"5895,738312484215",265.3082240617897
4645,1ca082d4-40c7-4fd5-9677-327bef11a425,Versalles,NotSafe,"11438,384237448137",514.7272906851662
5203,8b841974-4ce3-4a2a-bc1b-13b8f6f3e4e1,Mataderos,RatherSafe,"10875,37892599367",489.39205166971516
6721,175f6fc9-0226-4dab-b9cf-7f98d11f8166,Versalles,NotSafe,"11191,175847247416",503.6029131261337
6841,47d9db5d-df08-43e2-9002-7e7cf5fbced0,La Paternal,NotSafe,"6568,474517629503",295.58135329332765
7424,b35de343-4b85-433c-a39b-2b30ed8729d1,San Nicolás,RatherSafe,"2924,4123777357186",131.59855699810734
7599,a3f8f504-9535-484d-a906-1932b03b428c,Villa Santa Rita,RatherSafe,"7431,039701000606",334.3967865450273
8316,ca5f2cd0-2781-46e2-9cf3-d1dc89779caf,Flores,RatherSafe,"6037,259104815152",271.67665971668185
8614,03e8aef9-57a5-439b-98f7-62c12735ee54,Colegiales,NotSafe,"6853,995765849715",308.4298094632372
9850,261ae7b1-be50-4be6-9618-de8c4c4c7929,Nú?ez,RatherSafe,"9786,506839877069",440.3928077944681
9989,922be6b3-f8aa-493f-90f6-94d20077fb5e,Caballito,Safe,"4618,177699180216",207.81799646310975
10177,0c61989c-a616-416f-8f8e-dec039325edb,Villa Santa Rita,RatherSafe,"7783,455680224962",350.2555056101233
11000,8b4df625-be5b-4284-be48-b80af5430aee,Villa Luro,Safe,"8849,890846176602",398.2450880779471
11036,5f64aab2-7e62-4251-b15a-2e2d1e3deccb,Villa Urquiza,RatherSafe,"9292,040838160643",418.14183771722895
11282,c98f5d9f-5e89-4e36-bce9-709ae56e4895,Villa Luro,Safe,"10274,169826604575",462.33764219720587
11922,232f9e32-4da1-4367-a246-37e57fc3bfca,Villa del Parque,NotSafe,"6829,160265165303",307.31221193243863
