"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
2273,27e41c3f-f7fa-492e-9fc2-7f2b81a8ee4d,Versalles,NotSafe,5,1,3,3,"10279,002635242818",0
2324,27e41c3f-f7fa-492e-9fc2-7f2b81a8ee4d,Versalles,NotSafe,5,1,4,1,"3426,334211747606",0
2327,334321a3-b408-41df-905a-b04837697f72,Parque Avellaneda,Safe,3,1,1,1,"2759,9615723592947",0
2605,334321a3-b408-41df-905a-b04837697f72,Parque Avellaneda,Safe,3,1,4,3,"8854,798540493615",0
2685,16165c6a-2035-4d5d-bd3b-76c545f7c017,Villa Devoto,RatherSafe,4,1,1,1,"3330,886411636494",0
2742,16165c6a-2035-4d5d-bd3b-76c545f7c017,Villa Devoto,RatherSafe,4,1,2,1,"1134,9897576952849",0
2983,16165c6a-2035-4d5d-bd3b-76c545f7c017,Villa Devoto,RatherSafe,4,1,3,1,"2264,5322918615943",0
2985,2f09aa40-2086-434e-b19c-ff145225c3ee,Parque Patricios,NotSafe,3,1,1,1,"1302,0969637480432",0
2995,2f09aa40-2086-434e-b19c-ff145225c3ee,Parque Patricios,NotSafe,3,1,3,2,"4308,599639214152",0
4253,88942d7c-2819-41b2-901d-02e6ea169d73,Parque Patricios,NotSafe,5,1,1,1,"2813,5711937914693",0
4359,88942d7c-2819-41b2-901d-02e6ea169d73,Parque Patricios,NotSafe,5,1,2,1,"3356,8687336542316",0
4477,88942d7c-2819-41b2-901d-02e6ea169d73,Parque Patricios,NotSafe,5,2,3,2,"6879,963693873505",0
4643,1ca082d4-40c7-4fd5-9677-327bef11a425,Versalles,NotSafe,4,1,1,1,"1934,3589508422176",0
4645,1ca082d4-40c7-4fd5-9677-327bef11a425,Versalles,NotSafe,4,1,2,1,"2519,4797917716246",0
4772,1ca082d4-40c7-4fd5-9677-327bef11a425,Versalles,NotSafe,4,1,3,1,"3500,186454122778",0
5122,8b841974-4ce3-4a2a-bc1b-13b8f6f3e4e1,Mataderos,RatherSafe,5,1,1,1,"3441,351789024955",0
5203,175f6fc9-0226-4dab-b9cf-7f98d11f8166,Versalles,NotSafe,2,1,2,2,"951,8900414813834",0
5393,8b841974-4ce3-4a2a-bc1b-13b8f6f3e4e1,Mataderos,RatherSafe,5,2,1,1,"2765,857388295978",0
5399,47d9db5d-df08-43e2-9002-7e7cf5fbced0,La Paternal,NotSafe,4,1,3,3,"2108,3192478448627",0
5674,8b841974-4ce3-4a2a-bc1b-13b8f6f3e4e1,Mataderos,RatherSafe,5,3,1,1,"2698,8138038289653",0
5706,8b841974-4ce3-4a2a-bc1b-13b8f6f3e4e1,Mataderos,RatherSafe,5,3,2,1,"3418,1467989134962",0
7424,b35de343-4b85-433c-a39b-2b30ed8729d1,San Nicolás,RatherSafe,3,1,2,2,"4611,317536597522",0
7756,ca5f2cd0-2781-46e2-9cf3-d1dc89779caf,Flores,RatherSafe,4,1,1,1,"1095,1250142761835",0
7764,ca5f2cd0-2781-46e2-9cf3-d1dc89779caf,Flores,RatherSafe,4,1,4,3,"5730,427476240291",0
8350,03e8aef9-57a5-439b-98f7-62c12735ee54,Colegiales,NotSafe,3,1,1,1,"1076,3729610925152",0
8363,03e8aef9-57a5-439b-98f7-62c12735ee54,Colegiales,NotSafe,3,1,2,1,"2667,1415037346874",0
8540,261ae7b1-be50-4be6-9618-de8c4c4c7929,Nú?ez,RatherSafe,4,1,1,1,"3449,2802323956535",0
8543,261ae7b1-be50-4be6-9618-de8c4c4c7929,Nú?ez,RatherSafe,4,1,2,1,"890,684337437225",0
8712,261ae7b1-be50-4be6-9618-de8c4c4c7929,Nú?ez,RatherSafe,4,1,3,1,"3385,9412985158083",0
9355,0c61989c-a616-416f-8f8e-dec039325edb,Villa Santa Rita,RatherSafe,4,1,1,1,"1126,3035795458693",0
9360,0c61989c-a616-416f-8f8e-dec039325edb,Villa Santa Rita,RatherSafe,4,1,4,3,"5573,866520651668",0
9552,8b4df625-be5b-4284-be48-b80af5430aee,Villa Luro,Safe,3,1,1,1,"952,6576073350138",0
9610,8b4df625-be5b-4284-be48-b80af5430aee,Villa Luro,Safe,3,1,2,1,"2171,5320241191544",0
9876,5f64aab2-7e62-4251-b15a-2e2d1e3deccb,Villa Urquiza,RatherSafe,2,1,1,1,"3319,0640554984698",0
10822,232f9e32-4da1-4367-a246-37e57fc3bfca,Villa del Parque,NotSafe,2,1,4,4,"7492,482360939961",0
11426,1a989124-71b8-44c9-9791-227bec1d4614,Villa Lugano,RatherSafe,4,1,4,4,"12807,654171639602",0
12785,3af2857d-575c-4560-85eb-9ce3b2f0b70a,Versalles,NotSafe,2,1,4,4,"8706,43784075537",0
13997,eb8ef4c2-48a2-4f4e-96e4-1bac73185d64,Barracas,RatherSafe,2,1,2,2,"3538,4807464167898",0
14196,9a6eb0bf-68ad-4a54-b0f1-04e3e4e51253,Parque Chas,RatherSafe,4,1,1,1,"1022,4171065482095",0
14206,9a6eb0bf-68ad-4a54-b0f1-04e3e4e51253,Parque Chas,RatherSafe,4,1,7,6,"10393,908366408064",0
14325,d82aa551-9566-43db-86e3-822da53b9975,Villa Santa Rita,RatherSafe,2,1,1,1,"875,7491709656946",0
14801,151e8ff9-e0f2-4aee-9fe6-7e0f1a4757f5,Villa Devoto,RatherSafe,5,1,1,1,"2430,0236097045868",0
14897,151e8ff9-e0f2-4aee-9fe6-7e0f1a4757f5,Villa Devoto,RatherSafe,5,1,2,1,"3368,8735378642664",0
14988,151e8ff9-e0f2-4aee-9fe6-7e0f1a4757f5,Villa Devoto,RatherSafe,5,1,3,1,"3442,7584270059897",0
15118,151e8ff9-e0f2-4aee-9fe6-7e0f1a4757f5,Villa Devoto,RatherSafe,5,2,3,1,"3581,1411417750055",0
15493,9a5f2487-1460-41ea-82f0-6cf2ade959ee,Villa Lugano,RatherSafe,2,1,2,2,"5770,229923140771",0
17337,e21506aa-7184-43ef-bf57-bf1336f56f10,Balvanera,RatherSafe,4,1,1,1,"955,1380630109796",0
17342,e21506aa-7184-43ef-bf57-bf1336f56f10,Balvanera,RatherSafe,4,1,4,3,"6047,173311892298",0
17877,398dff2a-15e9-4d39-bb91-27a5add7a433,Villa Crespo,NotSafe,6,1,4,4,"4075,261087857465",0
17879,398dff2a-15e9-4d39-bb91-27a5add7a433,Villa Crespo,NotSafe,6,1,5,1,"3487,4191975803956",0
18162,9271f935-2150-4f50-811c-8d734d2827b8,Parque Patricios,NotSafe,6,1,2,2,"733,2237904992846",0
18166,9271f935-2150-4f50-811c-8d734d2827b8,Parque Patricios,NotSafe,6,1,5,3,"5719,806548062465",0
