"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
2267,27e41c3f-f7fa-492e-9fc2-7f2b81a8ee4d,Versalles,NotSafe,PATROLLING,3,"3426,334211747606",0
2270,27e41c3f-f7fa-492e-9fc2-7f2b81a8ee4d,Versalles,NotSafe,PATROLLING,3,"3426,334211747606",0
2272,27e41c3f-f7fa-492e-9fc2-7f2b81a8ee4d,Versalles,NotSafe,PATROLLING,3,"3426,334211747606",0
2323,27e41c3f-f7fa-492e-9fc2-7f2b81a8ee4d,Versalles,NotSafe,PATROLLING,3,"3426,334211747606",0
2327,334321a3-b408-41df-905a-b04837697f72,Parque Avellaneda,Safe,TRANSFER_TO_INTERVENTION,4,"2759,9615723592947",0
2462,334321a3-b408-41df-905a-b04837697f72,Parque Avellaneda,Safe,PATROLLING,3,"2951,599513497872",0
2490,334321a3-b408-41df-905a-b04837697f72,Parque Avellaneda,Safe,PATROLLING,3,"2951,599513497872",0
2493,334321a3-b408-41df-905a-b04837697f72,Parque Avellaneda,Safe,PATROLLING,3,"2951,599513497872",0
2671,16165c6a-2035-4d5d-bd3b-76c545f7c017,Villa Devoto,RatherSafe,PATROLLING,3,"3330,886411636494",0
2741,16165c6a-2035-4d5d-bd3b-76c545f7c017,Villa Devoto,RatherSafe,TRANSFER_TO_INTERVENTION,4,"1134,9897576952849",0
2982,16165c6a-2035-4d5d-bd3b-76c545f7c017,Villa Devoto,RatherSafe,TRANSFER_TO_INTERVENTION,4,"2264,5322918615943",0
2985,2f09aa40-2086-434e-b19c-ff145225c3ee,Parque Patricios,NotSafe,PATROLLING,2,"1302,0969637480432",0
2987,2f09aa40-2086-434e-b19c-ff145225c3ee,Parque Patricios,NotSafe,TRANSFER_TO_INTERVENTION,4,"2090,408969690322",0
2989,2f09aa40-2086-434e-b19c-ff145225c3ee,Parque Patricios,NotSafe,TRANSFER_TO_INTERVENTION,4,"2218,1906695238304",0
4252,88942d7c-2819-41b2-901d-02e6ea169d73,Parque Patricios,NotSafe,TRANSFER_TO_INTERVENTION,4,"2813,5711937914693",0
4359,88942d7c-2819-41b2-901d-02e6ea169d73,Parque Patricios,NotSafe,TRANSFER_TO_INTERVENTION,4,"3356,8687336542316",0
4474,88942d7c-2819-41b2-901d-02e6ea169d73,Parque Patricios,NotSafe,TRANSFER_TO_INTERVENTION,4,"3517,051403807507",0
4476,88942d7c-2819-41b2-901d-02e6ea169d73,Parque Patricios,NotSafe,TRANSFER_TO_INTERVENTION,4,"3362,9122900659977",0
4643,1ca082d4-40c7-4fd5-9677-327bef11a425,Versalles,NotSafe,PATROLLING,2,"1934,3589508422176",0
4644,1ca082d4-40c7-4fd5-9677-327bef11a425,Versalles,NotSafe,PATROLLING,3,"2519,4797917716246",0
4772,1ca082d4-40c7-4fd5-9677-327bef11a425,Versalles,NotSafe,PATROLLING,3,"3500,186454122778",0
5121,8b841974-4ce3-4a2a-bc1b-13b8f6f3e4e1,Mataderos,RatherSafe,PATROLLING,3,"3441,351789024955",0
5201,175f6fc9-0226-4dab-b9cf-7f98d11f8166,Versalles,NotSafe,PATROLLING,1,"653,8801725448418",0
5203,175f6fc9-0226-4dab-b9cf-7f98d11f8166,Versalles,NotSafe,PATROLLING,1,"298,00986893654164",0
5393,8b841974-4ce3-4a2a-bc1b-13b8f6f3e4e1,Mataderos,RatherSafe,PATROLLING,3,"2765,857388295978",0
5396,47d9db5d-df08-43e2-9002-7e7cf5fbced0,La Paternal,NotSafe,PATROLLING,1,"847,9181559631877",0
5398,47d9db5d-df08-43e2-9002-7e7cf5fbced0,La Paternal,NotSafe,PATROLLING,1,"567,3370728375427",0
5399,47d9db5d-df08-43e2-9002-7e7cf5fbced0,La Paternal,NotSafe,PATROLLING,1,"693,0640190441321",0
5673,8b841974-4ce3-4a2a-bc1b-13b8f6f3e4e1,Mataderos,RatherSafe,PATROLLING,3,"2698,8138038289653",0
5705,8b841974-4ce3-4a2a-bc1b-13b8f6f3e4e1,Mataderos,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3418,1467989134962",0
7422,b35de343-4b85-433c-a39b-2b30ed8729d1,San Nicolás,RatherSafe,PATROLLING,2,"2329,47686202581",0
7423,b35de343-4b85-433c-a39b-2b30ed8729d1,San Nicolás,RatherSafe,PATROLLING,2,"2281,840674571712",0
7755,ca5f2cd0-2781-46e2-9cf3-d1dc89779caf,Flores,RatherSafe,PATROLLING,1,"1095,1250142761835",0
7758,ca5f2cd0-2781-46e2-9cf3-d1dc89779caf,Flores,RatherSafe,PATROLLING,2,"1869,0267780871097",0
7761,ca5f2cd0-2781-46e2-9cf3-d1dc89779caf,Flores,RatherSafe,PATROLLING,2,"1706,1908312303005",0
7763,ca5f2cd0-2781-46e2-9cf3-d1dc89779caf,Flores,RatherSafe,PATROLLING,2,"2155,2098669228803",0
8347,03e8aef9-57a5-439b-98f7-62c12735ee54,Colegiales,NotSafe,PATROLLING,1,"1076,3729610925152",0
8360,03e8aef9-57a5-439b-98f7-62c12735ee54,Colegiales,NotSafe,TRANSFER_TO_INTERVENTION,4,"2667,1415037346874",0
8539,261ae7b1-be50-4be6-9618-de8c4c4c7929,Nú?ez,RatherSafe,PATROLLING,3,"3449,2802323956535",0
8542,261ae7b1-be50-4be6-9618-de8c4c4c7929,Nú?ez,RatherSafe,TRANSFER_TO_INTERVENTION,4,"890,684337437225",0
8712,261ae7b1-be50-4be6-9618-de8c4c4c7929,Nú?ez,RatherSafe,PATROLLING,3,"3385,9412985158083",0
9355,0c61989c-a616-416f-8f8e-dec039325edb,Villa Santa Rita,RatherSafe,PATROLLING,1,"1126,3035795458693",0
9357,0c61989c-a616-416f-8f8e-dec039325edb,Villa Santa Rita,RatherSafe,PATROLLING,2,"2061,596142222186",0
9358,0c61989c-a616-416f-8f8e-dec039325edb,Villa Santa Rita,RatherSafe,PATROLLING,2,"1204,7801548224666",0
9359,0c61989c-a616-416f-8f8e-dec039325edb,Villa Santa Rita,RatherSafe,PATROLLING,2,"2307,4902236070157",0
9552,8b4df625-be5b-4284-be48-b80af5430aee,Villa Luro,Safe,PATROLLING,1,"952,6576073350138",0
9609,8b4df625-be5b-4284-be48-b80af5430aee,Villa Luro,Safe,PATROLLING,2,"2171,5320241191544",0
