"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,0.0,0.0
7200,15319.82534322702,689.3921404452158
10809,0.0,0.0
14402,19631.580751514244,883.4211338181408
18024,17347.071003497094,780.6181951573693
21621,15534.849096577997,699.0682093460098
25211,16154.170577565113,726.9376759904301
28800,11441.505440803025,514.867744836136
32411,14967.366454054554,673.531490432455
36000,13911.93318853303,626.0369934839862
39605,11515.500225360767,518.1975101412345
43201,14335.723420767472,645.1075539345363
46802,11515.639928519942,518.2037967833974
50401,14742.318822939336,663.4043470322703
54001,14630.491336944364,658.3721101624965
57600,14577.24122094077,655.9758549423346
61209,14749.87793462535,663.7445070581408
64801,13392.347770625016,602.6556496781258
68401,12810.15180276122,576.4568311242548
72000,12171.7227256772,547.727522655474
75600,14293.061778075862,643.1877800134138
79200,12190.068624220114,548.553088089905
82808,13213.03771449247,594.586697152161
