"simulationTime[s]","amountOfInterventions","interventionsDuration[min]","averageInterventionDuration[min]","amountOfFirings","firingsDuration[min]","averageFiringDuration[min]"
3600,116.0,2300.0,19.82758620689655,0.0,0.0,0.0
7201,109.0,2179.0,19.990825688073393,10.0,737.0,73.7
10803,118.0,2317.0,19.635593220338983,8.0,530.0,66.25
14401,117.0,2341.0,20.00854700854701,14.0,861.0,61.5
18002,114.0,2283.0,20.026315789473685,7.0,386.0,55.142857142857146
21604,104.0,2051.0,19.721153846153847,17.0,1109.0,65.23529411764706
25202,115.0,2292.0,19.930434782608696,13.0,821.0,63.15384615384615
28800,103.0,1963.0,19.058252427184467,21.0,1378.0,65.61904761904762
32405,138.0,2797.0,20.268115942028984,16.0,1027.0,64.1875
36001,123.0,2446.0,19.88617886178862,13.0,775.0,59.61538461538461
39604,125.0,2494.0,19.952,8.0,460.0,57.5
43201,104.0,2010.0,19.326923076923077,11.0,785.0,71.36363636363636
46802,111.0,2225.0,20.045045045045047,5.0,312.0,62.4
50401,110.0,2151.0,19.554545454545455,12.0,755.0,62.916666666666664
54001,125.0,2441.0,19.528,11.0,610.0,55.45454545454545
57600,120.0,2432.0,20.266666666666666,17.0,1051.0,61.8235294117647
61201,126.0,2461.0,19.53174603174603,21.0,1338.0,63.714285714285715
64801,113.0,2306.0,20.4070796460177,17.0,1025.0,60.294117647058826
68400,109.0,2192.0,20.110091743119266,18.0,1040.0,57.77777777777778
72001,128.0,2562.0,20.015625,16.0,1105.0,69.0625
75602,112.0,2138.0,19.089285714285715,21.0,1239.0,59.0
79200,112.0,2168.0,19.357142857142858,13.0,879.0,67.61538461538461
82801,122.0,2484.0,20.360655737704917,16.0,974.0,60.875
