"simulationTime[s]","averageTransferToInterventionDuration[s]","averageTransferToFiringDuration[s]"
3600,172.18965517241378,0.0
7200,447.7155963302752,279.0
10807,374.93220338983053,466.375
14401,480.8034188034188,407.57142857142856
18024,589.6228070175439,571.1428571428571
21622,574.495238095238,215.52941176470588
25215,509.64912280701753,443.6923076923077
28800,670.9805825242719,368.57142857142856
32411,310.78985507246375,391.375
36001,313.650406504065,372.84615384615387
39612,314.664,391.25
43201,368.9423076923077,341.27272727272725
46802,375.44144144144144,535.6
50401,509.74545454545455,421.3333333333333
54001,405.696,313.27272727272725
57600,501.125,355.47058823529414
61209,357.3412698412698,295.4761904761905
64801,379.72566371681415,249.76470588235293
68400,479.2201834862385,294.6111111111111
72001,397.5625,277.25
75600,494.0,255.38095238095238
79200,452.50892857142856,371.9230769230769
82809,425.1475409836066,226.875
