"simulationTime[s]","districtName","districtSafetyLevel","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfReturningToHqPatrols","amountOfIncidents","isNight"
3601,Rogers Park,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,Edison Park,NotSafe,2,0,0,0,0,2,0,0,2,0
3601,Norwood Park,Safe,0,0,0,0,0,0,0,0,1,0
3601,West Ridge,RatherSafe,1,0,0,0,0,1,0,0,1,0
3601,North Park,RatherSafe,1,0,0,0,0,1,0,0,1,0
3601,Forest Glen,RatherSafe,2,0,0,0,0,2,0,0,2,0
3601,O'Hare,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,Dunning,RatherSafe,1,0,0,1,0,0,0,0,1,0
3601,Montclare,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,Austin,RatherSafe,3,0,0,0,0,3,0,0,3,0
3601,North Lawndale,RatherSafe,2,0,0,0,0,2,0,0,2,0
3601,South Lawndale,RatherSafe,1,0,0,0,0,1,0,0,1,0
3601,Garfield Ridge,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,Clearing,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,West Lawn,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,Ashburn,NotSafe,0,0,0,0,0,0,0,0,4,0
3601,Beverly,Safe,0,0,0,0,0,0,0,0,1,0
3601,Mount Greenwood,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,Morgan Park,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,West Pullman,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,Riverdale,RatherSafe,0,0,0,0,0,0,0,0,2,0
3601,Hegewisch,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,Edgewater,RatherSafe,2,0,0,0,0,2,0,0,2,0
3601,Uptown,RatherSafe,1,0,0,0,0,1,0,0,3,0
3601,Lake View,RatherSafe,1,0,0,0,0,1,0,0,1,0
3601,Lincoln Park,RatherSafe,3,0,0,1,0,2,0,0,2,0
3601,Near North Side,RatherSafe,1,0,0,0,0,1,0,0,3,0
3601,Loop,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,Near South Side,NotSafe,0,0,0,0,0,0,0,0,1,0
3601,Douglas,Safe,1,0,0,0,0,1,0,0,1,0
3601,Oakland,RatherSafe,2,0,0,1,0,1,0,0,3,0
3601,Kenwood,RatherSafe,1,0,0,1,0,0,0,0,0,0
3601,Hyde Park,RatherSafe,0,0,0,0,0,0,0,0,2,0
3601,Woodlawn,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,South Shore,RatherSafe,0,0,0,0,0,0,0,0,2,0
3601,South Chicago,RatherSafe,0,0,0,0,0,0,0,0,2,0
3601,East Side,RatherSafe,0,0,0,0,0,0,0,0,3,0
3601,Washington Park,RatherSafe,1,0,0,1,0,0,0,0,3,0
3601,Grand Boulevard,RatherSafe,1,0,0,1,0,0,0,0,2,0
3601,South Deering,RatherSafe,0,0,0,0,0,0,0,0,3,0
3601,Calumet Heights,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,Avalon Park,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,Burnside,RatherSafe,0,0,0,0,0,0,0,0,3,0
3601,Pullman,RatherSafe,0,0,0,0,0,0,0,0,3,0
3601,Jefferson Park,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,Portage Park,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,Greater Grand Crossing,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,Fuller Park,NotSafe,0,0,0,0,0,0,0,0,1,0
3601,Armour Square,Safe,0,0,0,0,0,0,0,0,0,0
3601,Chatham,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,Roseland,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,Washington Heights,RatherSafe,0,0,0,0,0,0,0,0,2,0
3601,Englewood,NotSafe,0,0,0,0,0,0,0,0,4,0
3601,West Englewood,Safe,0,0,0,0,0,0,0,0,2,0
3601,New City,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,Auburn Gresham,RatherSafe,0,0,0,0,0,0,0,0,2,0
3601,Chicago Lawn,RatherSafe,0,0,0,0,0,0,0,0,3,0
3601,Gage Park,NotSafe,0,0,0,0,0,0,0,0,3,0
3601,West Elsdon,Safe,0,0,0,0,0,0,0,0,1,0
3601,Archer Heights,RatherSafe,0,0,0,0,0,0,0,0,2,0
3601,Brighton Park,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,McKinley Park,RatherSafe,1,0,0,1,0,0,0,0,2,0
3601,Bridgeport,RatherSafe,1,0,0,0,0,1,0,0,3,0
3601,Near West Side,RatherSafe,2,0,0,0,0,2,0,0,2,0
3601,Lower West Side,NotSafe,0,0,0,0,0,0,0,0,0,0
3601,East Garfield Park,Safe,1,0,0,0,0,1,0,0,1,0
3601,West Garfield Park,RatherSafe,1,0,0,0,0,1,0,0,2,0
3601,Humboldt Park,RatherSafe,1,0,0,0,0,1,0,0,3,0
3601,West Town,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,Belmont Cragin,RatherSafe,2,0,0,0,0,2,0,0,3,0
3601,Hermosa,RatherSafe,0,0,0,0,0,0,0,0,0,0
3601,Logan Square,RatherSafe,2,0,0,0,0,2,0,0,3,0
3601,Lincoln Square,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,North Center,RatherSafe,0,0,0,0,0,0,0,0,1,0
3601,Albany Park,RatherSafe,1,0,0,1,0,0,0,0,2,0
3601,Irving Park,RatherSafe,2,0,0,0,0,2,0,0,3,0
3601,Avondale,RatherSafe,6,0,5,1,0,0,0,0,0,0
7200,Rogers Park,RatherSafe,1,0,0,0,0,1,0,0,1,0
7200,Edison Park,NotSafe,5,0,0,0,0,0,5,0,4,0
7200,Norwood Park,Safe,0,0,0,0,0,0,0,0,0,0
7200,West Ridge,RatherSafe,1,0,0,0,0,1,0,0,1,0
7200,North Park,RatherSafe,1,0,1,0,0,0,0,0,0,0
7200,Forest Glen,RatherSafe,0,0,0,0,0,0,0,0,0,0
7200,O'Hare,RatherSafe,1,0,0,0,0,0,1,0,1,0
7200,Dunning,RatherSafe,3,0,0,1,0,2,0,0,2,0
7200,Montclare,RatherSafe,2,0,0,0,0,0,2,0,1,0
7200,Austin,RatherSafe,0,0,0,0,0,0,0,0,1,0
7200,North Lawndale,RatherSafe,3,0,0,2,0,1,0,0,1,0
7200,South Lawndale,RatherSafe,2,1,0,0,0,1,0,0,2,0
7200,Garfield Ridge,RatherSafe,0,0,0,0,0,0,0,0,1,0
7200,Clearing,RatherSafe,0,0,0,0,0,0,0,0,0,0
7200,West Lawn,RatherSafe,0,0,0,0,0,0,0,0,2,0
7200,Ashburn,NotSafe,3,1,2,0,0,0,0,0,1,0
7200,Beverly,Safe,0,0,0,0,0,0,0,0,1,0
7200,Mount Greenwood,RatherSafe,0,0,0,0,0,0,0,0,2,0
7200,Morgan Park,RatherSafe,0,0,0,0,0,0,0,0,3,0
7200,West Pullman,RatherSafe,0,0,0,0,0,0,0,0,2,0
7200,Riverdale,RatherSafe,1,0,0,0,0,1,0,0,4,0
7200,Hegewisch,RatherSafe,0,0,0,0,0,0,0,0,3,0
7200,Edgewater,RatherSafe,1,0,0,0,0,1,0,0,1,0
7200,Uptown,RatherSafe,0,0,0,0,0,0,0,0,0,0
7200,Lake View,RatherSafe,0,0,0,0,0,0,0,0,1,0
7200,Lincoln Park,RatherSafe,2,1,0,1,0,0,0,0,0,0
7200,Near North Side,RatherSafe,1,0,0,0,0,1,0,0,2,0
7200,Loop,RatherSafe,1,0,0,0,0,1,0,0,2,0
7200,Near South Side,NotSafe,5,0,0,0,0,0,5,0,1,0
7200,Douglas,Safe,0,0,0,0,0,0,0,0,1,0
7200,Oakland,RatherSafe,0,0,0,0,0,0,0,0,2,0
7200,Kenwood,RatherSafe,0,0,0,0,0,0,0,0,1,0
7200,Hyde Park,RatherSafe,0,0,0,0,0,0,0,0,2,0
7200,Woodlawn,RatherSafe,0,0,0,0,0,0,0,0,3,0
7200,South Shore,RatherSafe,1,0,1,0,0,0,0,0,3,0
7200,South Chicago,RatherSafe,0,0,0,0,0,0,0,0,3,0
7200,East Side,RatherSafe,1,0,0,0,0,0,1,0,6,0
7200,Washington Park,RatherSafe,5,0,0,0,0,0,5,0,2,0
7200,Grand Boulevard,RatherSafe,0,0,0,0,0,0,0,0,0,0
7200,South Deering,RatherSafe,0,0,0,0,0,0,0,0,3,0
7200,Calumet Heights,RatherSafe,0,0,0,0,0,0,0,0,2,0
