"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"0,48,33,0,0,0,0"
"84,89,76,22,19,0,0"
"58,85,60,30,23,0,0"
"62,120,80,57,54,0,1"
"64,130,83,37,38,0,1"
"112,141,119,34,29,0,0"
"72,123,83,48,40,0,0"
"84,154,106,66,54,0,0"
"93,136,98,53,45,13,0"
"108,131,130,47,46,26,0"
"103,122,102,27,20,29,0"
"85,97,84,30,27,18,0"
"66,93,79,21,21,0,0"
"82,131,98,46,37,12,0"
"78,109,84,31,32,0,0"
"94,140,104,53,48,0,1"
"88,127,107,56,49,30,0"
"73,112,90,42,38,16,0"
"75,111,83,49,47,15,0"
"78,119,74,36,35,2,0"
"67,117,91,48,48,2,0"
"79,116,87,38,33,15,0"
"60,115,95,29,31,1,0"
