"simulationTime","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfNeutralizedPatrols","amountOfReturningToHqPatrols","amountOfIncidents","amountOfInterventions","amountOfInterventionsBeingSolved","amountOfFirings","amountOfFiringBeingSolved","isNight"
3601,48,0,5,10,0,33,0,0,0,116,116,48,0,0,0
7200,64,3,5,9,3,18,26,0,0,137,127,39,10,10,0
10809,94,10,7,12,9,16,40,0,0,180,165,44,15,15,0
14401,102,4,5,11,5,24,52,1,0,186,169,51,17,17,0
18024,114,2,20,26,1,34,30,2,0,187,178,81,9,9,0
21606,113,0,23,17,3,26,44,2,0,150,133,67,17,17,0
25204,122,0,12,27,2,29,52,2,0,149,132,75,17,17,0
28800,126,4,5,19,2,35,61,2,0,110,90,84,20,20,0
32412,163,23,25,17,4,31,56,2,7,100,80,72,20,20,0
36001,144,21,6,8,1,39,53,2,16,80,64,64,16,16,0
39609,112,17,10,13,2,32,25,2,13,69,62,59,7,7,0
43201,89,2,10,10,3,19,37,2,8,68,56,46,12,12,0
46801,95,11,3,12,3,29,37,2,0,92,82,54,10,10,0
50401,108,2,7,19,2,35,32,2,11,99,87,80,12,12,0
54000,103,0,6,24,1,31,40,2,1,105,93,70,12,12,0
57600,117,2,10,20,2,28,54,3,0,94,78,75,16,16,1
61209,159,15,21,10,3,33,61,3,16,94,73,71,21,21,1
64802,129,1,7,9,3,37,66,3,6,88,66,63,22,22,1
68401,119,3,8,9,2,30,57,3,10,83,63,62,20,20,1
72001,107,0,7,28,2,17,53,3,0,91,71,61,20,20,1
75602,117,1,5,19,0,27,63,3,2,100,76,71,24,24,1
79200,108,8,5,18,2,22,46,3,7,84,68,67,16,16,1
82802,113,3,10,17,2,42,39,3,0,105,90,82,15,15,1
