"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
380,94ed0a63-a45c-4773-8c45-36d234ed7773,Near West Side,RatherSafe,"7423,574212385641"
384,a96416b5-ec4d-4249-ad8d-84a3375788e8,East Garfield Park,Safe,"6929,51228290219"
1928,546154e0-1c60-4269-9c90-4df494ebfa38,Edison Park,NotSafe,"11072,81671442489"
1929,77dea35b-f36e-4a1e-abae-a128a5c1040e,Austin,RatherSafe,"8215,422593107563"
1931,6f1898c3-18cb-491e-af31-04cbfaa8b8e4,Edison Park,NotSafe,"10884,948899922176"
1932,2e139c00-c277-47b1-a1bb-bf90e034b0ab,North Lawndale,RatherSafe,"5920,4460975864085"
1934,5db9501a-cf96-444b-ae80-d217e60b01dc,Austin,RatherSafe,"6678,8480896589"
1935,19e5bed0-c9f0-4803-9cb9-cb95a3c9b80a,North Lawndale,RatherSafe,"5977,270860059474"
1937,fd15b118-cf49-4d0c-9305-9ff71536e83f,West Ridge,RatherSafe,"5788,717729096022"
1939,d6df33c4-5a0b-444e-a357-d6cda01445ee,Forest Glen,RatherSafe,"4207,091073393654"
1940,211e1238-7529-4fd3-b142-ae42a7e6302e,North Park,RatherSafe,"4827,337458227284"
1942,d5060267-cbad-4be4-a7f5-79bcde49b98c,Austin,RatherSafe,"8144,797879649447"
1946,b02089a6-dc51-4601-a9bd-04cff2e4fef3,Edgewater,RatherSafe,"3939,450590153499"
1947,0a07f5a7-1985-42ad-b71c-4ccff932392b,Edgewater,RatherSafe,"4780,019344090973"
1949,dc22aa59-9db1-4178-bf07-3c569b11e329,Near North Side,RatherSafe,"3259,217962768319"
1950,66197fd9-2200-4738-91be-d316bd32074d,Lincoln Park,RatherSafe,"3537,614030092349"
1952,4aebf847-fafb-4e51-84ff-239151d56b6f,Oakland,RatherSafe,"12924,656664791679"
1958,3da9e7f2-ec22-43ee-90e0-0286ce528a63,Douglas,Safe,"10889,493948674104"
2156,b50ab0ee-feeb-464b-a942-de32a5d868e0,Lincoln Park,RatherSafe,"1586,6717831602386"
2157,4cb9dd6e-1f5b-4b14-ad30-dc505d205742,Uptown,RatherSafe,"4117,977735623338"
2159,6dd7ed74-70fd-411d-ad51-6b20c1fc69bb,Lake View,RatherSafe,"1470,2155628813493"
2176,b2b6a8c8-a224-4051-be17-db6355feb5c2,Logan Square,RatherSafe,"1840,0678688525293"
2178,5f45c8cc-bab7-4e37-b1a6-b8b33063f67b,Near West Side,RatherSafe,"4510,690209221273"
2316,24dea90b-964a-4a65-9cd9-ae7fcbcd6b93,Logan Square,RatherSafe,"858,1348931842671"
2403,ff4bb8ab-3646-4cee-b17b-ba799092e2bb,Belmont Cragin,RatherSafe,"5646,358828405339"
2405,1531f0b5-d3ac-4dc4-b440-2f0f2d27f670,McKinley Park,RatherSafe,"10314,251032615528"
2406,f4ccfe3b-4ac2-40cb-a1f3-8b17536a6f99,West Garfield Park,RatherSafe,"6708,9387463876"
2407,5cba5870-61df-4ff7-b45c-608f20d67285,Belmont Cragin,RatherSafe,"6165,244076047876"
2409,5c7b266e-27b2-434c-b829-d7e1409fd506,Bridgeport,RatherSafe,"9514,338697103927"
2410,d2a16d21-9246-4246-b2d0-3f9ea290ad04,Humboldt Park,RatherSafe,"3144,551074895957"
2412,652dcc25-4d16-4230-a4fa-186923559d48,Irving Park,RatherSafe,"3535,7968256939116"
2413,a6d50786-5857-419f-9440-a79909df1529,Irving Park,RatherSafe,"2556,6111736877756"
2548,698a7236-c623-485f-886f-c49db8af1feb,South Lawndale,RatherSafe,"8137,078724246912"
2550,beca632c-56b8-439e-9e7b-ae0f11e23a41,Forest Glen,RatherSafe,"8531,40790263681"
2556,0ecab697-139b-4265-9cc2-f9d69d07953b,Hyde Park,RatherSafe,"10308,866685994997"
2667,d1ea97d5-a3dd-43a1-8fbc-ba92f53a6325,Woodlawn,RatherSafe,"11981,32436424986"
2669,bba8290f-e733-4b4e-a93e-e5bfba247b3b,Oakland,RatherSafe,"7835,867437180153"
2673,4af58cec-363b-4510-b698-64b685c0b6db,Washington Park,RatherSafe,"10537,4302033161"
2674,1ae274d9-fac9-4495-9eee-5e7fc621e11e,Washington Park,RatherSafe,"11842,122022786116"
2685,731eedb9-c192-414c-82e2-b2eda9ae73bd,Portage Park,RatherSafe,"12593,972811777432"
2946,d4802c6a-b716-4746-887c-028b53ae2b6e,O'Hare,RatherSafe,"13071,210809568545"
2949,590f5c65-b57b-4ddb-b1b8-1edcb90a386b,Dunning,RatherSafe,"7253,163491789065"
3307,a285e053-699e-4c1c-a23c-bf1b8a28fc4f,Uptown,RatherSafe,"4700,075102120403"
3309,8b528ee5-5ebf-4c90-bb4c-bbb46faa95ac,Near North Side,RatherSafe,"6733,647200782845"
3310,228be71c-3274-4b3f-bdf3-32971fb89d04,Near North Side,RatherSafe,"6181,141740046308"
3312,12a8d5c8-ab93-4f71-b479-8fb8f19e79ae,Uptown,RatherSafe,"4746,720442455252"
3536,ececacbd-a4c2-4b42-a5c0-6be1c9b7b963,Norwood Park,Safe,"9728,43639420494"
3544,26f59ddb-7db9-4f31-8140-97220cb59aec,Near South Side,NotSafe,"11742,800844206578"
3674,5adc18b1-b35d-4eb5-b1cc-46743bc7f90a,Lincoln Square,RatherSafe,"3442,9986167184916"
3676,5432a7ca-612f-430f-a36e-a753e6fa2afe,Belmont Cragin,RatherSafe,"6411,455160005618"
3679,c3fa413a-ba24-4def-9cd2-501a4dd6b8fc,Bridgeport,RatherSafe,"11507,492324901572"
3750,aaccca90-bcb7-4e21-8afe-a83b0bd1011c,Humboldt Park,RatherSafe,"3270,1813806603086"
3752,392c25bf-03bb-4fef-93f5-541876bc13e1,West Garfield Park,RatherSafe,"7030,63473912531"
3926,83e5c358-38ef-46bc-872d-619c74c53626,Oakland,RatherSafe,"13186,53328392256"
3959,12700ea4-d313-480c-81ee-a4f7869e2e79,Logan Square,RatherSafe,"6790,586752102718"
3960,acb0379a-d06e-4066-8c5c-d127911a66d6,Albany Park,RatherSafe,"3172,13971282651"
4061,dbe6da39-1763-4a20-91cc-337a47b35e7e,Hyde Park,RatherSafe,"5838,96994335031"
4065,2188c3d6-1c77-46d4-ae2e-5bdb7eb866ca,Grand Boulevard,RatherSafe,"11851,784276177345"
4082,16115e1c-8ff4-4250-8c1c-f079f30a0b3a,Grand Boulevard,RatherSafe,"11074,756725419189"
4085,aece3235-c9c5-4998-abf8-1fe800c9d5c0,Fuller Park,NotSafe,"12478,030973694871"
4171,fb3d8891-f6d6-41ab-b8e7-e2bfc7c9746b,Ashburn,NotSafe,"12640,33260316306"
4179,e224967d-bea6-4d83-95fe-8ad754f5ac00,Washington Park,RatherSafe,"10542,584987386395"
4203,a945c74c-5287-457a-b574-bcb267d6b1db,Englewood,NotSafe,"12689,414320977437"
4213,463918ef-3ae8-47b6-a1ce-d1e5ad448433,Gage Park,NotSafe,"13198,94516367494"
4215,f3983c7e-f9e1-4454-993c-1cbae814f5b8,Archer Heights,RatherSafe,"11847,97376017458"
