"simulationTime[s]","patrolState","timeInState[s]"
1764,PATROLLING,1763.0
1925,CALCULATING_PATH,161.0
2745,TRANSFER_TO_INTERVENTION,820.0
4054,INTERVENTION,1309.0
4167,CALCULATING_PATH,113.0
4295,PATROLLING,128.0
4393,CALCULATING_PATH,98.0
5173,TRANSFER_TO_INTERVENTION,780.0
5496,INTERVENTION,323.0
9871,FIRING,4375.0
10015,PATROLLING,144.0
10354,TRANSFER_TO_FIRING,339.0
11910,FIRING,1556.0
12075,PATROLLING,165.0
12938,TRANSFER_TO_INTERVENTION,863.0
13955,INTERVENTION,1017.0
14256,CALCULATING_PATH,301.0
14418,PATROLLING,162.0
14590,TRANSFER_TO_FIRING,172.0
17996,FIRING,3406.0
18251,PATROLLING,255.0
18441,CALCULATING_PATH,190.0
19252,TRANSFER_TO_INTERVENTION,811.0
20958,INTERVENTION,1705.0
21268,CALCULATING_PATH,310.0
21519,PATROLLING,249.0
21919,TRANSFER_TO_INTERVENTION,400.0
22135,INTERVENTION,216.0
26226,FIRING,4091.0
26310,CALCULATING_PATH,83.0
26995,TRANSFER_TO_INTERVENTION,685.0
27059,CALCULATING_PATH,64.0
27392,TRANSFER_TO_FIRING,333.0
31410,FIRING,4018.0
31468,PATROLLING,58.0
31569,CALCULATING_PATH,101.0
35982,RETURNING_TO_HQ,4413.0
36157,INTERVENTION,175.0
36213,CALCULATING_PATH,56.0
36241,PATROLLING,28.0
36393,CALCULATING_PATH,152.0
38517,RETURNING_TO_HQ,2123.0
39132,FIRING,615.0
39313,PATROLLING,181.0
39413,CALCULATING_PATH,100.0
40266,TRANSFER_TO_INTERVENTION,853.0
41498,INTERVENTION,1232.0
41567,CALCULATING_PATH,69.0
41594,PATROLLING,27.0
41740,CALCULATING_PATH,146.0
44068,RETURNING_TO_HQ,2328.0
46802,FIRING,2734.0
46879,PATROLLING,77.0
46940,CALCULATING_PATH,61.0
47299,TRANSFER_TO_INTERVENTION,359.0
48753,INTERVENTION,1454.0
49034,CALCULATING_PATH,281.0
49071,PATROLLING,37.0
49171,CALCULATING_PATH,100.0
50005,TRANSFER_TO_INTERVENTION,834.0
50412,INTERVENTION,407.0
55611,FIRING,5199.0
55663,PATROLLING,52.0
55732,CALCULATING_PATH,68.0
55972,TRANSFER_TO_INTERVENTION,240.0
57381,INTERVENTION,1409.0
57472,CALCULATING_PATH,91.0
57511,PATROLLING,39.0
57621,CALCULATING_PATH,110.0
58419,TRANSFER_TO_INTERVENTION,798.0
59585,INTERVENTION,1166.0
59680,CALCULATING_PATH,95.0
59720,PATROLLING,40.0
59798,CALCULATING_PATH,78.0
60199,TRANSFER_TO_INTERVENTION,401.0
60369,CALCULATING_PATH,170.0
60613,TRANSFER_TO_FIRING,244.0
60709,CALCULATING_PATH,95.0
60979,TRANSFER_TO_FIRING,270.0
64334,FIRING,3355.0
64381,PATROLLING,47.0
64503,CALCULATING_PATH,122.0
69557,RETURNING_TO_HQ,5054.0
70582,FIRING,1025.0
70818,CALCULATING_PATH,236.0
70850,PATROLLING,32.0
70948,CALCULATING_PATH,98.0
71335,TRANSFER_TO_INTERVENTION,387.0
72502,INTERVENTION,1167.0
72685,CALCULATING_PATH,183.0
72721,PATROLLING,36.0
72799,CALCULATING_PATH,78.0
73371,TRANSFER_TO_INTERVENTION,572.0
74389,INTERVENTION,1018.0
74454,CALCULATING_PATH,65.0
74485,PATROLLING,31.0
74550,CALCULATING_PATH,65.0
75092,TRANSFER_TO_INTERVENTION,542.0
75186,CALCULATING_PATH,94.0
75310,TRANSFER_TO_FIRING,124.0
79480,FIRING,4170.0
79530,PATROLLING,50.0
79624,CALCULATING_PATH,94.0
81541,RETURNING_TO_HQ,1917.0
82827,TRANSFER_TO_INTERVENTION,1286.0
82902,INTERVENTION,75.0
86241,FIRING,3338.0
86314,PATROLLING,73.0
86349,CALCULATING_PATH,35.0
