"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
4234,b64e9f27-e76b-4dfa-b159-107c69daeec4,Edison Park,NotSafe,"17194,991739974816",773.7746282988667
5450,a119c8a6-2831-4522-bcaa-7884bd1fa25f,Washington Park,RatherSafe,"14101,45801584997",634.5656107132487
5697,75679f3e-e1cf-42b5-b7c8-9e80740bde4e,Englewood,NotSafe,"15187,829406546029",683.4523232945713
6196,4e969a6c-013b-4793-a612-b99e67b1bbce,Near South Side,NotSafe,"8012,955817456074",360.58301178552335
6459,24903913-e6cc-4833-a5b3-14af0fc15452,Englewood,NotSafe,"15117,734058978218",680.2980326540198
6576,69a594e3-e926-40bf-831d-21be8bcdab1b,Fuller Park,NotSafe,"12025,76652634036",541.1594936853162
6576,13408488-c670-443f-a0d5-f7303b2525d8,O'Hare,RatherSafe,"15458,99668844102",695.654850979846
6693,68bbf1a3-139d-499c-8e83-ce8417e62f74,East Side,RatherSafe,"25458,870492229657",1145.6491721503346
11112,ed40730a-0f94-484b-982e-b64eb129df33,Englewood,NotSafe,"17381,22705482726",782.1552174672267
11707,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,"17150,57183998101",771.7757327991455
11860,8944f788-4a1a-41ab-9e9e-2a0cf2fbd47d,Mount Greenwood,RatherSafe,"24057,942672112353",1082.607420245056
12207,89aafcfa-2bf2-4002-990c-817638ba8020,Edison Park,NotSafe,"17283,626926261102",777.7632116817497
12445,23397ebb-78ed-428e-a137-88f91da8b3a8,East Side,RatherSafe,"26423,370730325914",1189.0516828646662
12746,a68f376c-93c1-4477-9cd7-9624ece3f867,Roseland,RatherSafe,"24877,083852143598",1119.468773346462
13373,ca4eabf7-46bf-4c01-8e1f-6627ba14ecfc,North Lawndale,RatherSafe,"10381,00108686468",467.1450489089106
13373,7d37e5b4-e795-47da-884a-e4c3af4e1e3b,Burnside,RatherSafe,"21845,775674851175",983.0599053683029
13559,89aafcfa-2bf2-4002-990c-817638ba8020,Edison Park,NotSafe,"17283,626926261102",777.7632116817497
14523,06672f56-42a9-4004-a7ff-c0ed208083d4,Riverdale,RatherSafe,"29490,731629170717",1327.0829233126824
14979,35e518d7-ffa3-4ca3-b0f8-95e5b88e1a2d,Lake View,RatherSafe,"3098,153362348883",139.41690130569975
15500,7310733f-9d7e-4c69-92af-5b9e35cde736,Loop,RatherSafe,"3647,2958717011447",164.1283142265515
