"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
4302,b64e9f27-e76b-4dfa-b159-107c69daeec4,Edison Park,NotSafe,5,1,1,1,"3293,248722166491",0
4842,b64e9f27-e76b-4dfa-b159-107c69daeec4,Edison Park,NotSafe,5,2,1,1,"383,3787743370132",0
5395,a119c8a6-2831-4522-bcaa-7884bd1fa25f,Washington Park,RatherSafe,5,1,2,2,"7039,022764964884",0
5736,a119c8a6-2831-4522-bcaa-7884bd1fa25f,Washington Park,RatherSafe,5,3,1,1,"3115,964345013282",0
5907,75679f3e-e1cf-42b5-b7c8-9e80740bde4e,Englewood,NotSafe,3,1,1,1,"3080,762500511486",0
5988,a119c8a6-2831-4522-bcaa-7884bd1fa25f,Washington Park,RatherSafe,5,4,1,1,"3195,791870231233",0
6148,b64e9f27-e76b-4dfa-b159-107c69daeec4,Edison Park,NotSafe,5,3,1,1,"3004,4091087014704",0
6151,4e969a6c-013b-4793-a612-b99e67b1bbce,Near South Side,NotSafe,5,1,2,2,"3704,972767297765",0
6233,4e969a6c-013b-4793-a612-b99e67b1bbce,Near South Side,NotSafe,5,1,3,1,"2161,673398471932",0
6315,4e969a6c-013b-4793-a612-b99e67b1bbce,Near South Side,NotSafe,5,1,4,1,"3010,343231537345",0
6414,b64e9f27-e76b-4dfa-b159-107c69daeec4,Edison Park,NotSafe,5,4,1,1,"2705,0361778840147",0
6514,75679f3e-e1cf-42b5-b7c8-9e80740bde4e,Englewood,NotSafe,3,2,1,1,"3301,1842503421494",0
6516,69a594e3-e926-40bf-831d-21be8bcdab1b,Fuller Park,NotSafe,3,1,1,1,"2776,5878573783134",0
6630,24903913-e6cc-4833-a5b3-14af0fc15452,Englewood,NotSafe,6,1,1,1,"3324,844732715572",0
6631,69a594e3-e926-40bf-831d-21be8bcdab1b,Fuller Park,NotSafe,3,1,2,1,"3135,354549128626",0
6932,68bbf1a3-139d-499c-8e83-ce8417e62f74,East Side,RatherSafe,3,1,1,1,"3514,7992296932225",0
6934,8059940d-968b-4f5e-a6de-2261a85b33af,Montclare,RatherSafe,2,1,1,1,"2563,1596901375774",0
7039,24903913-e6cc-4833-a5b3-14af0fc15452,Englewood,NotSafe,6,2,3,3,"8910,391145567824",0
7416,24903913-e6cc-4833-a5b3-14af0fc15452,Englewood,NotSafe,6,5,1,1,"2655,6898105520763",0
7418,ed40730a-0f94-484b-982e-b64eb129df33,Englewood,NotSafe,5,1,1,1,"3249,272344628479",0
7515,68bbf1a3-139d-499c-8e83-ce8417e62f74,East Side,RatherSafe,3,2,1,1,"2328,84655715046",0
7518,ed40730a-0f94-484b-982e-b64eb129df33,Englewood,NotSafe,5,1,2,1,"2578,267271940042",0
7602,13408488-c670-443f-a0d5-f7303b2525d8,O'Hare,RatherSafe,3,1,1,1,"3141,152611251452",0
7695,ed40730a-0f94-484b-982e-b64eb129df33,Englewood,NotSafe,5,2,2,1,"2932,4243034707224",0
7697,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,6,1,1,1,"1037,8293058334839",0
7792,ed40730a-0f94-484b-982e-b64eb129df33,Englewood,NotSafe,5,3,3,2,"6154,225273327966",0
9516,13408488-c670-443f-a0d5-f7303b2525d8,O'Hare,RatherSafe,3,2,1,1,"3380,996026142979",0
9622,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,6,2,1,1,"2801,5337616390134",0
9739,e51fd987-bc5a-4f9c-aefd-fa88ae2c672e,Hyde Park,RatherSafe,4,1,1,1,"3337,177658250641",0
9888,e51fd987-bc5a-4f9c-aefd-fa88ae2c672e,Hyde Park,RatherSafe,4,1,6,5,"17938,29034555452",0
9889,a68f376c-93c1-4477-9cd7-9624ece3f867,Roseland,RatherSafe,3,1,1,1,"3128,6774353010724",0
10162,e7a5581a-8425-41cf-9d9d-23918de8a7ea,Pullman,RatherSafe,2,1,2,2,"4135,1865652887245",0
10356,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,6,3,1,1,"2385,4659465878003",0
10576,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,6,3,6,5,"15639,209701647746",0
10578,23397ebb-78ed-428e-a137-88f91da8b3a8,East Side,RatherSafe,3,1,1,1,"1709,4925920449557",0
10583,ca4eabf7-46bf-4c01-8e1f-6627ba14ecfc,North Lawndale,RatherSafe,4,1,3,3,"4672,655914307938",0
11002,89aafcfa-2bf2-4002-990c-817638ba8020,Edison Park,NotSafe,4,1,1,1,"2801,621245145467",0
11164,23397ebb-78ed-428e-a137-88f91da8b3a8,East Side,RatherSafe,3,2,2,2,"4354,045576897404",0
11168,a68f376c-93c1-4477-9cd7-9624ece3f867,Roseland,RatherSafe,3,2,2,2,"6770,23066547705",0
11401,8944f788-4a1a-41ab-9e9e-2a0cf2fbd47d,Mount Greenwood,RatherSafe,4,1,1,1,"3310,1220689024494",0
11402,89aafcfa-2bf2-4002-990c-817638ba8020,Edison Park,NotSafe,4,2,1,1,"1746,2541651153938",0
11598,7d37e5b4-e795-47da-884a-e4c3af4e1e3b,Burnside,RatherSafe,4,1,1,1,"293,2075306547698",0
11756,7d37e5b4-e795-47da-884a-e4c3af4e1e3b,Burnside,RatherSafe,4,1,7,6,"16909,787502687832",0
12246,35e518d7-ffa3-4ca3-b0f8-95e5b88e1a2d,Lake View,RatherSafe,4,1,2,2,"4299,626037261446",0
12369,35e518d7-ffa3-4ca3-b0f8-95e5b88e1a2d,Lake View,RatherSafe,4,1,5,3,"9951,502980116617",0
12505,06672f56-42a9-4004-a7ff-c0ed208083d4,Riverdale,RatherSafe,4,1,2,2,"4884,780646834375",0
12507,7310733f-9d7e-4c69-92af-5b9e35cde736,Loop,RatherSafe,3,1,1,1,"2942,7857956676094",0
12510,e43e9125-8ab1-4748-91f1-a122ba53c121,Douglas,Safe,2,1,1,1,"3561,2533303531436",0
12511,e443de1f-b8cb-4069-998d-9839d1551409,Gage Park,NotSafe,2,1,1,1,"799,760290600274",0
12662,7310733f-9d7e-4c69-92af-5b9e35cde736,Loop,RatherSafe,3,1,3,2,"4713,597005524076",0
12666,2ff77fc4-71a5-4967-9c71-a9b1f220f65f,Montclare,RatherSafe,5,1,2,2,"6974,901577907229",0
12798,8944f788-4a1a-41ab-9e9e-2a0cf2fbd47d,Mount Greenwood,RatherSafe,4,2,1,1,"1617,590208298704",0
