"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
4301,b64e9f27-e76b-4dfa-b159-107c69daeec4,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"3293,248722166491",0
4841,b64e9f27-e76b-4dfa-b159-107c69daeec4,Edison Park,NotSafe,PATROLLING,1,"383,3787743370132",0
5394,a119c8a6-2831-4522-bcaa-7884bd1fa25f,Washington Park,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3525,8524420858726",0
5395,a119c8a6-2831-4522-bcaa-7884bd1fa25f,Washington Park,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3513,170322879012",0
5735,a119c8a6-2831-4522-bcaa-7884bd1fa25f,Washington Park,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3115,964345013282",0
5906,75679f3e-e1cf-42b5-b7c8-9e80740bde4e,Englewood,NotSafe,TRANSFER_TO_INTERVENTION,4,"3080,762500511486",0
5988,a119c8a6-2831-4522-bcaa-7884bd1fa25f,Washington Park,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3195,791870231233",0
6147,b64e9f27-e76b-4dfa-b159-107c69daeec4,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"3004,4091087014704",0
6150,4e969a6c-013b-4793-a612-b99e67b1bbce,Near South Side,NotSafe,TRANSFER_TO_INTERVENTION,4,"958,9786954787626",0
6151,4e969a6c-013b-4793-a612-b99e67b1bbce,Near South Side,NotSafe,TRANSFER_TO_INTERVENTION,4,"2745,994071819003",0
6232,4e969a6c-013b-4793-a612-b99e67b1bbce,Near South Side,NotSafe,TRANSFER_TO_INTERVENTION,4,"2161,673398471932",0
6314,4e969a6c-013b-4793-a612-b99e67b1bbce,Near South Side,NotSafe,PATROLLING,3,"3010,343231537345",0
6412,b64e9f27-e76b-4dfa-b159-107c69daeec4,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"2705,0361778840147",0
6513,75679f3e-e1cf-42b5-b7c8-9e80740bde4e,Englewood,NotSafe,PATROLLING,3,"3301,1842503421494",0
6516,69a594e3-e926-40bf-831d-21be8bcdab1b,Fuller Park,NotSafe,PATROLLING,3,"2776,5878573783134",0
6630,24903913-e6cc-4833-a5b3-14af0fc15452,Englewood,NotSafe,TRANSFER_TO_INTERVENTION,4,"3324,844732715572",0
6631,69a594e3-e926-40bf-831d-21be8bcdab1b,Fuller Park,NotSafe,PATROLLING,3,"3135,354549128626",0
6931,68bbf1a3-139d-499c-8e83-ce8417e62f74,East Side,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3514,7992296932225",0
6933,8059940d-968b-4f5e-a6de-2261a85b33af,Montclare,RatherSafe,PATROLLING,3,"2563,1596901375774",0
7036,24903913-e6cc-4833-a5b3-14af0fc15452,Englewood,NotSafe,TRANSFER_TO_INTERVENTION,4,"3520,8170213019644",0
7037,24903913-e6cc-4833-a5b3-14af0fc15452,Englewood,NotSafe,TRANSFER_TO_INTERVENTION,4,"2687,2625647991194",0
7038,24903913-e6cc-4833-a5b3-14af0fc15452,Englewood,NotSafe,TRANSFER_TO_INTERVENTION,4,"2702,3115594667406",0
7416,24903913-e6cc-4833-a5b3-14af0fc15452,Englewood,NotSafe,TRANSFER_TO_INTERVENTION,4,"2655,6898105520763",0
7417,ed40730a-0f94-484b-982e-b64eb129df33,Englewood,NotSafe,PATROLLING,3,"3249,272344628479",0
7515,68bbf1a3-139d-499c-8e83-ce8417e62f74,East Side,RatherSafe,TRANSFER_TO_INTERVENTION,4,"2328,84655715046",0
7516,ed40730a-0f94-484b-982e-b64eb129df33,Englewood,NotSafe,TRANSFER_TO_INTERVENTION,4,"2578,267271940042",0
7602,13408488-c670-443f-a0d5-f7303b2525d8,O'Hare,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3141,152611251452",0
7695,ed40730a-0f94-484b-982e-b64eb129df33,Englewood,NotSafe,TRANSFER_TO_INTERVENTION,4,"2932,4243034707224",0
7696,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"1037,8293058334839",0
7790,ed40730a-0f94-484b-982e-b64eb129df33,Englewood,NotSafe,TRANSFER_TO_INTERVENTION,4,"3101,942424346837",0
7791,ed40730a-0f94-484b-982e-b64eb129df33,Englewood,NotSafe,TRANSFER_TO_INTERVENTION,4,"3052,282848981128",0
9514,13408488-c670-443f-a0d5-f7303b2525d8,O'Hare,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3380,996026142979",0
9621,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"2801,5337616390134",0
9738,e51fd987-bc5a-4f9c-aefd-fa88ae2c672e,Hyde Park,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3337,177658250641",0
9876,e51fd987-bc5a-4f9c-aefd-fa88ae2c672e,Hyde Park,RatherSafe,PATROLLING,3,"3587,6580691109043",0
9883,e51fd987-bc5a-4f9c-aefd-fa88ae2c672e,Hyde Park,RatherSafe,PATROLLING,3,"3587,6580691109043",0
9884,e51fd987-bc5a-4f9c-aefd-fa88ae2c672e,Hyde Park,RatherSafe,PATROLLING,3,"3587,6580691109043",0
9885,e51fd987-bc5a-4f9c-aefd-fa88ae2c672e,Hyde Park,RatherSafe,PATROLLING,3,"3587,6580691109043",0
9887,e51fd987-bc5a-4f9c-aefd-fa88ae2c672e,Hyde Park,RatherSafe,PATROLLING,3,"3587,6580691109043",0
9889,a68f376c-93c1-4477-9cd7-9624ece3f867,Roseland,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3128,6774353010724",0
10160,e7a5581a-8425-41cf-9d9d-23918de8a7ea,Pullman,RatherSafe,TRANSFER_TO_INTERVENTION,4,"1934,4376665602563",0
10161,e7a5581a-8425-41cf-9d9d-23918de8a7ea,Pullman,RatherSafe,TRANSFER_TO_INTERVENTION,4,"2200,748898728468",0
10355,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"2385,4659465878003",0
10570,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"3124,034577489691",0
10572,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"3124,034577489691",0
10573,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"3124,034577489691",0
10574,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"3133,552984589336",0
10575,7db5f1f1-4150-431f-a092-361d126b3dcf,Edison Park,NotSafe,TRANSFER_TO_INTERVENTION,4,"3133,552984589336",0
10578,23397ebb-78ed-428e-a137-88f91da8b3a8,East Side,RatherSafe,TRANSFER_TO_INTERVENTION,4,"1709,4925920449557",0
