"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3601,21100.890620355724,949.5400779160076
7200,14236.131970820614,640.6259386869277
10800,9855.438607981236,443.4947373591556
14401,12257.31334994018,551.5791007473081
18000,14460.797161065977,650.7358722479689
21601,9799.177294998828,440.96297827494726
25200,13818.960507215603,621.8532228247021
28800,16596.91085065549,746.8609882794972
32400,14736.457447007568,663.1405851153405
36000,9685.799296834219,435.8609683575399
39600,10093.005084739874,454.1852288132943
43201,11143.179285496319,501.4430678473344
46801,17888.18056902012,804.9681256059055
50400,12502.113273755178,562.5950973189829
54002,15466.736175275068,696.003127887378
57600,9989.195564697144,449.5138004113715
61200,11922.363330222302,536.5063498600035
64802,14183.672550038851,638.2652647517482
68401,10200.196421141176,459.008838951353
72000,10061.575850848541,452.7709132881844
75602,12912.756764406302,581.0740543982837
79200,12522.88140607975,563.5296632735888
82801,16650.33684500337,749.2651580251515
