"simulationTime[s]","amountOfInterventions","interventionsDuration[min]","averageInterventionDuration[min]","amountOfFirings","firingsDuration[min]","averageFiringDuration[min]"
3603,27.0,545.0,20.185185185185187,1.0,52.0,52.0
7201,26.0,564.0,21.692307692307693,6.0,397.0,66.16666666666667
10800,30.0,615.0,20.5,5.0,378.0,75.6
14402,22.0,424.0,19.272727272727273,2.0,113.0,56.5
18000,26.0,563.0,21.653846153846153,5.0,340.0,68.0
21601,23.0,455.0,19.782608695652176,1.0,59.0,59.0
25200,33.0,708.0,21.454545454545453,2.0,153.0,76.5
28800,30.0,640.0,21.333333333333332,4.0,312.0,78.0
32400,27.0,595.0,22.037037037037038,2.0,95.0,47.5
36000,25.0,483.0,19.32,2.0,125.0,62.5
39600,33.0,636.0,19.272727272727273,3.0,185.0,61.666666666666664
43201,36.0,752.0,20.88888888888889,8.0,564.0,70.5
46803,25.0,497.0,19.88,3.0,187.0,62.333333333333336
50400,31.0,612.0,19.741935483870968,4.0,237.0,59.25
54002,27.0,556.0,20.59259259259259,3.0,188.0,62.666666666666664
57600,21.0,423.0,20.142857142857142,1.0,68.0,68.0
61201,21.0,433.0,20.61904761904762,3.0,170.0,56.666666666666664
64802,33.0,751.0,22.757575757575758,7.0,501.0,71.57142857142857
68402,28.0,593.0,21.178571428571427,7.0,499.0,71.28571428571429
72000,29.0,665.0,22.93103448275862,7.0,494.0,70.57142857142857
75600,36.0,766.0,21.27777777777778,5.0,350.0,70.0
79200,27.0,570.0,21.11111111111111,10.0,719.0,71.9
82804,22.0,453.0,20.59090909090909,1.0,57.0,57.0
