"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3601,1152.0,32.5
7201,5405.0,135.45454545454547
10800,3770.1,99.7
14400,4416.5,95.5
18000,1337.9,40.4
21601,2869.5,77.0
25202,653.5,13.5
28800,259.5,5.625
32400,519.0,11.25
36000,2450.0,57.0
39600,2943.0,67.33333333333333
43201,567.0,12.6875
46803,773.6666666666666,19.166666666666668
50401,1503.5,31.5
54002,2385.6666666666665,48.666666666666664
57600,3172.5,68.0
61200,898.5,19.666666666666668
64801,511.42857142857144,12.142857142857142
68400,311.2857142857143,8.714285714285714
72000,100.71428571428571,2.857142857142857
75600,0.0,0.0
79200,0.0,0.0
82802,0.0,0.0
