"£agiewniki-Borek Fa³êcki","Dêbniki","Swoszowice","Podgórze","Stare Miasto","Zwierzyniec","Podgórze Duchackie","Bie¿anów-Prokocim","Nowa Huta","Wzgórza Krzes³awickie","Czy¿yny","Grzegórzki","Krowodrza","Bronowice","Pr¹dnik Bia³y","Pr¹dnik Czerwony","Mistrzejowice","Bieñczyce"
"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0"
"0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0"
"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0"
"1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0"
"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0"
"0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0"
"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
"0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
"0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0"
"1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,1"
"0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0"
"0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1"
"0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0"
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0"
"0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0"
"0,0,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,0"
"0,1,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0"
"1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0"
"0,1,0,0,1,1,2,0,2,0,0,0,0,1,0,1,1,0"
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
