"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
112,52a46455-4737-4e74-8dd7-fbbbcc2530ed,Swoszowice,Safe,"5963,558574684548"
542,81b1b157-21fe-46e3-a4d9-d4267eb7abc9,Bieñczyce,RatherSafe,"4789,475128069159"
693,28a66991-e054-41df-8d32-41a005e67b1f,Czy¿yny,RatherSafe,"2150,345085917638"
903,fea35898-1aff-43db-bd66-2ff079af016d,Nowa Huta,NotSafe,"12970,94311519346"
957,8301255e-323c-41be-9362-b1eb30f52042,Nowa Huta,NotSafe,"5564,107310111759"
1186,66ac9882-d45d-49cc-ab1d-e9d2f31bd097,Stare Miasto,NotSafe,"1165,3574762141043"
1270,b609d85e-37d9-4796-abed-d2d1f50e4694,Bie¿anów-Prokocim,Safe,"500,6253094326045"
1381,3abc601d-24f2-47df-8857-41afefe79114,£agiewniki-Borek Fa³êcki,RatherSafe,"928,3725653875748"
1568,b1f34885-30e7-46cd-be9a-c64eeaf59094,Bronowice,NotSafe,"1550,3746810984571"
1614,92f3a091-420f-41ae-8120-475c708d0891,£agiewniki-Borek Fa³êcki,RatherSafe,"199,2268714596698"
1709,7a67c901-faee-4f26-b36b-e763c9484dc0,Bie¿anów-Prokocim,Safe,"2789,137313086985"
1842,6134c4ed-46f2-41a7-af8f-8b52fe9701b7,Nowa Huta,NotSafe,"11848,604149663952"
1885,df479754-2e4c-42f3-8546-a83f809ceb18,Grzegórzki,RatherSafe,"2097,637362401294"
1887,365cdad9-2548-4795-abd6-58d8a97b1652,Grzegórzki,RatherSafe,"1246,8329420005412"
1951,908282d2-6c53-4031-9318-6b9249fa276c,Wzgórza Krzes³awickie,Safe,"1579,9299204482554"
2030,f9c373cf-4b27-4284-bad4-b26248f8d9eb,Pr¹dnik Czerwony,RatherSafe,"435,8336165961719"
2201,2acf72e9-9edb-4cc0-9add-45caf0c598a6,Bieñczyce,RatherSafe,"445,58616065084414"
2397,659f5d45-c87d-4e5e-a592-431a406b965c,Zwierzyniec,RatherSafe,"2912,849041749144"
2779,843cf8ab-1376-4cd7-a70d-93e9d7678d94,Mistrzejowice,RatherSafe,"1710,296543778562"
2781,212aa14b-a672-406a-b148-a51751942bcd,Pr¹dnik Bia³y,Safe,"2196,494418966762"
2834,7c178165-cac3-4243-a417-3710b8c2220a,Zwierzyniec,RatherSafe,"2210,833113339087"
3042,93d91b8f-4eb1-4d04-bf93-89960b71b4ff,Swoszowice,Safe,"169,02315468169212"
3043,d194823b-07ac-4754-be98-d0b7b82bc5c8,Stare Miasto,NotSafe,"347,58178430495656"
3182,c9fea920-5257-4d4c-a2b8-82284c0283e1,Czy¿yny,RatherSafe,"1573,2203191253018"
3243,e8653342-3261-471d-9372-c43a66cdd14c,Wzgórza Krzes³awickie,Safe,"583,4879157624285"
3351,9579fd78-352e-4784-9086-37e544140d56,Grzegórzki,RatherSafe,"1962,8914167102755"
3381,c0f87935-27e7-43dd-ac56-eb7847922861,Stare Miasto,NotSafe,"2038,2853624461"
3462,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,"2324,854938894625"
3496,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,"3522,223605738871"
3571,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,"2822,9325496762453"
3642,ed943c42-b4f3-4308-86f3-3648664800e9,Czy¿yny,RatherSafe,"1418,6789069425683"
3762,58f2e363-c911-4eeb-8ea4-f3fd1ff24055,Czy¿yny,RatherSafe,"1903,9866928152749"
3821,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,"637,9630722728122"
3822,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,"1040,7229403953431"
3824,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,"664,1516880460146"
3825,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,"373,8442268106646"
3913,7ba36ac4-a60a-4081-8ff1-e3a653a83fc0,Podgórze Duchackie,NotSafe,"3472,113743160032"
4052,535b987d-dd32-4cd4-82cb-9a98d5a1a664,Nowa Huta,NotSafe,"3141,761477309857"
4053,4fde70c2-e0b2-41f6-a7b3-99bd573f8c54,Nowa Huta,NotSafe,"2293,2351298964504"
4157,e049fcc9-8fa1-437e-97b7-fa475645c345,Dêbniki,NotSafe,"3299,1235299341447"
4237,37f2afe0-8c61-4691-b8c5-a3d18a1c03dc,Grzegórzki,RatherSafe,"1477,6290364221925"
4238,37f2afe0-8c61-4691-b8c5-a3d18a1c03dc,Grzegórzki,RatherSafe,"1737,6753955589256"
4239,37f2afe0-8c61-4691-b8c5-a3d18a1c03dc,Grzegórzki,RatherSafe,"1605,9750221374031"
4240,8914c313-b7b6-473a-8667-3278491ae32d,Zwierzyniec,RatherSafe,"3235,246428166716"
4319,f5f9fc70-11b0-4942-9a3f-729db09032de,Dêbniki,NotSafe,"1024,9766156071014"
4640,c4316065-fd70-444f-abd9-7a9e9906985b,Zwierzyniec,RatherSafe,"2028,4989622684955"
4850,6dc3837b-aba4-4f3c-b981-759ad7a00491,Mistrzejowice,RatherSafe,"663,0853582575063"
4877,75f30823-7279-4b2d-8610-16e74df29ed1,Zwierzyniec,RatherSafe,"1855,0257938568845"
4939,dfe326c8-e7cc-409e-81ec-78d9ab1128a8,Stare Miasto,NotSafe,"1389,2172311531065"
5047,f80c5a9f-18b5-427d-8f82-ee48eea5eb23,Stare Miasto,NotSafe,"2244,632265429023"
5110,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,"1131,9089562677848"
5167,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,"2226,455559545521"
5193,72c325db-e2ee-4498-91b9-8a12ef0f4e14,Swoszowice,Safe,"3505,0647339978523"
5222,1067e390-bbcc-4bb3-aff3-ffa24a7ac3cb,Nowa Huta,NotSafe,"3494,3730111520936"
5248,46bb1af2-42b7-47c1-8181-ad92767fd621,Czy¿yny,RatherSafe,"2161,5761423760564"
5350,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,"1699,643808650972"
5351,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,"2549,3308390749753"
5481,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,"3458,2247863351895"
5535,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,"3511,89424914525"
5640,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,"3592,068061941462"
5641,fe0888ad-eec5-481c-b50e-17a0dc6abc48,Pr¹dnik Bia³y,Safe,"1453,3110388033747"
5642,df5ec8a9-07d7-4fe3-a3c8-f7f0ff5b8a01,Krowodrza,RatherSafe,"3332,1972157102955"
5697,08c1cb2b-9cc0-4ed4-af95-ccab64e6fa8d,Stare Miasto,NotSafe,"3095,618178934849"
5699,08c1cb2b-9cc0-4ed4-af95-ccab64e6fa8d,Stare Miasto,NotSafe,"3095,618178934849"
5756,df7fcf3a-0970-4a50-a443-8244e8f6dcdc,Stare Miasto,NotSafe,"4170,808041922902"
5756,6ca219d8-6651-416f-8819-03625942b645,Wzgórza Krzes³awickie,Safe,"3574,466362893143"
5845,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,"3478,414298312499"
6134,c74adeda-4a77-47bc-883e-13404ff554eb,Mistrzejowice,RatherSafe,"2443,027745181973"
6190,e644bb98-c315-44aa-9f34-24b18bad524c,Bieñczyce,RatherSafe,"4169,814255152487"
6660,10981f27-e8fa-4a91-ac4c-d61e5594d93a,Krowodrza,RatherSafe,"2184,2981679434524"
6765,c0bb78f2-336e-4c40-9111-d0b5959c8b73,Pr¹dnik Czerwony,RatherSafe,"2290,1731620828846"
7039,f184e660-60d1-4672-a5ba-d4ed0719251f,Krowodrza,RatherSafe,"2043,2058554451191"
7095,26aafa5d-0cb7-4c8b-88d3-9b5b9fb1f3b3,Podgórze Duchackie,NotSafe,"2325,9230495344523"
7151,651804d3-17a3-4c40-8510-e6bde357a135,Nowa Huta,NotSafe,"2655,2072548236215"
7382,c19c2cd0-d694-46c6-8a3a-51a8c575c132,Bieñczyce,RatherSafe,"1557,2722722981475"
7383,73b7573d-1bc6-44e8-881d-322118e98226,Bieñczyce,RatherSafe,"1898,2210063502087"
7439,a45e8b0f-3779-499a-b706-c16089f03431,Krowodrza,RatherSafe,"860,1340644608292"
7995,a86d6ea0-2876-47a0-862c-f44b51c443c9,Bronowice,NotSafe,"1159,7711685933152"
8021,2960986c-e1de-4f0d-8a27-3d925bf47208,Krowodrza,RatherSafe,"2088,994806325691"
8191,11252876-8b7a-4349-902a-d3919536661b,Nowa Huta,NotSafe,"9878,002516653787"
8245,2683bd55-4379-43b3-be50-130c68e493aa,Stare Miasto,NotSafe,"1121,7123380298394"
8299,780399a7-e613-426f-9be6-57f0aaf76763,Czy¿yny,RatherSafe,"3357,3875302793854"
8355,f50fa26b-2daf-446f-affa-003b80d717c6,Pr¹dnik Czerwony,RatherSafe,"1130,364095469162"
8435,7c4df68d-45ac-4374-aa7a-2fab97f003cb,Grzegórzki,RatherSafe,"429,24844341204073"
8493,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,"3548,9926122248066"
8495,7b59c225-61bf-45a7-84ce-85d9bb745ad7,Zwierzyniec,RatherSafe,"1697,4312030157346"
8496,e470c209-a9eb-4953-95a5-b5060ff3931e,Podgórze Duchackie,NotSafe,"1064,5762277208862"
8650,cae05774-a872-4f8c-b317-da703410c28f,Bronowice,NotSafe,"1988,4032369296378"
