"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"13,27,26,3,0,0,0"
"24,26,23,18,20,0,0"
"20,30,28,17,17,0,1"
"21,22,18,7,7,0,0"
"20,26,29,14,12,0,0"
"20,23,23,3,2,0,0"
"26,33,29,9,9,0,0"
"21,30,28,17,17,0,0"
"28,27,28,6,3,39,0"
"30,25,25,6,9,4,0"
"22,32,31,7,7,1,0"
"27,37,32,26,20,0,0"
"25,24,25,8,9,0,0"
"25,32,31,13,6,0,0"
"22,27,29,7,5,0,0"
"28,21,22,4,7,4,0"
"16,21,21,8,8,40,0"
"20,33,29,24,17,0,0"
"19,28,24,18,17,0,0"
"21,28,27,23,21,1,0"
"22,37,28,14,14,6,1"
"20,27,21,31,31,2,0"
"21,22,20,7,3,2,0"
