"simulationTime","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfNeutralizedPatrols","amountOfReturningToHqPatrols","amountOfIncidents","amountOfInterventions","amountOfInterventionsBeingSolved","amountOfFirings","amountOfFiringBeingSolved","isNight"
3611,40,20,6,1,0,12,1,0,0,14,13,13,1,1,0
7200,45,19,1,3,0,5,17,0,0,13,9,9,4,4,0
10800,45,12,1,2,0,8,21,1,0,17,12,12,5,5,0
14401,44,23,1,3,0,3,14,1,0,9,6,6,3,3,0
18002,44,17,3,0,0,7,17,1,0,11,6,6,5,5,0
21601,44,28,1,0,0,9,6,1,0,11,9,9,2,2,0
25200,44,20,0,3,0,10,11,1,0,16,14,14,2,2,0
28802,48,11,0,3,0,13,21,1,0,20,16,16,4,4,0
32400,52,27,1,1,3,12,5,1,3,16,14,14,2,2,0
36000,45,28,2,2,0,5,8,1,0,9,7,7,2,2,0
39600,44,24,1,2,0,11,6,1,0,16,14,13,2,2,0
43200,47,5,0,4,2,9,27,1,0,22,14,14,8,8,0
46801,53,25,2,2,0,6,18,1,0,16,10,9,6,6,0
50401,53,20,1,3,7,8,14,1,0,16,11,11,5,5,0
54002,53,26,1,1,3,12,10,1,0,17,13,13,4,4,0
57602,49,35,0,0,0,5,9,1,0,7,5,5,2,2,1
61201,61,41,2,0,0,7,11,1,0,10,7,7,3,3,1
64801,61,25,0,1,2,9,24,1,0,19,12,12,7,7,1
68400,61,18,1,3,0,8,31,1,0,21,12,12,9,9,1
72000,61,19,1,0,0,11,29,1,1,22,13,12,9,9,1
75600,58,6,0,6,1,12,31,1,2,29,19,19,10,10,1
79200,55,9,1,2,0,7,36,1,0,20,10,10,10,10,1
82800,54,31,0,2,4,5,12,1,0,13,9,9,4,4,1
