"simulationTime[s]","patrolState","timeInState[s]"
494,PATROLLING,493.0
540,CALCULATING_PATH,46.0
1184,TRANSFER_TO_INTERVENTION,644.0
2069,INTERVENTION,885.0
2145,CALCULATING_PATH,76.0
3681,PATROLLING,1536.0
3736,CALCULATING_PATH,55.0
4908,PATROLLING,1172.0
4938,CALCULATING_PATH,30.0
5274,PATROLLING,336.0
5300,CALCULATING_PATH,26.0
5696,TRANSFER_TO_INTERVENTION,396.0
6886,INTERVENTION,1190.0
6913,CALCULATING_PATH,27.0
7904,PATROLLING,991.0
7936,CALCULATING_PATH,32.0
8649,PATROLLING,713.0
8713,CALCULATING_PATH,64.0
8823,PATROLLING,110.0
8851,CALCULATING_PATH,28.0
8987,TRANSFER_TO_INTERVENTION,136.0
9202,INTERVENTION,215.0
11552,FIRING,2350.0
11586,PATROLLING,34.0
11614,CALCULATING_PATH,27.0
11836,PATROLLING,222.0
11866,CALCULATING_PATH,30.0
12322,PATROLLING,456.0
12348,CALCULATING_PATH,26.0
12516,TRANSFER_TO_INTERVENTION,168.0
13294,INTERVENTION,778.0
13320,CALCULATING_PATH,26.0
13398,PATROLLING,78.0
13426,CALCULATING_PATH,28.0
14352,PATROLLING,926.0
14379,CALCULATING_PATH,27.0
14722,PATROLLING,343.0
14765,CALCULATING_PATH,43.0
14905,TRANSFER_TO_INTERVENTION,140.0
16565,INTERVENTION,1660.0
16592,CALCULATING_PATH,27.0
17091,PATROLLING,499.0
17117,CALCULATING_PATH,26.0
17284,TRANSFER_TO_INTERVENTION,167.0
18713,INTERVENTION,1429.0
18742,CALCULATING_PATH,29.0
19379,PATROLLING,637.0
19409,CALCULATING_PATH,30.0
20541,PATROLLING,1132.0
20569,CALCULATING_PATH,28.0
21165,PATROLLING,596.0
21219,CALCULATING_PATH,54.0
21868,PATROLLING,649.0
21898,CALCULATING_PATH,30.0
22064,TRANSFER_TO_INTERVENTION,166.0
23798,INTERVENTION,1734.0
23823,CALCULATING_PATH,25.0
23850,PATROLLING,27.0
23875,CALCULATING_PATH,25.0
24110,TRANSFER_TO_INTERVENTION,235.0
25687,INTERVENTION,1577.0
25717,CALCULATING_PATH,30.0
25801,PATROLLING,84.0
25828,CALCULATING_PATH,27.0
25913,TRANSFER_TO_INTERVENTION,85.0
27665,INTERVENTION,1752.0
27718,CALCULATING_PATH,53.0
27937,PATROLLING,219.0
27962,CALCULATING_PATH,25.0
28152,TRANSFER_TO_FIRING,190.0
32034,FIRING,3882.0
32064,PATROLLING,30.0
32096,CALCULATING_PATH,32.0
32989,RETURNING_TO_HQ,893.0
34140,PATROLLING,1151.0
34199,CALCULATING_PATH,59.0
34501,PATROLLING,302.0
34530,CALCULATING_PATH,29.0
35111,RETURNING_TO_HQ,581.0
36006,INTERVENTION,895.0
36033,CALCULATING_PATH,27.0
36066,PATROLLING,33.0
36094,CALCULATING_PATH,28.0
