"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
3464,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,"21100,890620355724",949.5400779160076
3642,ed943c42-b4f3-4308-86f3-3648664800e9,Czy¿yny,RatherSafe,"8679,814817396636",390.5916667828487
3825,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,"14225,70066346989",640.1565298561451
4241,37f2afe0-8c61-4691-b8c5-a3d18a1c03dc,Grzegórzki,RatherSafe,"11579,490227839018",521.0770602527558
5110,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,"20426,3661604948",919.186477222266
5351,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,"15804,843127100525",711.2179407195237
5699,08c1cb2b-9cc0-4ed4-af95-ccab64e6fa8d,Stare Miasto,NotSafe,"14700,57682862282",661.5259572880269
7842,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,"954,4095949525243",42.9484317728636
8655,cae05774-a872-4f8c-b317-da703410c28f,Bronowice,NotSafe,"18467,575515979846",831.0408982190932
9176,a10f26d8-6be9-43b1-aafd-7cb1d9b81211,Podgórze Duchackie,NotSafe,"14804,349781610541",666.1957401724744
9418,57e05b94-3876-42a8-a525-c0f2a45e0855,Czy¿yny,RatherSafe,"9435,294214330392",424.58823964486766
9909,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,"14516,592946061579",653.2466825727711
10610,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,"954,4095949525243",42.9484317728636
10834,af81c15d-2421-4056-844f-abd03d034b44,Pr¹dnik Czerwony,RatherSafe,"11238,078073956134",505.71351332802607
12166,ac983344-f5d3-4d11-8a94-3115a3f2fa49,Grzegórzki,RatherSafe,"13276,548625924224",597.4446881665901
15436,1a63b14b-84ef-498d-9a06-6aa45ae09c75,Stare Miasto,NotSafe,"14257,034272409435",641.5665422584246
15436,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,"14418,761704958386",648.8442767231273
16682,e47fd21c-f93b-4993-aeea-77f419e72cb8,Podgórze Duchackie,NotSafe,"14709,602148776728",661.9320966949527
17284,2eb2940f-2a65-4854-b0cb-19ec81855244,£agiewniki-Borek Fa³êcki,RatherSafe,"15571,74102942913",700.7283463243108
17824,1771d0f6-fed5-4f85-a5c3-c9760edeaa5d,Grzegórzki,RatherSafe,"13346,846649756208",600.6080992390293
20265,ccd11071-f361-4a8d-8af5-72b8c4daa8ce,Czy¿yny,RatherSafe,"9799,177294998828",440.96297827494726
22434,8dfdda34-aac8-45f7-bc90-59d3297765e9,Stare Miasto,NotSafe,"14854,763597452855",668.4643618853785
24081,1c8666d2-38ff-483a-98cf-1b62a72d7706,Grzegórzki,RatherSafe,"12783,15741697835",575.2420837640258
25220,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,"17580,53278469214",791.1239753111463
25471,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dêbniki,NotSafe,"16060,784430576285",722.7352993759329
25833,fec48ef6-9241-4faf-b6b2-ff72b3f23ade,Podgórze Duchackie,NotSafe,"13822,89038409488",622.0300672842696
