"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
3463,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,4,1,1,1,"2324,854938894625",0
3496,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,4,1,2,1,"3522,223605738871",0
3571,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,4,1,3,1,"2822,9325496762453",0
3642,ed943c42-b4f3-4308-86f3-3648664800e9,Czy¿yny,RatherSafe,2,1,1,1,"1418,6789069425683",0
3825,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,3,1,4,4,"2716,6819275248345",0
4239,37f2afe0-8c61-4691-b8c5-a3d18a1c03dc,Grzegórzki,RatherSafe,2,1,3,3,"4821,279454118521",0
5110,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,4,1,1,1,"1131,9089562677848",0
5167,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,4,1,2,1,"2226,455559545521",0
5350,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,6,1,1,1,"1699,643808650972",0
5351,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,6,1,2,1,"2549,3308390749753",0
5481,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,6,1,3,1,"3458,2247863351895",0
5535,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,6,2,3,1,"3511,89424914525",0
5640,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,6,3,3,1,"3592,068061941462",0
5699,08c1cb2b-9cc0-4ed4-af95-ccab64e6fa8d,Stare Miasto,NotSafe,3,1,2,2,"6191,236357869698",0
5845,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,4,3,1,1,"3478,414298312499",0
8494,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,5,1,1,1,"3548,9926122248066",0
8655,cae05774-a872-4f8c-b317-da703410c28f,Bronowice,NotSafe,5,1,5,5,"9808,04552359535",0
9176,a10f26d8-6be9-43b1-aafd-7cb1d9b81211,Podgórze Duchackie,NotSafe,2,1,2,2,"1961,491457673635",0
9340,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,5,2,1,1,"3599,949669993888",0
9418,57e05b94-3876-42a8-a525-c0f2a45e0855,Czy¿yny,RatherSafe,2,1,2,2,"891,4094806084859",0
9905,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,5,1,1,1,"1515,8027180004772",0
9908,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,5,1,3,2,"6467,191879233644",0
9909,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,5,1,4,1,"1784,2841886686704",0
10356,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,5,3,1,1,"3261,2901034470196",0
10530,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,5,3,2,1,"3518,9080107892823",0
10831,af81c15d-2421-4056-844f-abd03d034b44,Pr¹dnik Czerwony,RatherSafe,4,1,1,1,"853,096344025863",0
10833,af81c15d-2421-4056-844f-abd03d034b44,Pr¹dnik Czerwony,RatherSafe,4,1,2,1,"3448,0076400292146",0
10834,af81c15d-2421-4056-844f-abd03d034b44,Pr¹dnik Czerwony,RatherSafe,4,1,3,1,"2222,4524165561397",0
12163,ac983344-f5d3-4d11-8a94-3115a3f2fa49,Grzegórzki,RatherSafe,3,1,1,1,"792,7643357155272",0
12165,ac983344-f5d3-4d11-8a94-3115a3f2fa49,Grzegórzki,RatherSafe,3,1,3,2,"5150,12703444459",0
13148,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,5,4,1,1,"3529,427508072837",0
