"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
3462,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,PATROLLING,2,"2324,854938894625",0
3496,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,PATROLLING,3,"3522,223605738871",0
3570,4b1dc596-ef3f-4983-ad3f-8b7da6d49c0d,Zwierzyniec,RatherSafe,PATROLLING,3,"2822,9325496762453",0
3641,ed943c42-b4f3-4308-86f3-3648664800e9,Czy¿yny,RatherSafe,PATROLLING,2,"1418,6789069425683",0
3821,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,PATROLLING,1,"637,9630722728122",0
3822,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,PATROLLING,1,"1040,7229403953431",0
3823,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,PATROLLING,1,"664,1516880460146",0
3824,299c1bda-f826-4eb2-a164-b1fe1288cf52,Stare Miasto,NotSafe,PATROLLING,1,"373,8442268106646",0
4236,37f2afe0-8c61-4691-b8c5-a3d18a1c03dc,Grzegórzki,RatherSafe,PATROLLING,2,"1477,6290364221925",0
4237,37f2afe0-8c61-4691-b8c5-a3d18a1c03dc,Grzegórzki,RatherSafe,PATROLLING,2,"1737,6753955589256",0
4239,37f2afe0-8c61-4691-b8c5-a3d18a1c03dc,Grzegórzki,RatherSafe,PATROLLING,2,"1605,9750221374031",0
5109,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,PATROLLING,1,"1131,9089562677848",0
5166,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,PATROLLING,2,"2226,455559545521",0
5350,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,PATROLLING,2,"1699,643808650972",0
5351,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,PATROLLING,3,"2549,3308390749753",0
5480,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,PATROLLING,3,"3458,2247863351895",0
5535,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,PATROLLING,3,"3511,89424914525",0
5639,b1539c76-0225-4bac-a426-2938f2fc3a62,Dêbniki,NotSafe,PATROLLING,3,"3592,068061941462",0
5697,08c1cb2b-9cc0-4ed4-af95-ccab64e6fa8d,Stare Miasto,NotSafe,PATROLLING,3,"3095,618178934849",0
5699,08c1cb2b-9cc0-4ed4-af95-ccab64e6fa8d,Stare Miasto,NotSafe,PATROLLING,3,"3095,618178934849",0
5844,9937e199-8a6c-4fe5-b9ad-a671530ed336,Zwierzyniec,RatherSafe,TRANSFER_TO_INTERVENTION,4,"3478,414298312499",0
8493,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,TRANSFER_TO_INTERVENTION,4,"3548,9926122248066",0
8650,cae05774-a872-4f8c-b317-da703410c28f,Bronowice,NotSafe,PATROLLING,2,"1988,4032369296378",0
8651,cae05774-a872-4f8c-b317-da703410c28f,Bronowice,NotSafe,PATROLLING,2,"1766,6595453277448",0
8652,cae05774-a872-4f8c-b317-da703410c28f,Bronowice,NotSafe,PATROLLING,2,"2019,9238548062453",0
8653,cae05774-a872-4f8c-b317-da703410c28f,Bronowice,NotSafe,PATROLLING,2,"2013,0608498099712",0
8654,cae05774-a872-4f8c-b317-da703410c28f,Bronowice,NotSafe,PATROLLING,2,"2019,9980367217515",0
9174,a10f26d8-6be9-43b1-aafd-7cb1d9b81211,Podgórze Duchackie,NotSafe,PATROLLING,1,"865,2702052928317",0
9176,a10f26d8-6be9-43b1-aafd-7cb1d9b81211,Podgórze Duchackie,NotSafe,PATROLLING,1,"1096,2212523808034",0
9340,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,PATROLLING,3,"3599,949669993888",0
9416,57e05b94-3876-42a8-a525-c0f2a45e0855,Czy¿yny,RatherSafe,PATROLLING,1,"620,1628087531627",0
9418,57e05b94-3876-42a8-a525-c0f2a45e0855,Czy¿yny,RatherSafe,PATROLLING,1,"271,24667185532314",0
9905,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,PATROLLING,2,"1515,8027180004772",0
9906,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,PATROLLING,3,"3216,032705831235",0
9907,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,PATROLLING,3,"3251,1591734024087",0
9908,f6d5fd6b-ed53-4da7-9a6e-571b18b4cf70,Stare Miasto,NotSafe,TRANSFER_TO_INTERVENTION,4,"1784,2841886686704",0
10355,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,TRANSFER_TO_INTERVENTION,4,"3261,2901034470196",0
10529,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,PATROLLING,3,"3518,9080107892823",0
10830,af81c15d-2421-4056-844f-abd03d034b44,Pr¹dnik Czerwony,RatherSafe,PATROLLING,1,"853,096344025863",0
10832,af81c15d-2421-4056-844f-abd03d034b44,Pr¹dnik Czerwony,RatherSafe,PATROLLING,3,"3448,0076400292146",0
10833,af81c15d-2421-4056-844f-abd03d034b44,Pr¹dnik Czerwony,RatherSafe,TRANSFER_TO_INTERVENTION,4,"2222,4524165561397",0
12162,ac983344-f5d3-4d11-8a94-3115a3f2fa49,Grzegórzki,RatherSafe,PATROLLING,1,"792,7643357155272",0
12163,ac983344-f5d3-4d11-8a94-3115a3f2fa49,Grzegórzki,RatherSafe,TRANSFER_TO_INTERVENTION,4,"2476,3957436463024",0
12164,ac983344-f5d3-4d11-8a94-3115a3f2fa49,Grzegórzki,RatherSafe,TRANSFER_TO_INTERVENTION,4,"2673,731290798288",0
13147,12c547b3-fe44-4396-85a2-ae5ca9ad1a66,Nowa Huta,NotSafe,PATROLLING,3,"3529,427508072837",0
15433,1a63b14b-84ef-498d-9a06-6aa45ae09c75,Stare Miasto,NotSafe,PATROLLING,2,"1979,4914762578214",0
15434,1a63b14b-84ef-498d-9a06-6aa45ae09c75,Stare Miasto,NotSafe,PATROLLING,2,"2147,825347701064",0
15435,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,PATROLLING,1,"1184,4661235060519",0
15464,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,PATROLLING,2,"1781,496863199905",0
15465,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,PATROLLING,2,"1811,6196205741692",0
15466,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,PATROLLING,2,"1663,7613287924646",0
15467,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,PATROLLING,2,"2397,726049601476",0
15468,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,PATROLLING,2,"2296,828826682034",0
15469,3fd738c2-8a16-4a0a-be77-9ce3d1519ed3,Podgórze Duchackie,NotSafe,PATROLLING,2,"2172,4085557276335",0
16677,e47fd21c-f93b-4993-aeea-77f419e72cb8,Podgórze Duchackie,NotSafe,PATROLLING,1,"768,4668959802663",0
16679,e47fd21c-f93b-4993-aeea-77f419e72cb8,Podgórze Duchackie,NotSafe,PATROLLING,2,"1997,8494004633521",0
16679,e47fd21c-f93b-4993-aeea-77f419e72cb8,Podgórze Duchackie,NotSafe,PATROLLING,2,"1705,4163794982283",0
17822,1771d0f6-fed5-4f85-a5c3-c9760edeaa5d,Grzegórzki,RatherSafe,PATROLLING,2,"1891,871773294293",0
17823,1771d0f6-fed5-4f85-a5c3-c9760edeaa5d,Grzegórzki,RatherSafe,PATROLLING,2,"1620,110010046104",0
20262,ccd11071-f361-4a8d-8af5-72b8c4daa8ce,Czy¿yny,RatherSafe,PATROLLING,2,"1598,2444183856408",0
20263,ccd11071-f361-4a8d-8af5-72b8c4daa8ce,Czy¿yny,RatherSafe,PATROLLING,2,"2123,3399752109294",0
