"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3601,4978.756206319442,224.0440292843749
7200,2488.5532134819546,111.98489460668797
10800,2794.3556666125914,125.74600499756663
14400,3526.4832596131027,158.69174668258964
18000,2399.658811134376,107.98464650104691
21602,3463.0779965424795,155.8385098444116
25200,2208.1000286386234,99.36450128873804
28802,752.3567845597225,33.85605530518751
32400,4217.415005927547,189.78367526673964
36000,4519.380873263709,203.37213929686692
39602,3459.031996279653,155.65643983258443
43200,3154.033480029863,141.9315066013438
46802,1928.9018773850703,86.80058448232816
50400,3534.713353986543,159.06210092939443
54000,6996.547232243301,314.8446254509485
57602,3180.6366401617906,143.12864880728057
61200,2960.5770854886214,133.22596884698797
64801,4097.362588735078,184.38131649307857
68400,2999.351326247951,134.9708096811578
72002,2911.141696456361,131.00137634053627
75602,4072.1067256398055,183.24480265379123
79201,3041.6122840281187,136.87255278126537
82800,2994.1482915229367,134.73667311853214
