"simulationTime[s]","amountOfInterventions","interventionsDuration[min]","averageInterventionDuration[min]","amountOfFirings","firingsDuration[min]","averageFiringDuration[min]"
3600,21.0,428.0,20.38095238095238,1.0,58.0,58.0
7200,29.0,563.0,19.413793103448278,5.0,343.0,68.6
10800,25.0,540.0,21.6,3.0,214.0,71.33333333333333
14402,26.0,520.0,20.0,4.0,202.0,50.5
18000,22.0,426.0,19.363636363636363,5.0,350.0,70.0
21600,22.0,431.0,19.59090909090909,6.0,400.0,66.66666666666667
25200,23.0,480.0,20.869565217391305,3.0,182.0,60.666666666666664
28802,29.0,554.0,19.103448275862068,2.0,127.0,63.5
32400,21.0,452.0,21.523809523809526,1.0,54.0,54.0
36000,20.0,398.0,19.9,2.0,145.0,72.5
39602,20.0,391.0,19.55,3.0,209.0,69.66666666666667
43200,30.0,624.0,20.8,6.0,386.0,64.33333333333333
46800,20.0,425.0,21.25,2.0,145.0,72.5
50400,20.0,455.0,22.75,4.0,307.0,76.75
54000,29.0,601.0,20.724137931034484,1.0,57.0,57.0
57602,27.0,544.0,20.14814814814815,3.0,227.0,75.66666666666667
61200,27.0,537.0,19.88888888888889,3.0,236.0,78.66666666666667
64801,26.0,557.0,21.423076923076923,7.0,514.0,73.42857142857143
68400,25.0,515.0,20.6,7.0,475.0,67.85714285714286
72002,36.0,764.0,21.22222222222222,5.0,367.0,73.4
75601,23.0,479.0,20.82608695652174,6.0,428.0,71.33333333333333
79200,27.0,631.0,23.37037037037037,5.0,410.0,82.0
82800,30.0,623.0,20.766666666666666,8.0,573.0,71.625
