"simulationTime[s]","averageTransferToInterventionDuration[s]","averageTransferToFiringDuration[s]"
3600,77.19047619047619,27.0
7200,58.62068965517241,321.6
10802,91.2,232.66666666666666
14400,68.46153846153847,349.5
18000,63.68181818181818,446.4
21602,84.27272727272727,370.1666666666667
25200,61.08695652173913,104.66666666666667
28802,52.58620689655172,45.0
32400,58.19047619047619,162.0
36001,54.65,240.5
39600,58.0,132.0
43200,82.23333333333333,496.0
46802,73.95,477.0
50400,64.9,504.0
54002,59.689655172413794,98.0
57600,56.407407407407405,554.0
61200,71.74074074074075,1263.0
64801,60.30769230769231,395.57142857142856
68402,63.2,364.42857142857144
72002,55.52777777777778,161.8
75602,72.52173913043478,456.6666666666667
79203,77.92592592592592,332.6
82800,65.7,271.0
