"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,621.0,18.0
7200,1369.8,35.6
10800,1242.5,35.833333333333336
14402,1673.625,45.375
18000,611.8,17.3
21602,784.5833333333334,22.833333333333332
25200,779.8333333333334,22.166666666666668
28802,115.0,3.0
32400,1810.0,52.0
36003,203.5,8.0
39600,283.6666666666667,9.5
43200,90.08333333333333,2.5
46800,48.25,1.25
50400,367.0,11.25
54000,277.5,7.0
57602,695.5,20.166666666666668
61200,298.6666666666667,7.5
64801,245.07142857142858,6.785714285714286
68402,296.42857142857144,8.571428571428571
72003,71.9,2.5
75600,0.0,0.0
79201,0.0,0.0
82800,0.0,0.0
