"simulationTime[s]","districtName","districtSafetyLevel","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfReturningToHqPatrols","amountOfIncidents","isNight"
3604,Koszyce,RatherSafe,0,0,0,0,0,0,0,0,0,0
3604,Gumniska-Zab³ocie,NotSafe,4,3,1,0,0,0,0,0,0,0
3604,Rzêdzin,NotSafe,1,1,0,0,0,0,0,0,0,0
3604,Krzy¿,Safe,1,0,0,0,0,1,0,0,1,0
3604,Klikowa,Safe,0,0,0,0,0,0,0,0,0,0
3604,Starówka,RatherSafe,1,0,0,0,0,1,0,0,1,0
3604,Grabówka,NotSafe,3,3,0,0,0,0,0,0,0,0
3604,Jasna,Safe,0,0,0,0,0,0,0,0,0,0
3604,Zielone,RatherSafe,3,0,0,0,0,3,0,0,3,0
3604,Westerplatte,Safe,2,1,0,0,0,1,0,0,1,0
3604,Legionów Henryka D¹browskiego,RatherSafe,2,0,0,0,0,2,0,0,2,0
3604,Piaskówka,NotSafe,7,4,1,1,0,1,0,0,2,0
3604,Strusina,Safe,3,1,2,0,0,0,0,0,0,0
3604,Chyszów,NotSafe,3,1,1,0,0,1,0,0,1,0
3604,Krakowska,RatherSafe,7,1,5,0,0,0,1,0,1,0
3604,Moœcice,RatherSafe,3,2,1,0,0,0,0,0,0,0
7200,Koszyce,RatherSafe,2,0,0,0,0,2,0,0,2,0
7200,Gumniska-Zab³ocie,NotSafe,1,0,0,1,0,0,0,0,1,0
7200,Rzêdzin,NotSafe,4,0,0,0,0,0,4,0,1,0
7200,Krzy¿,Safe,3,2,0,0,0,1,0,0,1,0
7200,Klikowa,Safe,0,0,0,0,0,0,0,0,0,0
7200,Starówka,RatherSafe,1,0,0,0,0,1,0,0,2,0
7200,Grabówka,NotSafe,4,1,0,0,0,0,3,0,2,0
7200,Jasna,Safe,4,0,0,0,0,1,3,0,2,0
7200,Zielone,RatherSafe,0,0,0,0,0,0,0,0,0,0
7200,Westerplatte,Safe,0,0,0,0,0,0,0,0,0,0
7200,Legionów Henryka D¹browskiego,RatherSafe,0,0,0,0,0,0,0,0,0,0
7200,Piaskówka,NotSafe,9,1,0,1,0,2,5,0,3,0
7200,Strusina,Safe,4,3,1,0,0,0,0,0,0,0
7200,Chyszów,NotSafe,7,1,0,0,0,0,6,0,1,0
7200,Krakowska,RatherSafe,3,1,0,0,0,2,0,0,2,0
7200,Moœcice,RatherSafe,1,1,0,0,0,0,0,0,0,0
10800,Koszyce,RatherSafe,1,0,0,0,0,1,0,0,1,0
10800,Gumniska-Zab³ocie,NotSafe,0,0,0,0,0,0,0,0,0,0
10800,Rzêdzin,NotSafe,6,0,0,0,0,2,4,0,3,0
10800,Krzy¿,Safe,2,2,0,0,0,0,0,0,0,0
10800,Klikowa,Safe,2,1,1,0,0,0,0,0,0,0
10800,Starówka,RatherSafe,8,2,0,1,0,1,4,0,3,0
10800,Grabówka,NotSafe,5,2,0,0,0,0,3,0,1,0
10800,Jasna,Safe,3,0,0,0,0,0,3,0,1,0
10800,Zielone,RatherSafe,2,0,0,1,0,1,0,0,2,0
10800,Westerplatte,Safe,1,1,0,0,0,0,0,0,0,0
10800,Legionów Henryka D¹browskiego,RatherSafe,0,0,0,0,0,0,0,0,0,0
10800,Piaskówka,NotSafe,7,0,0,0,1,1,5,0,3,0
10800,Strusina,Safe,1,0,0,0,0,1,0,0,1,0
10800,Chyszów,NotSafe,1,1,0,0,0,0,0,0,0,0
10800,Krakowska,RatherSafe,2,2,0,0,0,0,0,0,1,0
10800,Moœcice,RatherSafe,2,1,0,0,0,1,0,0,1,0
14402,Koszyce,RatherSafe,0,0,0,0,0,0,0,0,0,0
14402,Gumniska-Zab³ocie,NotSafe,2,2,0,0,0,0,0,0,0,0
14402,Rzêdzin,NotSafe,3,0,0,1,0,2,0,0,3,0
14402,Krzy¿,Safe,3,2,0,0,0,1,0,0,1,0
14402,Klikowa,Safe,1,1,0,0,0,0,0,0,0,0
14402,Starówka,RatherSafe,1,1,0,0,0,0,0,0,0,0
14402,Grabówka,NotSafe,1,1,0,0,0,0,0,0,0,0
14402,Jasna,Safe,2,1,0,0,0,0,1,0,1,0
14402,Zielone,RatherSafe,1,0,0,0,0,1,0,0,1,0
14402,Westerplatte,Safe,1,0,0,0,0,1,0,0,1,0
14402,Legionów Henryka D¹browskiego,RatherSafe,0,0,0,0,0,0,0,0,0,0
14402,Piaskówka,NotSafe,6,1,0,0,0,2,3,0,3,0
14402,Strusina,Safe,4,3,0,0,0,1,0,0,1,0
14402,Chyszów,NotSafe,5,0,0,0,0,0,5,0,1,0
14402,Krakowska,RatherSafe,7,2,0,0,0,0,5,0,1,0
14402,Moœcice,RatherSafe,4,4,0,0,0,0,0,0,0,0
18001,Koszyce,RatherSafe,0,0,0,0,0,0,0,0,0,0
18001,Gumniska-Zab³ocie,NotSafe,1,0,0,0,0,1,0,0,1,0
18001,Rzêdzin,NotSafe,12,12,0,0,0,0,0,0,0,0
18001,Krzy¿,Safe,1,1,0,0,0,0,0,0,0,0
18001,Klikowa,Safe,4,3,0,0,0,1,0,0,0,0
18001,Starówka,RatherSafe,5,1,0,0,0,1,3,0,2,0
