"Koszyce","Gumniska-Zab³ocie","Rzêdzin","Krzy¿","Klikowa","Starówka","Grabówka","Jasna","Zielone","Westerplatte","Legionów Henryka D¹browskiego","Piaskówka","Strusina","Chyszów","Krakowska","Moœcice"
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0"
"0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0"
"0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0"
"0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0"
"0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1"
"0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0"
"0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0"
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
"0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1"
"0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0"
"0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0"
"0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0"
"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0"
"0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0"
"0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1"
"1,1,1,0,0,0,0,0,2,0,0,1,0,1,0,0"
"0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0"
"1,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0"
"0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0"
"0,2,1,0,0,0,2,1,0,0,0,1,0,1,0,0"
