"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"9,21,20,3,0,0,0"
"24,29,28,26,22,0,0"
"23,26,25,10,6,0,0"
"23,26,27,14,11,0,0"
"16,22,23,24,18,0,0"
"15,22,21,33,24,0,0"
"22,23,21,8,5,0,0"
"23,29,29,3,4,0,0"
"20,21,21,5,3,40,0"
"22,20,21,15,8,0,0"
"15,20,19,11,8,0,0"
"19,30,27,36,26,3,0"
"27,20,21,15,7,0,0"
"16,20,18,28,13,0,0"
"19,29,29,2,5,0,0"
"26,27,26,22,14,0,0"
"22,27,26,51,19,40,0"
"20,26,25,35,22,0,0"
"26,25,27,38,20,0,1"
"20,36,33,24,15,2,1"
"20,23,24,34,20,7,0"
"23,27,27,24,13,3,0"
"22,30,28,30,21,0,0"
