"simulationTime","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfNeutralizedPatrols","amountOfReturningToHqPatrols","amountOfIncidents","amountOfInterventions","amountOfInterventionsBeingSolved","amountOfFirings","amountOfFiringBeingSolved","isNight"
3604,40,17,11,1,0,10,1,0,0,12,11,11,1,1,0
7200,40,10,1,2,0,9,18,0,0,16,12,11,4,4,0
10800,40,12,1,2,1,8,16,0,0,16,11,11,5,5,0
14402,43,20,0,1,0,8,14,0,0,13,9,9,4,4,0
18001,43,21,0,0,0,10,12,0,0,12,8,8,4,4,0
21600,43,6,0,0,0,10,27,0,0,16,11,11,5,5,0
25200,43,24,3,1,0,6,9,0,0,10,7,7,3,3,0
28802,43,25,0,1,0,10,7,0,0,14,11,11,3,3,0
32400,43,31,1,0,0,11,0,0,0,10,10,10,0,0,0
36001,43,24,2,0,0,7,10,0,0,9,7,7,2,2,0
39600,43,23,2,1,0,10,7,0,0,13,11,11,2,2,0
43200,50,5,0,1,0,13,31,0,0,22,16,16,6,6,0
46800,52,35,3,0,0,5,9,0,0,8,6,6,2,2,0
50400,52,28,0,1,3,3,17,0,0,9,5,5,4,4,0
54002,52,27,1,0,0,12,12,0,0,15,12,12,3,3,0
57600,52,23,3,0,0,9,17,0,0,12,9,9,3,3,1
61200,64,42,3,1,0,10,8,0,0,13,11,11,2,2,1
64801,64,25,0,2,0,8,29,0,0,17,10,10,7,7,1
68402,64,28,3,0,0,3,29,1,0,11,3,3,8,8,1
72002,61,21,3,3,0,11,22,2,1,20,14,14,6,6,1
75602,53,9,4,0,2,9,29,2,0,18,11,11,7,7,1
79202,50,14,0,0,8,8,20,2,0,15,9,9,6,6,1
82800,50,4,3,0,0,6,37,2,0,19,8,8,11,11,1
