"simulationTime[s]","patrolState","timeInState[s]"
781,PATROLLING,781.0
842,CALCULATING_PATH,61.0
1184,TRANSFER_TO_INTERVENTION,318.0
3078,INTERVENTION,1893.0
3132,CALCULATING_PATH,53.0
3168,PATROLLING,35.0
3216,CALCULATING_PATH,48.0
3452,TRANSFER_TO_INTERVENTION,236.0
4716,INTERVENTION,1263.0
6610,FIRING,1894.0
6641,PATROLLING,31.0
6668,CALCULATING_PATH,27.0
6783,PATROLLING,115.0
6811,TRANSFER_TO_FIRING,28.0
11360,FIRING,4549.0
11390,PATROLLING,30.0
11419,CALCULATING_PATH,29.0
11501,PATROLLING,82.0
11530,CALCULATING_PATH,29.0
11639,TRANSFER_TO_INTERVENTION,109.0
12501,INTERVENTION,862.0
12529,CALCULATING_PATH,28.0
12632,PATROLLING,103.0
12659,CALCULATING_PATH,27.0
12763,TRANSFER_TO_INTERVENTION,104.0
13104,INTERVENTION,341.0
14961,FIRING,1857.0
14989,PATROLLING,28.0
15016,CALCULATING_PATH,27.0
15068,PATROLLING,52.0
15096,TRANSFER_TO_FIRING,28.0
18556,FIRING,3460.0
18586,PATROLLING,30.0
18613,CALCULATING_PATH,27.0
18746,PATROLLING,133.0
18773,CALCULATING_PATH,27.0
18825,TRANSFER_TO_INTERVENTION,52.0
19298,INTERVENTION,473.0
23340,FIRING,4042.0
23369,PATROLLING,29.0
23396,CALCULATING_PATH,27.0
23640,PATROLLING,244.0
23666,CALCULATING_PATH,26.0
23900,PATROLLING,234.0
23927,CALCULATING_PATH,27.0
23953,TRANSFER_TO_INTERVENTION,26.0
24898,INTERVENTION,945.0
24924,CALCULATING_PATH,26.0
25164,PATROLLING,240.0
25192,CALCULATING_PATH,28.0
25250,TRANSFER_TO_INTERVENTION,58.0
25520,INTERVENTION,270.0
29921,FIRING,4401.0
29950,PATROLLING,29.0
29977,CALCULATING_PATH,27.0
30490,RETURNING_TO_HQ,513.0
30517,FIRING,27.0
30548,PATROLLING,31.0
30577,CALCULATING_PATH,29.0
30843,RETURNING_TO_HQ,266.0
31243,FIRING,400.0
31271,PATROLLING,28.0
31300,CALCULATING_PATH,29.0
31867,RETURNING_TO_HQ,567.0
32777,INTERVENTION,910.0
32804,CALCULATING_PATH,27.0
32886,PATROLLING,82.0
32913,CALCULATING_PATH,27.0
33023,TRANSFER_TO_INTERVENTION,110.0
34173,INTERVENTION,1150.0
34202,CALCULATING_PATH,29.0
35063,PATROLLING,861.0
35089,CALCULATING_PATH,26.0
35252,PATROLLING,163.0
35280,CALCULATING_PATH,28.0
35387,TRANSFER_TO_INTERVENTION,107.0
36534,INTERVENTION,1147.0
36559,CALCULATING_PATH,25.0
37344,PATROLLING,785.0
37370,CALCULATING_PATH,26.0
37976,PATROLLING,606.0
38002,CALCULATING_PATH,26.0
38217,PATROLLING,215.0
38245,CALCULATING_PATH,28.0
38324,TRANSFER_TO_INTERVENTION,79.0
39575,INTERVENTION,1251.0
39601,CALCULATING_PATH,26.0
39889,PATROLLING,288.0
39915,CALCULATING_PATH,26.0
40327,PATROLLING,412.0
40359,CALCULATING_PATH,32.0
40465,PATROLLING,106.0
40490,CALCULATING_PATH,25.0
40573,TRANSFER_TO_INTERVENTION,83.0
42351,INTERVENTION,1778.0
42378,CALCULATING_PATH,27.0
42404,PATROLLING,26.0
42429,CALCULATING_PATH,25.0
42801,RETURNING_TO_HQ,372.0
42956,INTERVENTION,155.0
42981,CALCULATING_PATH,25.0
43057,PATROLLING,76.0
43085,CALCULATING_PATH,28.0
