"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
3587,e0fcd3bf-c1f5-4272-a47d-c97515b9756a,Krakowska,RatherSafe,"4978,756206319442",224.0440292843749
4617,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,"4351,651643406507",195.82432395329283
4684,757bf57d-3749-4f0a-9142-85be1f51a3ea,Zielone,RatherSafe,"1738,9488834151632",78.25269975368235
6071,e7026bc9-625d-4f55-af42-385c63f97810,Piaskówka,NotSafe,"1384,7445139957194",62.31350312980738
6754,ab5cd0a0-199a-4a11-b8b4-1768e2279e50,Rzêdzin,NotSafe,"2584,0484514881846",116.28218031696831
6814,01adc93e-de84-4652-8c8c-51202b58e976,Grabówka,NotSafe,"2383,372575104199",107.25176587968895
8803,fdbb4906-1177-450d-b818-31cbafe2ff7f,Piaskówka,NotSafe,"2719,766658940389",122.38949965231751
10030,b1b0c8a3-9d98-4a9e-b9e0-9dc67cc14b92,Starówka,RatherSafe,"3489,2588898186714",157.01665004184022
10637,75d48a13-ab15-49ed-84d2-9f4ebc434949,Piaskówka,NotSafe,"2174,041451078714",97.83186529854214
11249,0111bc0a-6056-42d5-9a84-4620d24664a0,Zielone,RatherSafe,"2261,0958973116967",101.74931537902636
12038,9fe63f78-814b-4cd6-8119-5427cc011315,Chyszów,NotSafe,"4392,723046920762",197.67253711143428
12097,17a7a13e-2ca0-4841-b5c4-f68a900449bc,Krakowska,RatherSafe,"5797,163030617129",260.8723363777708
13076,ef61a83b-ec1b-4b78-8853-0eaf6a53843e,Jasna,Safe,"1654,9510636028242",74.4727978621271
15035,02386a65-025f-4910-9771-00cde3864ac9,Zielone,RatherSafe,"1767,4188629894606",79.53384883452573
15035,5815ee53-f6e1-4af0-8238-673e8e12f6ae,Rzêdzin,NotSafe,"3998,865007894276",179.94892535524244
15757,927000a7-2dc7-4463-b0a2-41808de00079,Legionów Henryka D¹browskiego,RatherSafe,"926,3384987630054",41.68523244433525
17382,a0930a2a-d8fd-4ca7-ab6f-2c81785ddd35,Starówka,RatherSafe,"2922,320446094687",131.50442007426093
17833,f6f33897-602f-4e15-a3b8-47e2905c11c3,Grabówka,NotSafe,"2383,351239930449",107.25080579687021
18153,ec53a74d-4b0e-421d-a77c-ca90a0f83416,Zielone,RatherSafe,"1761,5289081185906",79.26880086533659
18497,f37b600c-8dae-46b1-827b-943fdbeb9d0b,Grabówka,NotSafe,"2486,096137723306",111.87432619754878
19109,eb013bc6-a47d-4f63-a87f-a2c8cf3e1fe7,Strusina,Safe,"4336,7516006564365",195.15382202953964
19272,3ef1b531-290d-4af6-9205-261cdaf95cf5,Grabówka,NotSafe,"2525,7445668057867",113.65850550626041
20185,d3a50dd7-1d4e-4c4f-a8ff-c3e0e04424c7,Moœcice,RatherSafe,"6838,989183003422",307.754513235154
21280,94618fd0-089d-4665-b47e-fa14a62baa04,Grabówka,NotSafe,"2829,3575829473375",127.3210912326302
22310,5115ba41-82fa-47a9-9a2a-67183d1a94a1,Gumniska-Zab³ocie,NotSafe,"4064,543821690348",182.90447197606568
22921,6439f885-95e7-45f9-aed5-ec0618b10a99,Zielone,RatherSafe,"1773,4476994544339",79.80514647544953
25194,b574d5f7-ce13-4304-b1c8-c933fd304555,Legionów Henryka D¹browskiego,RatherSafe,"786,3085647710874",35.38388541469893
25493,e97c028e-a3cb-4bb4-a6c4-96d9a8258301,Piaskówka,NotSafe,"500,41225479025275",22.518551465561373
28406,65139caa-a6b8-42d2-9cd2-f7fdd6b8bb0e,Westerplatte,Safe,"1004,3013143291923",45.193559144813655
28834,0f21f897-a5ef-4cd6-a8fb-cab74f527daa,Krakowska,RatherSafe,"4217,415005927547",189.78367526673964
34693,378285f5-6359-4990-a1c9-bd3e18be82b8,Koszyce,RatherSafe,"6394,241518019669",287.7408683108851
34841,b05eecb6-75a3-46be-b1f4-6a15800950f1,Grabówka,NotSafe,"2644,520228507749",119.0034102828487
36208,42692862-62c8-49df-aa9c-d21117046ec0,Legionów Henryka D¹browskiego,RatherSafe,"1400,7864191943447",63.03538886374552
36266,f6f9e92f-2f42-4535-80f7-25ed9f90837f,Moœcice,RatherSafe,"7155,480527866595",321.9966237539968
38137,8bb619db-344c-4d3d-8db8-c14c6041c5b0,Piaskówka,NotSafe,"1820,82904177802",81.9373068800109
40217,a7eaee25-12de-4f70-9fe9-4033eb6bafc6,Krakowska,RatherSafe,"5574,4700939713575",250.8511542287111
41663,9cb14ba5-9c74-4f60-b658-ae8bfe64296d,Gumniska-Zab³ocie,NotSafe,"5241,164554029513",235.8524049313281
41899,5c236be6-b21c-42bc-8e92-cae11a6e26ad,Piaskówka,NotSafe,"2348,138716712368",105.66624225205656
42464,37862778-0603-47fd-8668-61c7fe186321,Piaskówka,NotSafe,"1521,1798905881144",68.45309507646515
42464,53f1f36e-6047-4b64-8ae4-e6f7219e3c5f,Starówka,RatherSafe,"3035,021827607035",136.57598224231657
42496,602e6c9d-6358-4a1b-8cb4-87914f98ce50,Legionów Henryka D¹browskiego,RatherSafe,"1204,2257972707882",54.19016087718547
45100,e817dec1-18a0-410c-a5b9-cf16fb830380,Piaskówka,NotSafe,"2726,0157387301138",122.67070824285513
45491,13373e33-503e-480d-9b71-43e36801ef74,Piaskówka,NotSafe,"1131,7880160400266",50.9304607218012
47316,e7be8f28-5c75-49a3-bb23-86f39fd3587d,Chyszów,NotSafe,"4850,84967369367",218.28823531621518
48744,d961f522-e349-4db6-8a1d-03ca6b5c0ec3,Chyszów,NotSafe,"4129,569181645434",185.83061317404452
49556,bb1152ee-d0f6-4cf9-abb9-41d695254471,Gumniska-Zab³ocie,NotSafe,"3375,9720644385634",151.91874289973535
50338,a28287b2-d1ab-4899-ac97-bd1762017916,Piaskówka,NotSafe,"1782,462496168506",80.21081232758277
52468,b39aa50c-0976-4f9c-a2ff-eb1e6b0b43d4,Koszyce,RatherSafe,"6996,547232243301",314.8446254509485
55610,a7e6594a-b425-4fc5-8ec2-86699d3703bb,Rzêdzin,NotSafe,"2713,1824649193854",122.09321092137235
55673,1fde2b92-3968-483c-b7ea-9f0d675181f7,Gumniska-Zab³ocie,NotSafe,"5090,937187268415",229.09217342707868
57081,8075cb96-f604-4a4d-af86-243afae2eaf9,Zielone,RatherSafe,"1737,7902682975705",78.20056207339067
57854,e492cf22-2623-4747-8795-a1ef51496a6f,Grabówka,NotSafe,"2301,642626415691",103.5739181887061
58715,71f90a8c-54d6-4415-abab-15edd49de4e0,Krakowska,RatherSafe,"4837,961819430462",217.7082818743708
59308,d2a3ad7e-a00a-4d5c-b952-e574c7763015,Piaskówka,NotSafe,"1742,1268106197117",78.39570647788703
61606,8db90ab8-071c-45c2-af21-bce27b04eb12,Krakowska,RatherSafe,"4521,250194076991",203.45625873346458
61606,eb42955d-0135-4d9e-8caa-91538e5ffa43,Rzêdzin,NotSafe,"2358,9371497299153",106.15217173784619
62591,7cc4217c-fae4-4c9d-8d54-cec14ea44a37,Chyszów,NotSafe,"4438,512812390148",199.73307655755664
62715,481b3fd5-1f78-4c96-858b-a1f42dfa76b2,Moœcice,RatherSafe,"6927,670619096243",311.74517785933097
63000,cdd802df-f521-4781-a23d-d1f002f3ac47,Klikowa,Safe,"4624,315718012801",208.09420731057605
63625,f256dcd4-9d32-43e8-bafe-c3cc89afa240,Gumniska-Zab³ocie,NotSafe,"3767,668928877421",169.54510179948394
63872,a9367d81-f1a5-42ff-8033-62e89cb9fccb,Piaskówka,NotSafe,"2043,1826989620313",91.94322145329141
65133,a770b0df-9b93-49a8-a8df-0d02e101ef35,Chyszów,NotSafe,"4644,300060900566",208.99350274052546
66277,b67f8573-bbd9-4178-9afb-1112a16f9454,Koszyce,RatherSafe,"6107,52516563075",274.83863245338375
66341,47518602-88ff-4dfa-8453-022310aaa671,Piaskówka,NotSafe,"1570,91820423031",70.69131919036396
67016,f60cc0c2-c211-401f-b7a4-8d8b048422fd,Rzêdzin,NotSafe,"2798,064079520126",125.91288357840568
