"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
3585,e0fcd3bf-c1f5-4272-a47d-c97515b9756a,Krakowska,RatherSafe,4,1,3,3,"624,6553385243764",0
4616,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,4,1,10,10,"18977,75142831724",0
4677,757bf57d-3749-4f0a-9142-85be1f51a3ea,Zielone,RatherSafe,4,1,1,1,"1163,5304344692604",0
4683,757bf57d-3749-4f0a-9142-85be1f51a3ea,Zielone,RatherSafe,4,1,6,5,"8125,497050125063",0
6071,e7026bc9-625d-4f55-af42-385c63f97810,Piaskówka,NotSafe,5,1,4,4,"5747,688041086356",0
6754,ab5cd0a0-199a-4a11-b8b4-1768e2279e50,Rzêdzin,NotSafe,4,1,4,4,"545,4186988184454",0
6814,01adc93e-de84-4652-8c8c-51202b58e976,Grabówka,NotSafe,3,1,1,1,"275,9315574368394",0
6842,01adc93e-de84-4652-8c8c-51202b58e976,Grabówka,NotSafe,3,1,2,1,"1159,36493483643",0
8803,fdbb4906-1177-450d-b818-31cbafe2ff7f,Piaskówka,NotSafe,3,1,2,2,"751,9283846451617",0
10029,b1b0c8a3-9d98-4a9e-b9e0-9dc67cc14b92,Starówka,RatherSafe,4,1,6,6,"10451,005826876777",0
10635,75d48a13-ab15-49ed-84d2-9f4ebc434949,Piaskówka,NotSafe,3,1,1,1,"880,9659582300968",0
10636,75d48a13-ab15-49ed-84d2-9f4ebc434949,Piaskówka,NotSafe,3,1,2,1,"3573,6411020990813",0
11247,0111bc0a-6056-42d5-9a84-4620d24664a0,Zielone,RatherSafe,3,1,2,2,"1211,258862007132",0
12038,9fe63f78-814b-4cd6-8119-5427cc011315,Chyszów,NotSafe,5,1,6,6,"12090,73751050479",0
12092,17a7a13e-2ca0-4841-b5c4-f68a900449bc,Krakowska,RatherSafe,4,1,1,1,"1894,7647832406212",0
