"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
3579,e0fcd3bf-c1f5-4272-a47d-c97515b9756a,Krakowska,RatherSafe,PATROLLING,1,"236,78662370095023",0
3582,e0fcd3bf-c1f5-4272-a47d-c97515b9756a,Krakowska,RatherSafe,PATROLLING,1,"162,1833037911713",0
3584,e0fcd3bf-c1f5-4272-a47d-c97515b9756a,Krakowska,RatherSafe,PATROLLING,1,"225,68541103225482",0
4603,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,PATROLLING,2,"1759,2053049252972",0
4604,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,PATROLLING,2,"2249,214803033169",0
4605,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,PATROLLING,2,"2055,560260957092",0
4607,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,PATROLLING,2,"1702,2269468546224",0
4608,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,PATROLLING,2,"1646,745119974793",0
4610,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,PATROLLING,2,"2101,3334778494327",0
4611,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,PATROLLING,2,"1663,0264015666573",0
4613,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,PATROLLING,2,"1691,5245699481395",0
4614,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,PATROLLING,2,"2258,440359288432",0
4615,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,PATROLLING,2,"1850,4741839196024",0
4676,757bf57d-3749-4f0a-9142-85be1f51a3ea,Zielone,RatherSafe,PATROLLING,1,"1163,5304344692604",0
4677,757bf57d-3749-4f0a-9142-85be1f51a3ea,Zielone,RatherSafe,PATROLLING,2,"1416,5371898440642",0
4679,757bf57d-3749-4f0a-9142-85be1f51a3ea,Zielone,RatherSafe,PATROLLING,2,"2062,754964567964",0
4679,757bf57d-3749-4f0a-9142-85be1f51a3ea,Zielone,RatherSafe,PATROLLING,2,"1326,5555117493175",0
4680,757bf57d-3749-4f0a-9142-85be1f51a3ea,Zielone,RatherSafe,PATROLLING,2,"1610,236830944889",0
4682,757bf57d-3749-4f0a-9142-85be1f51a3ea,Zielone,RatherSafe,PATROLLING,2,"1709,4125530188276",0
6067,e7026bc9-625d-4f55-af42-385c63f97810,Piaskówka,NotSafe,PATROLLING,2,"1311,4396125913063",0
6068,e7026bc9-625d-4f55-af42-385c63f97810,Piaskówka,NotSafe,PATROLLING,2,"1382,2464708184662",0
6069,e7026bc9-625d-4f55-af42-385c63f97810,Piaskówka,NotSafe,PATROLLING,2,"1725,8216042700321",0
6070,e7026bc9-625d-4f55-af42-385c63f97810,Piaskówka,NotSafe,PATROLLING,2,"1328,1803534065516",0
