"simulationTime[s]","firingID","districtName","districtSafetyLevel","revokedPatrols","isNight"
4743,4708d7fd-061d-470f-8603-79934c298021,Chyszów,NotSafe,5,0
4829,757bf57d-3749-4f0a-9142-85be1f51a3ea,Zielone,RatherSafe,1,0
6811,ab5cd0a0-199a-4a11-b8b4-1768e2279e50,Rzêdzin,NotSafe,1,0
10140,b1b0c8a3-9d98-4a9e-b9e0-9dc67cc14b92,Starówka,RatherSafe,3,0
12181,9fe63f78-814b-4cd6-8119-5427cc011315,Chyszów,NotSafe,2,0
12294,17a7a13e-2ca0-4841-b5c4-f68a900449bc,Krakowska,RatherSafe,2,0
15096,02386a65-025f-4910-9771-00cde3864ac9,Zielone,RatherSafe,3,0
15232,5815ee53-f6e1-4af0-8238-673e8e12f6ae,Rzêdzin,NotSafe,1,0
17490,a0930a2a-d8fd-4ca7-ab6f-2c81785ddd35,Starówka,RatherSafe,1,0
18000,f6f33897-602f-4e15-a3b8-47e2905c11c3,Grabówka,NotSafe,1,0
18240,ec53a74d-4b0e-421d-a77c-ca90a0f83416,Zielone,RatherSafe,8,0
21440,94618fd0-089d-4665-b47e-fa14a62baa04,Grabówka,NotSafe,1,0
22419,5115ba41-82fa-47a9-9a2a-67183d1a94a1,Gumniska-Zab³ocie,NotSafe,1,0
25573,e97c028e-a3cb-4bb4-a6c4-96d9a8258301,Piaskówka,NotSafe,1,0
28926,0f21f897-a5ef-4cd6-a8fb-cab74f527daa,Krakowska,RatherSafe,2,0
34776,378285f5-6359-4990-a1c9-bd3e18be82b8,Koszyce,RatherSafe,1,0
34898,b05eecb6-75a3-46be-b1f4-6a15800950f1,Grabówka,NotSafe,6,0
36348,f6f9e92f-2f42-4535-80f7-25ed9f90837f,Moœcice,RatherSafe,2,0
38245,8bb619db-344c-4d3d-8db8-c14c6041c5b0,Piaskówka,NotSafe,1,0
40327,a7eaee25-12de-4f70-9fe9-4033eb6bafc6,Krakowska,RatherSafe,1,0
41864,9cb14ba5-9c74-4f60-b658-ae8bfe64296d,Gumniska-Zab³ocie,NotSafe,5,0
42036,5c236be6-b21c-42bc-8e92-cae11a6e26ad,Piaskówka,NotSafe,2,0
42611,37862778-0603-47fd-8668-61c7fe186321,Piaskówka,NotSafe,2,0
45270,e817dec1-18a0-410c-a5b9-cf16fb830380,Piaskówka,NotSafe,4,0
45577,13373e33-503e-480d-9b71-43e36801ef74,Piaskówka,NotSafe,4,0
47480,e7be8f28-5c75-49a3-bb23-86f39fd3587d,Chyszów,NotSafe,4,0
48886,d961f522-e349-4db6-8a1d-03ca6b5c0ec3,Chyszów,NotSafe,8,0
55729,a7e6594a-b425-4fc5-8ec2-86699d3703bb,Rzêdzin,NotSafe,3,0
57217,8075cb96-f604-4a4d-af86-243afae2eaf9,Zielone,RatherSafe,5,0
57998,e492cf22-2623-4747-8795-a1ef51496a6f,Grabówka,NotSafe,30,1
59393,d2a3ad7e-a00a-4d5c-b952-e574c7763015,Piaskówka,NotSafe,2,1
62743,7cc4217c-fae4-4c9d-8d54-cec14ea44a37,Chyszów,NotSafe,8,1
63086,481b3fd5-1f78-4c96-858b-a1f42dfa76b2,Moœcice,RatherSafe,5,1
65190,a770b0df-9b93-49a8-a8df-0d02e101ef35,Chyszów,NotSafe,1,1
66487,47518602-88ff-4dfa-8453-022310aaa671,Piaskówka,NotSafe,1,1
67123,f60cc0c2-c211-401f-b7a4-8d8b048422fd,Rzêdzin,NotSafe,2,1
67568,9e6e2b4a-3422-4964-abd6-eaf92d33a205,Zielone,RatherSafe,2,1
67927,6f8476dd-9098-4449-9787-775fca9e943b,Zielone,RatherSafe,3,1
68297,c80f96e3-3654-4a31-a5b9-8587c8beafe4,Gumniska-Zab³ocie,NotSafe,9,1
69387,5713e1f3-602c-4b39-9cbb-cb07f6f56c98,Chyszów,NotSafe,2,1
69766,cab1870f-e5bc-41ea-a961-b83fe86b61b2,Legionów Henryka D¹browskiego,RatherSafe,2,1
71038,1f0a7fcf-8358-4f8f-b9e6-136ba077ed3b,Rzêdzin,NotSafe,2,1
71825,972a1028-710e-4ead-9ce6-fb54146b87a5,Grabówka,NotSafe,3,1
72271,79da1016-69ad-4584-a911-6a7b271b2509,Gumniska-Zab³ocie,NotSafe,3,1
73055,e0b700e4-7217-47bf-ae69-d36c497c4942,Chyszów,NotSafe,1,1
73536,8eee7c92-10d2-42b8-9bf4-ce559a6ba931,Piaskówka,NotSafe,1,1
73836,e14a6670-309f-4500-b2a7-af624a2354f6,Koszyce,RatherSafe,2,1
75588,4a487ff6-d1fc-4bb3-9302-626f190f82c1,Chyszów,NotSafe,5,1
75882,c2a1aa31-101e-4da9-9171-9a997de274a0,Rzêdzin,NotSafe,1,1
78132,2bd29fc5-83ad-480b-a407-84acacb32ce2,Piaskówka,NotSafe,2,1
78530,59468ba8-8144-4417-830d-dc3160563984,Gumniska-Zab³ocie,NotSafe,2,1
79240,d320457b-fb8b-481d-a309-83416d794165,Chyszów,NotSafe,7,1
80121,836a0107-9650-4d6e-8fbc-4782ff8bf492,Rzêdzin,NotSafe,2,1
81241,31faf968-bfa8-4fae-9eb7-4584fa08f527,Gumniska-Zab³ocie,NotSafe,1,1
81504,07b8392b-c083-4b16-a618-1f5bbb39ad78,Jasna,Safe,1,1
82111,9000dcfc-ce60-443b-9859-4374ee372e16,Chyszów,NotSafe,3,1
82977,9f24e096-4d20-4cf2-bdba-003364a51b77,Grabówka,NotSafe,1,1
86326,88566455-51f5-4120-837e-b04057a6de24,Piaskówka,NotSafe,4,1
